cluster_kmeans,Component,Explained_Variance_Ratio,Cumulative_Variance
0,-0.8801574484514886,-0.12269621600069054,0.10841834901058982
1,-1.9149089334833491,-0.309005929765724,-1.4450678326222601
2,2.790337859934145,0.5305802629330885,-0.26275006025513237
3,-2.2536344148232126,-0.7034256403014163,-1.1237768355545805
4,-1.638602029311396,-2.802699231823094,1.804645478209716
