datadate,oancf,gvkey,oibdp,ggroup,seq,at,dlc,emp,gsubind,fyear,dp,dltt,ppent,gsector,loc,ib,cogs,lt,ceq,conm,naics,rect,ebit,che,ebitda,gind,sic,act,xsga,revt,lct,invt,sale,isin,roa,roe,ebit_margin,ebitda_margin,net_profit_margin,current_ratio,quick_ratio,cash_ratio,debt_to_equity,total_debt_to_equity,equity_ratio,debt_ratio,asset_turnover,revenue_per_employee,receivables_turnover,days_sales_outstanding,revenue_growth,asset_growth,employee_growth,roa_outlier,roe_outlier,ebit_margin_outlier,ebitda_margin_outlier,net_profit_margin_outlier,current_ratio_outlier,quick_ratio_outlier,cash_ratio_outlier,debt_to_equity_outlier,total_debt_to_equity_outlier,equity_ratio_outlier,debt_ratio_outlier,asset_turnover_outlier,receivables_turnover_outlier,revenue_growth_outlier,asset_growth_outlier,employee_growth_outlier,years_available,latest_year,cluster,cluster_name
2024-12-31,1390.0,320124,1846.0,2510.0,3814.0,21370.0,1099.0,115.055,25101010.0,2024.0,1076.0,5512.0,7224.0,25.0,DEU,-632.0,13280.0,17401.0,3814.0,SCHAEFFLER AG,3363.0,4609.0,770.0,1281.0,1846.0,251010.0,3714.0,9801.0,2075.0,18188.0,7673.0,3570.0,18188.0,DE000SHA0100,3.603182030884417,-16.570529627687467,4.2335605893996044,10.149549153287882,-3.4748185616890255,1.2773361136452497,0.8120682914114428,0.1669490420956601,1.4452018877818562,1.733350812794966,17.847449695835284,81.42723444080487,0.8510996724379972,158.08091782191124,3.946192232588414,92.49422696283264,11.49390057009747,42.40970278555245,38.01852162855979,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,11,True,2,Lower-Mid
2024-12-31,437.463,248166,312.781,5510.0,2194.145,5260.131,32.4,3.416,55103010.0,2024.0,124.903,897.252,1762.447,55.0,DEU,303.732,3164.856,3058.171,2194.145,MAINOVA AG,221122.0,720.41,187.878,53.35,312.781,551030.0,4931.0,1179.599,330.158,3891.921,1131.172,247.028,3891.921,DE0006553464,3.571736141172149,13.842840833217496,4.827384728518385,8.036673920154083,7.804166631337071,1.0428113496444396,0.8244289993033773,0.047163472928962176,0.40893012995950584,0.4236967019043864,41.71274441644134,58.1386851392104,0.7398905084303032,1139.3211358313818,5.402369484043809,67.56294642157432,-16.006285412637222,-5.475967863348242,18.528799444829968,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,2,Lower-Mid
2024-12-31,2513.0,313972,2719.0,5010.0,5354.0,14705.0,1377.0,7.428,50101020.0,2024.0,2214.0,2875.0,6488.0,50.0,DEU,336.0,3289.0,9351.0,5354.0,TELEFONICA DEUTSCHLAND,517.0,1614.0,505.0,402.0,2719.0,501010.0,4812.0,2687.0,250.0,8492.0,4924.0,147.0,8492.0,DE000A1J5RX9,3.4342060523631415,6.275681733283527,5.9467734338200655,32.018370230805466,3.9566650965614696,0.5456945572705117,0.5158407798537774,0.08164094232331438,0.5369816959282779,0.7941725812476653,36.40938456307378,63.590615436926214,0.5774906494389663,1143.2417878298331,5.261462205700124,69.37235044747997,-1.416299048061298,-4.803521719427717,2.3845623707787755,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,2,Lower-Mid
2024-12-31,194.223,269104,165.088,2010.0,493.922,1683.634,202.562,11.38,20103010.0,2024.0,107.392,215.315,497.239,20.0,DEU,9.098,1160.816,1181.652,493.922,BAUER AG,3331.0,317.872,57.696,79.442,165.088,201030.0,3530.0,968.233,500.441,2044.994,813.34,494.573,2044.994,DE000A40ETC9,3.4268730614848595,1.8419912455812864,2.8213285711351723,8.072786521623046,0.4448912808546138,1.1904406521258022,0.582364078982959,0.09767378955910196,0.4359291548058195,0.846038443316961,29.336661055787662,70.18461257019042,1.2146309708642138,179.7007029876977,6.4333882820758035,56.735266704938994,19.572181757266005,-0.9138039302926559,-5.434601961110186,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,2,Lower-Mid
2025-02-28,906.0,100764,691.0,3020.0,3271.0,9496.0,902.0,,30202030.0,2024.0,374.0,1496.0,3397.0,30.0,DEU,-78.0,6835.0,5470.0,3271.0,SUEDZUCKER AG,311314.0,1258.0,317.0,781.0,691.0,302020.0,2060.0,5027.0,1304.0,9694.0,2777.0,2843.0,9694.0,DE0007297004,3.3382476832350463,-2.3845918679302964,3.2700639570868577,7.128120486899113,-0.8046214153084381,1.8102268635217862,0.7864602088584803,0.28123874684911776,0.45735249159278507,0.7331091409354937,34.44608256107835,57.60320134793597,1.0208508845829822,,7.705882352941177,47.36641221374046,-5.782874914957725,-7.6084841408834425,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12,True,2,Lower-Mid
2025-03-31,113.0,214759,140.0,2010.0,546.0,2174.0,36.0,9.722,20106020.0,2024.0,69.0,43.0,650.0,20.0,DEU,5.0,1054.0,1628.0,546.0,HEIDELBERGER DRUCKMASCHINEN,333248.0,297.0,71.0,171.0,140.0,201060.0,3555.0,1137.0,830.0,2314.0,853.0,608.0,2314.0,DE0007314007,3.265869365225391,0.9157509157509158,3.0682800345721692,6.050129645635264,0.216076058772688,1.3329425556858148,0.6201641266119577,0.20046893317702227,0.07875457875457875,0.1446886446886447,25.114995400183993,74.88500459981601,1.0643974241030358,238.01686895700473,7.7912457912457915,46.84745030250648,-4.577319587628869,2.838221381267747,-2.8577138289368476,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12,True,2,Lower-Mid
2024-12-31,429.753,245628,324.33,2010.0,990.652,5631.15,79.594,10.006,20104020.0,2024.0,145.725,420.969,537.27,20.0,DEU,8.836,5839.121,4634.533,990.652,NORDEX SE,333611.0,1489.367,178.605,1154.12,324.33,201040.0,3510.0,3602.275,758.885,7298.825,3608.714,909.369,7298.825,DE000A0D6554,3.171732239418236,0.8919378348804626,2.447037708124253,4.44359194801903,0.12106058166896727,0.9982157078671239,0.7462231698050884,0.31981475949604204,0.4249413517562171,0.5052864174301369,17.592356801008677,82.30171456984809,1.2961517629613846,729.4448331001399,4.900622210643851,74.48033827362623,12.478787400594339,3.856838885650049,1.8007935700478095,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,2,Lower-Mid
2024-12-31,192.876,233025,108.385,4510.0,573.998,1406.896,51.783,5.553,45102010.0,2024.0,65.044,142.2,178.885,45.0,DEU,33.453,1057.572,832.529,573.998,CANCOM SE,541512.0,511.463,43.341,144.674,108.385,451020.0,7373.0,771.75,472.186,1738.992,620.879,68.049,1738.992,DE0005419105,3.0806115022005893,5.828069087348736,2.4923058875486492,6.2326336176359645,1.9237006265698753,1.2429958172204245,1.1333947516343765,0.23301480642766143,0.2477360548294593,0.33795065488033055,40.79889345054646,59.17487859799161,1.236048720019106,313.1626148028093,3.4000348021264486,107.3518423316496,13.951338164437965,-9.14312468719224,-1.104185218165632,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,2,Lower-Mid
2023-12-31,363.127,347562,436.607,3510.0,2340.398,4663.266,157.269,23.538,35102015.0,2023.0,294.078,1404.09,953.096,35.0,DEU,92.274,615.77,2325.035,2340.398,SYNLAB AG,621511.0,435.598,142.529,265.589,436.607,351020.0,8071.0,789.148,1162.838,2635.163,682.853,65.037,2635.163,DE000A2TSL71,3.0564201141431777,3.942662743687184,5.408735626600707,16.56850069616187,3.50164297237021,1.1556630782906425,1.0604200318370134,0.38894022578798076,0.5999364210702623,0.6671339661032012,50.18795839654011,49.85851118079046,0.5650895745599758,111.95356444897612,6.049529612165345,60.33526958294421,-18.931057513549366,-13.340137376758786,-5.496446782029151,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,True,2,Lower-Mid
2024-12-31,384.265,222340,295.497,2010.0,1219.056,4978.375,113.163,17.685,20106020.0,2024.0,144.041,1212.048,680.643,20.0,DEU,61.79,3243.715,3754.654,1219.056,DUERR AG,3339.0,1221.942,151.456,964.848,295.497,201060.0,3560.0,3140.097,634.568,4290.936,2411.012,627.516,4290.936,DE0005565204,3.0422778517086395,5.068676090351879,3.5296727800181595,6.886539440345883,1.4400121558559718,1.3023979142368434,1.0421271233822147,0.40018382322443846,0.9942512895223845,1.087079674764736,24.487026389133,75.41926833555127,0.8619149822984407,242.63138252756573,3.5115709256249477,103.94208396489718,-7.269801574729639,-3.444734614239564,-2.978933508887438,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,2,Lower-Mid
