naics,ivch,loc,ib,dp,gsubind,gsector,lt,fincf,gind,cogs,dltt,ivst,rect,ebitda,ebit,fyear,datadate,seq,xrd,at,gvkey,ppent,sic,ceq,dlc,revt,dvt,conm,capx,isin,ggroup,xsga,act,emp,invt,lct,xint,oibdp,sale,oancf,che,roa,roe,ebit_margin,ebitda_margin,net_profit_margin,operating_margin,gross_margin,roc,current_ratio,quick_ratio,cash_ratio,cash_ratio_enhanced,working_capital_ratio,debt_to_equity,total_debt_to_equity,equity_ratio,debt_ratio,interest_coverage,net_debt_to_ebitda,debt_to_assets,asset_turnover,revenue_per_employee,receivables_turnover,days_sales_outstanding,capital_intensity,working_capital_turnover,inventory_turnover,asset_quality,capex_to_revenue,capex_to_depreciation,fcf,fcf_margin,reinvestment_rate,cash_conversion,financial_leverage,rnd_intensity,dividend_payout_ratio,retention_ratio,revenue_growth,asset_growth,employee_growth,fcf_growth,capex_growth,margin_trend,leverage_trend,capex_trend,fcf_trend,margin_volatility,leverage_volatility,cf_to_assets,cashflow_volatility,margin_consistency,growth_quality,ebitda_outlier,ebit_outlier,roa_outlier,roe_outlier,ebit_margin_outlier,ebitda_margin_outlier,net_profit_margin_outlier,operating_margin_outlier,gross_margin_outlier,roc_outlier,current_ratio_outlier,quick_ratio_outlier,cash_ratio_outlier,cash_ratio_enhanced_outlier,working_capital_ratio_outlier,debt_to_equity_outlier,total_debt_to_equity_outlier,equity_ratio_outlier,debt_ratio_outlier,interest_coverage_outlier,net_debt_to_ebitda_outlier,debt_to_assets_outlier,asset_turnover_outlier,revenue_per_employee_outlier,receivables_turnover_outlier,days_sales_outstanding_outlier,capital_intensity_outlier,working_capital_turnover_outlier,inventory_turnover_outlier,asset_quality_outlier,capex_to_revenue_outlier,capex_to_depreciation_outlier,fcf_outlier,fcf_margin_outlier,reinvestment_rate_outlier,cash_conversion_outlier,financial_leverage_outlier,rnd_intensity_outlier,dividend_payout_ratio_outlier,retention_ratio_outlier,revenue_growth_outlier,asset_growth_outlier,employee_growth_outlier,fcf_growth_outlier,capex_growth_outlier,margin_trend_outlier,leverage_trend_outlier,capex_trend_outlier,fcf_trend_outlier,margin_volatility_outlier,leverage_volatility_outlier,cashflow_volatility_outlier,margin_consistency_outlier,growth_quality_outlier,years_available,latest_year,PC1,PC2,PC3,PC4,PC5,PC6,cluster,cluster_name,proximity_score,profitability_score,liquidity_score,leverage_score,efficiency_score,relative_score,overall_score
523999.0,,DEU,1059.9,5.9,25503030.0,25.0,767.0,-80.6045,255030.0,2454.5,138.6,33.2,670.155,1065.2,1059.3,2021.0,2021-12-31,4898.4,84.1,5689.9,318452,42.6,6799.0,4898.4,541.3,1136.5,49.706,ROCKET INTERNET SE,151.34750000000003,DE000A12UKK6,2550.0,575.095,1855.197,0.387,18.9,1276.941,3.0,1065.2,3809.562,320.288,431.751,18.617198896289917,21.637677609015192,93.2072151341839,93.72635283765949,93.26000879894414,93.72635283765949,-115.9700835899692,21.03037522334723,1.4528447281432735,1.438043731072931,0.3381135072019772,0.36411314226734043,10.162849962213745,0.028294953454189125,0.1388004246284501,86.08938645670399,13.480026011001952,353.09999999999997,0.2329600075103267,11.949243396193255,0.19973988998049177,2936.692506459948,1.6958763271183532,215.2279586449626,3.748350197976243,1.965392490523229,129.8677248677249,19.365999402449955,13.316981962164542,25.652118644067798,168.9405,14.864980202375714,47.253565541013096,30.235816104974987,1.161583374162992,7.399912010558732,4.689687706387395,95.31031229361261,118.81016557566424,41.132552832622274,-96.87865467596886,0.0,0.0,-122.01437830990707,-0.02148888102754913,-13.383265110513692,-14.938968264442677,777.5365159611879,0.09091844771087687,5.629062022179652,1.7867720189191225,0.14775142725213203,,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,True,True,False,False,False,False,8,True,9.249098961610152,2.18390394344209,2.1404147888323375,2.7271510831106758,0.31491510737579853,0.4024553899825799,1,Mid,0.6505054653301251,1.0522890672791279,82.80483184276719,28.730998791140077,17.584655796225693,59.75167792196636,5.981458248135738
331410.0,,DEU,416.096,201.565,15104025.0,15.0,3290.333,17.205,151040.0,15509.246,235.406,41.839,717.167,679.112,477.547,2024.0,2024-09-30,4554.9,13.526,7846.232,220303,1926.662,3330.0,4554.9,147.816,17183.261,65.489,AURUBIS AG,846.67,DE0006766504,1510.0,633.348,4740.018,6.979,3545.794,2207.551,36.056,679.112,17183.261,537.473,364.209,6.086322708785568,9.135129201519245,2.779140699777534,3.9521718258251446,2.4215194077538604,3.9521718258251446,9.742126363558114,9.96902911839035,2.1471839155697876,0.5409723263471603,0.16498327784952646,0.18393595436753218,32.2762186996255,0.05168192495993326,0.0841340095282004,58.0520688146871,41.93519895919468,13.244591746172622,0.027996854716158717,4.88415331078663,2.1900016466502645,2462.137985384725,23.95991589127776,15.233776347807325,11.21243517164757,6.785186539449477,4.373983937025106,13.782105856671075,4.92729523226121,4.20048123434128,-309.197,-1.7994081565774973,157.5279130300499,112.54871248275037,1.7225914948736527,0.07871614124932398,15.738916019380145,84.26108398061986,0.4361597415107221,8.080314274926636,-3.4716459197787097,491.40239470563574,35.47001777636976,0.14212468402637574,-0.01782356057655293,0.27903245106989083,-0.29789896758560147,1.5227710416822389,0.07190729391134693,6.850077846283413,2.6928259874766445,0.09582139537714494,0.3665091022160684,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,11,True,0.2719623028826922,-0.3011527600292148,-2.0636474911718636,2.3325037709559235,0.4122130506071506,1.9495675505841426,1,Mid,44.412893678354884,59.88027912379209,74.96725081539783,62.969742760231505,73.02362223288551,50.73831897189146,46.99173090705635
2211.0,,DEU,297.0,611.0,55105010.0,55.0,27945.0,1.0,551050.0,64380.0,1064.0,1347.0,5320.0,2885.0,2274.0,2024.0,2024-12-31,10382.0,8.0,38489.0,321632,6105.0,4911.0,10382.0,834.0,69751.0,88.2,UNIPER SE,681.0,DE000UNSE026,5510.0,1055.0,24744.0,6.844,2604.0,17221.0,577.0,2885.0,69751.0,1665.0,6732.0,5.908181558367326,2.8607204777499518,3.260168312999097,4.13614141732735,0.4258003469484309,4.13614141732735,7.70024802511792,19.867202516162852,1.4368503571221183,1.285639626037977,0.39091806515301086,0.46913651936589046,19.545844267193225,0.10248507031400501,0.182816413022539,26.973940606407027,72.60515991582011,3.9410745233968805,-1.6755632582322357,4.9312790667463435,1.8122320663046585,10191.55464640561,13.11109022556391,27.839027397456668,8.7525626872733,9.271700119633126,24.723502304147466,31.31284263036192,0.9763300884575131,1.1145662847790507,984.0,1.4107324626170235,40.9009009009009,73.21899736147758,3.7072818339433633,0.011469369614772547,29.6969696969697,70.3030303030303,-35.418730614323415,-29.970342606575574,8.53155724706629,-83.56164383561644,20.95914742451155,-1.1938703768392598,0.05232561339275675,-0.07521828485700675,0.04624693890069247,17.61291902254827,0.8028855085454072,4.325911299332277,5.669726314129563,0.05054106172840381,0.292820293884823,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,11,True,0.7144926737867553,-1.3056492210539192,-2.5766069831944503,10.368301373467848,0.8125080472035764,-1.5407853673991576,1,Mid,1.1636731201455581,57.86387629154851,87.7024581101616,65.62839431504453,1.2304493969499277,51.37291585926624,18.78565134741487
441120.0,,DEU,20.894,44.925,25504050.0,25.0,1595.612,302.727,255040.0,5547.187,925.4,2.414,414.441,86.975,42.05,2024.0,2024-12-31,612.875,84.1,2208.487,346413,143.801,5500.0,612.875,248.153,6271.911,88.2,AUTO1 GROUP SE,15.88,DE000A2LQ884,2550.0,445.741,1745.496,12.398499999999999,696.731,665.355,24.5,86.975,6271.911,-219.725,615.792,1.9040184524518369,3.4091780542524983,0.6704495647339384,1.3867384278890438,0.3331361047693438,1.3867384278890438,11.55507468138499,2.733581446750418,2.6234055504204523,1.5762487694539007,0.9255089388371621,0.9291370771993898,48.90864197978073,1.509932694268815,1.914832551499082,27.750899144980252,72.24910085501975,1.7163265306122448,6.412888761138257,53.138325016176225,2.839913026429406,505.8604669919749,15.13342309279246,24.118799676844905,2.292778070352082,5.806566920429832,7.961734155649741,46.64881432401458,0.2531923683228286,0.35347801892042297,-235.605,-3.7565105754848878,,-522.5326991676576,3.603486844788905,1.3408991294678767,422.13075524073906,-322.13075524073906,14.810551664108473,29.553812518075183,131.48805078416729,220.6339053632912,-12.031907821847987,0.5171088323214388,0.08273871032581356,-1.1537009959686164,1.5071067528593767,1.8035834866110145,23.12003853184818,-9.949119012246847,13.997927779574384,0.6165278140185146,-0.5298648641179716,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,9,True,-1.1743011477911807,-0.5169391420873711,-2.5632168092203766,0.696826389019421,-1.5535856698447283,2.436655817019657,1,Mid,18.727397969655073,54.638614778489014,61.719747125130745,65.51763771612383,24.062632321604568,52.80782713914417,28.579840763412896
424210.0,,DEU,-54.3,73.1,35102010.0,35.0,2582.3,48.5,351020.0,8464.8,160.2,0.0,978.5,142.1,69.0,2021.0,2022-03-31,2492.6,90.4,5102.1,101768,352.9,5122.0,2492.6,31.7,9257.1,88.2,MCKESSON EUROPE AG,28.4,DE000CLS1001,3510.0,447.8,4150.0,6.808,583.2,2277.8,16.0,142.1,9257.1,0.9,1909.4,1.3523843123419768,-2.1784482066918076,0.745373821175098,1.5350379708548032,-0.5865767897073597,1.5350379708548032,8.558835920536682,2.60102533172497,1.8219334445517603,1.565896918078848,0.8382649925366582,0.8382649925366582,36.69469434154563,0.06427023991013399,0.07698788413704565,48.85439328903784,50.61249289508242,4.3125,-12.08655876143561,3.761196370122106,1.8143705533015817,1359.7385428907169,9.460500766479305,38.58146719815061,3.812209007140465,4.94450379232988,14.514403292181068,56.60218341467239,0.3067915437880113,0.38850889192886456,-27.5,-0.29706927655529264,3155.555555555555,1.3043478260869565,2.046898820508706,0.9765477309308532,,,-44.7274616225124,-27.60206036354348,-67.87466968667421,-110.4881769641495,-71.68494516450647,-0.19183236718778285,-0.020285868105718145,-0.037385091916835644,-0.0029209578354072556,0.6099293688920165,0.24383705001130732,0.01763979537837361,1.842429168166284,0.593520782858094,0.7031971053714129,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,8,True,-0.6713454625495727,0.0843791444581537,-1.70530597933083,1.1350618114643447,0.24463060093314803,1.2003593517109412,1,Mid,39.54109205940189,52.20659755123278,76.73933077208254,81.03901958736687,56.591170846705076,49.242688314207726,42.850333919749765
4244.0,,DEU,-120.0,755.0,30101020.0,30.0,10067.0,-625.0,301010.0,25222.0,2866.0,22.0,966.0,907.0,152.0,2024.0,2024-09-30,1668.0,43.0,11736.0,324977,5404.0,5140.0,1668.0,1153.0,31029.0,88.2,METRO AG,378.0,DE000BFB0019,3010.0,5347.0,4544.0,80.951,2258.0,6498.0,205.0,907.0,31029.0,1079.0,816.0,1.2951601908657124,-7.194244604316546,0.48986432047439493,2.9230719649360277,-0.38673498984820653,2.9230719649360277,18.714750717071126,3.3524481693868546,0.6992920898738073,0.3518005540166205,0.12557710064635272,0.12896275777162203,-16.64962508520791,1.7182254196642686,2.40947242206235,14.212678936605316,85.77880027266531,0.7414634146341463,3.5314222712238146,34.24505794137696,2.6439161554192228,383.3059505132735,32.12111801242236,11.36324083921493,17.415965709497566,,11.170062001771479,15.184049079754603,1.2182152180218504,0.5006622516556292,701.0,2.2591768990299395,35.032437442075995,709.8684210526316,7.0359712230215825,0.13858003802894067,,,1.56459690353834,0.7554945054945028,-1.0790136129237404,111.14457831325302,-2.8277634961439535,-0.14996869248568365,-0.32753590910055747,-0.07472043322469782,0.11418151320475307,0.6057903226135065,2.3519599327908947,9.193933197000682,1.2170855916199268,0.6741386588581022,-0.28151864859605574,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,11,True,-1.2646690042597177,-2.144747382919835,-1.8142128501843862,0.4334295083547659,-1.1490027431817045,2.001545442911678,1,Mid,17.46835799926653,51.852810890205205,68.23901007805286,45.088145048991855,25.82942492879969,46.61601931218749,25.74113362196679
2211.0,,DEU,120.931,13.215,55101010.0,55.0,1183.19,-165.813,551010.0,1061.984,0.0,0.0,179.089,32.615,19.4,2024.0,2024-12-31,553.362,84.1,1736.552,101148,168.989,4911.0,553.362,0.0,1175.02,99.245,LECHWERKE AG,151.34750000000003,DE0006458003,5510.0,57.081,191.879,0.459,3.785,1053.733,38.363,32.615,1175.02,110.958,1.247,1.1171562959243373,21.85386781166759,1.6510357270514544,2.775697434937278,10.291824820003063,2.775697434937278,9.619921363040634,3.505842468402239,0.18209451540380722,0.17850252388413385,0.0011834117371288554,0.0011834117371288554,-49.630186714823395,0.0,0.0,31.865558877591916,68.13444112240809,0.505695592106978,-0.03823394143798866,0.0,0.6766396859984614,2559.9564270152505,6.561095321320684,55.63095521778353,14.38179775663393,,280.5770145310436,10.384716380505738,12.88041905669691,11.452705259175183,-40.38950000000003,-3.4373457473064315,136.40071017862616,571.9484536082475,3.138184407313838,7.1573249817024385,82.06745995650412,17.932540043495877,-19.977662229758952,-2.234437781810017,20.15706806282722,-168.9328839015233,0.0,-0.6126584818850448,-0.0018825456209900493,0.13524766801173482,0.015012757920123868,2.6375583772359263,0.007521093711777124,6.389558158926424,2.7573588633657264,0.5935064248640239,-0.08760155552598982,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0.2097454693104376,-1.2152396479720737,-0.3300800106991745,1.8576549244098706,0.9950811664114199,-1.109624217715106,1,Mid,22.962008883340047,61.76321919708895,55.975936740718566,74.8353869495087,29.241142163748773,45.09762904968859,33.407157412267
454.0,,DEU,-136.4,263.6,30101030.0,30.0,1744.3,-26.9,301010.0,2601.1,672.8,9.9,50.7,266.2,2.6,2024.0,2024-12-31,891.7,167.7,2632.7,325735,1201.3,5960.0,891.7,241.5,7661.3,88.2,HELLOFRESH SE,112.2,DE000A161408,3010.0,4734.8,887.4,21.783,237.2,976.1,38.6,266.2,7661.3,239.3,496.6,0.09875792912219394,-15.296624425255132,0.03393679923772728,3.4746061373396158,-1.7803766984715388,3.4746061373396158,66.04884288567216,0.16618728028124002,0.9091281630980432,0.6661202745620326,0.5087593484274152,0.5189017518696855,-3.369164735822541,0.7545138499495345,1.0253448469216102,33.87017130702321,66.2551752953242,0.06735751295336788,1.569120961682945,34.72860561400844,2.9100543168610176,351.7100491208741,151.11045364891518,2.4154516857452393,15.680106509339145,,10.965851602023609,20.78854408022183,1.4645034132588464,0.4256449165402124,127.10000000000001,1.6589873781212066,46.88675302966987,9203.846153846152,2.95245037568689,2.1889235508334095,,,0.8516968117315615,1.9912447216518636,14.575005259835905,-4.722638680659664,-55.191693290734825,3.4122079361327287,0.04125791311740634,0.10159847107856994,2.427733443519362,14.281215114286393,0.6547261115670869,9.08952786113116,27.8212903455183,0.6279619665767598,0.26846720111114136,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,11,True,-1.2716089039123644,-1.560231910296125,-2.3962789677320493,0.4612630512444528,-0.5559457814317393,2.75332531469426,1,Mid,17.355148866043322,46.298713450761504,77.85604204172193,79.80852051630933,21.515768911556886,46.333369101425085,27.410019624934097
423510.0,1.208,DEU,-146.841,125.791,20107010.0,20.0,1817.166,-142.386,201070.0,5519.483,712.706,0.0,787.494,83.748,-42.043,2024.0,2024-12-31,1713.743,84.1,3537.881,278310,759.316,5051.0,1713.743,183.314,6632.193,19.95,KLOCKNER & CO SE,110.252,DE000KC01000,2010.0,543.674,2256.006,12.398499999999999,1290.669,983.341,63.505,83.748,6632.193,114.705,120.793,-1.1883667087728502,-8.568437624544638,-0.6339230477762031,1.2627497420536464,-2.2140640358324917,1.2627497420536464,16.777406809482173,-1.7326966278706044,2.294225502648623,0.9816909902058388,0.12283938125228176,0.12283938125228176,35.97252140476178,0.41587682633860507,0.5228438569843903,48.439814680030224,51.36311820550211,-0.6620423588693803,9.256662845679896,25.32645953891609,1.8746229734691473,534.9189821349357,8.421896547783222,43.33940673921884,11.448943056994873,5.211263765405665,4.276451204762801,25.673192512693333,1.6623762306072816,0.876469699740045,4.453000000000003,0.06714219565082022,96.1178675733403,,2.064417476832874,1.2680571871174435,,,-4.66339409427613,-8.516666015901265,60.33234191128927,-98.09181404078625,24.998015940500885,0.10773640244949141,-0.0012993261904905447,0.003428671810000239,0.0587752787113187,2.9009785182162453,0.05851734353754374,3.242194974901643,5.13394025479308,0.015171502685082359,0.04101178367650772,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,11,True,-1.1829638881619375,0.03801280559916998,-1.7033452437844108,0.3100538387945632,0.21911953938118464,1.4856112315193393,1,Mid,25.046857813830552,42.37843172982423,74.46013440987635,82.90180617219323,35.76114332159005,48.03955433022287,32.1487815869549
