gvkey,combined_cluster,combined_name,static_cluster,static_name,dynamic_cluster,dynamic_name,company_name,pattern,flag
210359,-1,Top Tier,-1,High Performers,-1,Growing,EWE-ENERGIEVERSORGUNG WESER,Unknown,?
212782,-1,Top Tier,-1,High Performers,-1,Growing,FRESENIUS MEDICAL CARE AG,Unknown,?
213034,-1,Top Tier,-1,High Performers,-1,Growing,GRAMMER AG,Unknown,?
213037,-1,Top Tier,-1,High Performers,-1,Growing,INDUS HOLDING AG,Unknown,?
214700,-1,Top Tier,-1,High Performers,-1,Growing,STADA ARZNEIMITTEL AG,Unknown,?
214759,-1,Top Tier,-1,High Performers,-1,Growing,HEIDELBERGER DRUCKMASCHINEN,Unknown,?
216524,-1,Top Tier,-1,High Performers,-1,Growing,ENBW ENERGIE BADEN,Unknown,?
218000,-1,Top Tier,-1,High Performers,-1,Growing,JENOPTIK AG,Unknown,?
220295,-1,Top Tier,-1,High Performers,-1,Growing,ELRINGKLINGER AG,Unknown,?
220301,-1,Top Tier,-1,High Performers,-1,Growing,MERCK KGAA,Unknown,?
220303,-1,Top Tier,-1,High Performers,-1,Growing,AURUBIS AG,Unknown,?
220307,-1,Top Tier,-1,High Performers,-1,Growing,PFALZWERKE AG,Unknown,?
221244,-1,Top Tier,-1,High Performers,-1,Growing,ADIDAS AG,Unknown,?
221614,-1,Top Tier,-1,High Performers,-1,Growing,DEUTSCHE BAHN AG,Unknown,?
221616,-1,Top Tier,-1,High Performers,-1,Growing,DEUTSCHE TELEKOM,Unknown,?
222247,-1,Top Tier,-1,High Performers,-1,Growing,SOFTWARE GMBH,Unknown,?
222340,-1,Top Tier,-1,High Performers,-1,Growing,DUERR AG,Unknown,?
223089,-1,Top Tier,-1,High Performers,-1,Growing,HORNBACH-BAUMARKT AG,Unknown,?
225236,-1,Top Tier,-1,High Performers,-1,Growing,UNITED INTERNET AG,Unknown,?
231016,-1,Top Tier,-1,High Performers,-1,Growing,MORPHOSYS AG,Unknown,?
232623,-1,Top Tier,-1,High Performers,-1,Growing,EVOTEC SE,Unknown,?
233025,-1,Top Tier,-1,High Performers,-1,Growing,CANCOM SE,Unknown,?
234919,-1,Top Tier,-1,High Performers,-1,Growing,CTS EVENTIM AG & CO KGAA,Unknown,?
238136,-1,Top Tier,-1,High Performers,-1,Growing,BECHTLE AG,Unknown,?
238442,-1,Top Tier,-1,High Performers,-1,Growing,CARL ZEISS MEDITEC AG,Unknown,?
241456,-1,Top Tier,-1,High Performers,-1,Growing,DEUTSCHE POST AG,Unknown,?
241840,-1,Top Tier,-1,High Performers,-1,Growing,SCHULER AG,Unknown,?
242158,-1,Top Tier,-1,High Performers,-1,Growing,WIRECARD AG,Unknown,?
244394,-1,Top Tier,-1,High Performers,-1,Growing,MVV ENERGIE AG,Unknown,?
244398,-1,Top Tier,-1,High Performers,-1,Growing,TAKKT AG,Unknown,?
245628,-1,Top Tier,-1,High Performers,-1,Growing,NORDEX SE,Unknown,?
245839,-1,Top Tier,-1,High Performers,-1,Growing,FRAPORT AG,Unknown,?
248166,-1,Top Tier,-1,High Performers,-1,Growing,MAINOVA AG,Unknown,?
269104,-1,Top Tier,-1,High Performers,-1,Growing,BAUER AG,Unknown,?
269835,-1,Top Tier,-1,High Performers,-1,Growing,BRENNTAG SE,Unknown,?
270249,-1,Top Tier,-1,High Performers,-1,Growing,DIEBOLD NIXDORF AG,Unknown,?
271763,-1,Top Tier,-1,High Performers,-1,Growing,LANXESS AG,Unknown,?
273099,-1,Top Tier,-1,High Performers,-1,Growing,MTU AERO ENGINES AG,Unknown,?
276585,-1,Top Tier,-1,High Performers,-1,Growing,WACKER CHEMIE AG,Unknown,?
278310,-1,Top Tier,-1,High Performers,-1,Growing,KLOCKNER & CO SE,Unknown,?
281772,-1,Top Tier,-1,High Performers,-1,Growing,SYMRISE AG,Unknown,?
284636,-1,Top Tier,-1,High Performers,-1,Growing,WACKER NEUSON SE,Unknown,?
284944,-1,Top Tier,-1,High Performers,-1,Growing,GERRESHEIMER GROUP,Unknown,?
285715,-1,Top Tier,-1,High Performers,-1,Growing,SAF HOLLAND SE,Unknown,?
287162,-1,Top Tier,-1,High Performers,-1,Growing,HAMBURGER HAFEN UND LOGISTIK,Unknown,?
289333,-1,Top Tier,-1,High Performers,-1,Growing,SMA SOLAR TECHNOLOGY AG,Unknown,?
295079,-1,Top Tier,-1,High Performers,-1,Growing,STROEER SE & CO KGAA,Unknown,?
295421,-1,Top Tier,-1,High Performers,-1,Growing,EVONIK INDUSTRIES AG,Unknown,?
297185,-1,Top Tier,-1,High Performers,-1,Growing,KION GROUP AG,Unknown,?
297222,-1,Top Tier,-1,High Performers,-1,Growing,NORMA GROUP SE,Unknown,?
313972,-1,Top Tier,-1,High Performers,-1,Growing,TELEFONICA DEUTSCHLAND,Unknown,?
315541,-1,Top Tier,-1,High Performers,-1,Growing,OSRAM LICHT AG,Unknown,?
315582,-1,Top Tier,-1,High Performers,-1,Growing,STABILUS SE,Unknown,?
317079,-1,Top Tier,-1,High Performers,-1,Growing,SCOUT24 SE,Unknown,?
318434,-1,Top Tier,-1,High Performers,-1,Growing,ZALANDO SE,Unknown,?
318452,-1,Top Tier,-1,High Performers,-1,Growing,ROCKET INTERNET SE,Unknown,?
318659,-1,Top Tier,-1,High Performers,-1,Growing,HELLA GMBH & CO. KGAA,Unknown,?
319665,-1,Top Tier,-1,High Performers,-1,Growing,ALLANE SE,Unknown,?
319865,-1,Top Tier,-1,High Performers,-1,Growing,SILTRONIC AG,Unknown,?
320124,-1,Top Tier,-1,High Performers,-1,Growing,SCHAEFFLER AG,Unknown,?
320448,-1,Top Tier,-1,High Performers,-1,Growing,COVESTRO AG,Unknown,?
321632,-1,Top Tier,-1,High Performers,-1,Growing,UNIPER SE,Unknown,?
322597,-1,Top Tier,-1,High Performers,-1,Growing,INNOGY SE,Unknown,?
324859,-1,Top Tier,-1,High Performers,-1,Growing,DELIVERY HERO SE,Unknown,?
324977,-1,Top Tier,-1,High Performers,-1,Growing,METRO AG,Unknown,?
325735,-1,Top Tier,-1,High Performers,-1,Growing,HELLOFRESH SE,Unknown,?
326410,-1,Top Tier,-1,High Performers,-1,Growing,1&1 AG,Unknown,?
326577,-1,Top Tier,-1,High Performers,-1,Growing,DERMAPHARM HOLDING,Unknown,?
326765,-1,Top Tier,-1,High Performers,-1,Growing,SIEMENS HEALTHINEE,Unknown,?
327148,-1,Top Tier,-1,High Performers,-1,Growing,SPRINGER NATURE AG,Unknown,?
328745,-1,Top Tier,-1,High Performers,-1,Growing,KNORR-BREMSE AKTIE,Unknown,?
329260,-1,Top Tier,-1,High Performers,-1,Growing,ENCAVIS AG,Unknown,?
332311,-1,Top Tier,-1,High Performers,-1,Growing,TRATON SE,Unknown,?
333885,-1,Top Tier,-1,High Performers,-1,Growing,TEAMVIEWER SE,Unknown,?
340115,-1,Top Tier,-1,High Performers,-1,Growing,HENSOLDT AG,Unknown,?
340153,-1,Top Tier,-1,High Performers,-1,Growing,SIEMENS ENERGY AG,Unknown,?
346413,-1,Top Tier,-1,High Performers,-1,Growing,AUTO1 GROUP SE,Unknown,?
347562,-1,Top Tier,-1,High Performers,-1,Growing,SYNLAB AG,Unknown,?
350278,-1,Top Tier,-1,High Performers,-1,Growing,VITESCO TECHNOLOGIES GROUP,Unknown,?
351590,-1,Top Tier,-1,High Performers,-1,Growing,DAIMLER TRUCK HOLDING AG,Unknown,?
354519,-1,Top Tier,-1,High Performers,-1,Growing,DR ING  H C F PORSCHE AG,Unknown,?
355804,-1,Top Tier,-1,High Performers,-1,Growing,IONOS GROUP SE,Unknown,?
358679,-1,Top Tier,-1,High Performers,-1,Growing,SCHOTT PHARMA AG & CO KGAA,Unknown,?
360887,-1,Top Tier,-1,High Performers,-1,Growing,DOUGLAS AG,Unknown,?
