cluster_dbscan,Component,Explained_Variance_Ratio,Cumulative_Variance
0,-0.9549442689376163,0.02904193948426109,0.07656989238959687
1,-1.5053876997028823,0.2357209487848122,-1.1125902201314126
2,-1.6897051213069487,-0.28252607342549146,-0.17295930811459362
3,-1.5266421813896784,-0.08518155170927277,-0.09119065269720401
