gvkey,combined_cluster,combined_name,static_cluster,static_name,dynamic_cluster,dynamic_name,company_name,pattern,flag
212782,2,Upper-Mid,0,Mid,4,Growing,FRESENIUS MEDICAL CARE AG,Declining,⚠
213034,4,Mid,0,Mid,0,Growing,GRAMMER AG,Volatile,⚠
213037,0,Strong Performers,0,Mid,0,Growing,INDUS HOLDING AG,Consistent,✓
214700,0,Strong Performers,2,High Performers,0,Growing,STADA ARZNEIMITTEL AG,Improving,⭐
214759,2,Upper-Mid,0,Mid,0,Growing,HEIDELBERGER DRUCKMASCHINEN,Consistent,✓
216524,2,Upper-Mid,0,Mid,2,Growing,ENBW ENERGIE BADEN,Declining,⚠
218000,2,Upper-Mid,2,High Performers,0,Growing,JENOPTIK AG,Improving,⭐
220295,4,Mid,4,Lower-Mid,4,Growing,ELRINGKLINGER AG,Critical,🔥
220301,0,Strong Performers,2,High Performers,0,Growing,MERCK KGAA,Improving,⭐
220303,2,Upper-Mid,0,Mid,0,Growing,AURUBIS AG,Consistent,✓
220307,2,Upper-Mid,0,Mid,0,Growing,PFALZWERKE AG,Consistent,✓
221244,0,Strong Performers,0,Mid,0,Growing,ADIDAS AG,Consistent,✓
221614,4,Mid,0,Mid,2,Growing,DEUTSCHE BAHN AG,Declining,⚠
221616,0,Strong Performers,2,High Performers,2,Growing,DEUTSCHE TELEKOM,Consistent,✓
222247,0,Strong Performers,3,Upper-Mid,4,Growing,SOFTWARE GMBH,Volatile,⚠
222340,2,Upper-Mid,0,Mid,4,Growing,DUERR AG,Declining,⚠
223089,2,Upper-Mid,0,Mid,0,Growing,HORNBACH-BAUMARKT AG,Consistent,✓
225236,2,Upper-Mid,0,Mid,4,Growing,UNITED INTERNET AG,Declining,⚠
231016,1,Lower-Mid,1,Low Performers,0,Growing,MORPHOSYS AG,Consistent,✓
232623,4,Mid,3,Upper-Mid,0,Growing,EVOTEC SE,Improving,⭐
233025,2,Upper-Mid,0,Mid,4,Growing,CANCOM SE,Declining,⚠
234919,0,Strong Performers,2,High Performers,0,Growing,CTS EVENTIM AG & CO KGAA,Improving,⭐
238136,2,Upper-Mid,0,Mid,0,Growing,BECHTLE AG,Consistent,✓
238442,0,Strong Performers,3,Upper-Mid,0,Growing,CARL ZEISS MEDITEC AG,Improving,⭐
241456,2,Upper-Mid,0,Mid,2,Growing,DEUTSCHE POST AG,Declining,⚠
241840,4,Mid,0,Mid,4,Growing,SCHULER AG,Declining,⚠
242158,0,Strong Performers,2,High Performers,0,Growing,WIRECARD AG,Improving,⭐
244394,2,Upper-Mid,0,Mid,0,Growing,MVV ENERGIE AG,Consistent,✓
244398,2,Upper-Mid,0,Mid,4,Growing,TAKKT AG,Declining,⚠
245628,4,Mid,0,Mid,0,Growing,NORDEX SE,Volatile,⚠
245839,2,Upper-Mid,0,Mid,0,Growing,FRAPORT AG,Consistent,✓
248166,2,Upper-Mid,0,Mid,0,Growing,MAINOVA AG,Consistent,✓
269104,2,Upper-Mid,0,Mid,0,Growing,BAUER AG,Consistent,✓
269835,2,Upper-Mid,0,Mid,0,Growing,BRENNTAG SE,Consistent,✓
270249,2,Upper-Mid,0,Mid,0,Growing,DIEBOLD NIXDORF AG,Consistent,✓
271763,4,Mid,4,Lower-Mid,0,Growing,LANXESS AG,Improving,⭐
273099,2,Upper-Mid,0,Mid,0,Growing,MTU AERO ENGINES AG,Consistent,✓
276585,2,Upper-Mid,3,Upper-Mid,0,Growing,WACKER CHEMIE AG,Improving,⭐
278310,2,Upper-Mid,0,Mid,0,Growing,KLOCKNER & CO SE,Consistent,✓
281772,0,Strong Performers,2,High Performers,0,Growing,SYMRISE AG,Improving,⭐
284636,2,Upper-Mid,0,Mid,0,Growing,WACKER NEUSON SE,Consistent,✓
284944,2,Upper-Mid,0,Mid,0,Growing,GERRESHEIMER GROUP,Consistent,✓
285715,2,Upper-Mid,0,Mid,0,Growing,SAF HOLLAND SE,Consistent,✓
287162,2,Upper-Mid,0,Mid,0,Growing,HAMBURGER HAFEN UND LOGISTIK,Consistent,✓
289333,4,Mid,0,Mid,0,Growing,SMA SOLAR TECHNOLOGY AG,Volatile,⚠
295079,0,Strong Performers,2,High Performers,0,Growing,STROEER SE & CO KGAA,Improving,⭐
295421,2,Upper-Mid,0,Mid,4,Growing,EVONIK INDUSTRIES AG,Declining,⚠
297185,2,Upper-Mid,0,Mid,0,Growing,KION GROUP AG,Consistent,✓
297222,0,Strong Performers,3,Upper-Mid,4,Growing,NORMA GROUP SE,Volatile,⚠
313972,0,Strong Performers,0,Mid,0,Growing,TELEFONICA DEUTSCHLAND,Consistent,✓
315541,4,Mid,0,Mid,1,Growing,OSRAM LICHT AG,Volatile,⚠
315582,2,Upper-Mid,0,Mid,0,Growing,STABILUS SE,Consistent,✓
317079,0,Strong Performers,2,High Performers,0,Growing,SCOUT24 SE,Improving,⭐
318434,2,Upper-Mid,0,Mid,0,Growing,ZALANDO SE,Consistent,✓
318452,-1,,-1,,1,Growing,ROCKET INTERNET SE,Unknown,?
318659,2,Upper-Mid,0,Mid,0,Growing,HELLA GMBH & CO. KGAA,Consistent,✓
319665,1,Lower-Mid,1,Low Performers,4,Growing,ALLANE SE,Declining,⚠
319865,2,Upper-Mid,0,Mid,0,Growing,SILTRONIC AG,Consistent,✓
320124,4,Mid,0,Mid,4,Growing,SCHAEFFLER AG,Declining,⚠
320448,4,Mid,4,Lower-Mid,0,Growing,COVESTRO AG,Improving,⭐
321632,4,Mid,0,Mid,2,Growing,UNIPER SE,Declining,⚠
322597,4,Mid,0,Mid,4,Growing,INNOGY SE,Declining,⚠
324859,4,Mid,0,Mid,0,Growing,DELIVERY HERO SE,Volatile,⚠
324977,4,Mid,0,Mid,0,Growing,METRO AG,Volatile,⚠
