xsga,loc,revt,at,ib,naics,oibdp,invt,gsubind,seq,isin,che,gsector,cogs,rect,sic,ggroup,conm,dltt,ppent,gvkey,dp,gind,oancf,ceq,ebit,lt,fyear,act,sale,ebitda,datadate,emp,dlc,lct,roa,roe,ebit_margin,ebitda_margin,net_profit_margin,current_ratio,quick_ratio,cash_ratio,debt_to_equity,total_debt_to_equity,equity_ratio,debt_ratio,asset_turnover,revenue_per_employee,receivables_turnover,days_sales_outstanding,revenue_growth,asset_growth,employee_growth,roa_outlier,roe_outlier,ebit_margin_outlier,ebitda_margin_outlier,net_profit_margin_outlier,current_ratio_outlier,quick_ratio_outlier,cash_ratio_outlier,debt_to_equity_outlier,total_debt_to_equity_outlier,equity_ratio_outlier,debt_ratio_outlier,asset_turnover_outlier,receivables_turnover_outlier,revenue_growth_outlier,asset_growth_outlier,employee_growth_outlier,years_available,latest_year,cluster,cluster_name
4076.0,DEU,9850.0,13011.0,912.0,325620.0,1671.0,1612.0,30302010.0,8475.0,DE0005200000,2503.0,30.0,3775.0,2042.0,2844.0,3030.0,BEIERSDORF AG,0.0,2719.0,100083,315.0,303020.0,1231.0,8475.0,1356.0,4516.0,2024.0,6441.0,9850.0,1671.0,2024-12-31,22.791,114.0,3696.0,10.42195065713627,10.761061946902654,13.766497461928934,16.96446700507614,9.258883248730964,1.7426948051948052,1.306547619047619,0.6772186147186147,0.0,0.013451327433628318,65.13719160710168,34.70909230650987,0.7570517254630698,432.18814444298187,4.823702252693438,75.66802030456853,4.265904519953434,3.024784226779631,3.7936059750432793,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,Upper-Mid
315.2,DEU,5037.5,3463.5,178.0,237.0,356.5,115.1,20201070.0,1300.9,DE0005909006,533.5,20.0,4366.2,1364.8,1600.0,2020.0,BILFINGER SE,317.3,470.8,100102,120.8,202010.0,241.1,1300.9,235.7,2152.2,2024.0,2063.8,5037.5,356.5,2024-12-31,31.478,59.3,1520.7,6.805254800057744,13.682834960412022,4.678908188585608,7.076923076923077,3.5334987593052114,1.3571381600578682,1.281449332544223,0.3508252778325771,0.24390806364824352,0.2894918902298409,37.56027140176123,62.13945430922476,1.4544535874115778,160.0324035834551,3.691016998827667,98.88873449131513,12.303816657749223,3.1601834753082647,9.870855148342073,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,Upper-Mid
324.0,DEU,31439.0,47052.0,1387.0,481111.0,3605.0,1606.0,20302010.0,11542.0,DE0008232125,8488.0,20.0,30568.0,4796.0,4512.0,2030.0,DEUTSCHE LUFTHANSA AG,11413.0,19025.0,100103,2341.0,203020.0,3892.0,11542.0,1264.0,35458.0,2024.0,16316.0,31439.0,3605.0,2024-12-31,66.111,2819.0,19581.0,2.68638952648134,12.016981459019235,4.020484112090079,11.466649702598684,4.411717929959604,0.8332567284612634,0.7512384454317961,0.43348143608600176,0.9888234274822387,1.2330618610292843,24.530306894499702,75.3591770806767,0.6681756354671428,475.54869840117374,6.555254378648874,55.68052418970069,5.055804317316048,3.8194214602502052,5.205283259070659,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,2,Lower-Mid
254.7,DEU,1813.7,1683.3,42.0,3336.0,118.5,431.6,20106010.0,847.9,DE0006305006,62.0,20.0,1329.5,245.4,3510.0,2010.0,DEUTZ AG,131.7,380.8,100301,83.4,201060.0,101.7,847.9,35.1,835.4,2024.0,745.8,1813.7,118.5,2024-12-31,,155.9,574.3,2.0851898057387275,4.953414317726147,1.9352704416386393,6.533605337156089,2.3157082207641837,1.2986244123280515,0.5471008183876023,0.1079575134946892,0.1553249203915556,0.33919094232810476,50.371294481078834,49.628705518921166,1.0774668805322878,,7.39079054604727,49.38578596239731,-12.092865451725466,5.854609483083872,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,2,Lower-Mid
2383.0,DEU,9751.0,14344.0,804.0,332994.0,1806.0,3989.0,20101010.0,4050.0,DE0007030009,1253.0,20.0,4692.0,2848.0,3480.0,2010.0,RHEINMETALL AG,1871.0,1661.0,100312,386.0,201010.0,1720.0,4050.0,1420.0,9880.0,2024.0,8231.0,9751.0,1806.0,2024-12-31,28.539,552.0,6782.0,9.899609592861127,19.85185185185185,14.562608963183262,18.521177315147163,8.245308173520664,1.2136537894426422,0.6254792096726629,0.1847537599528163,0.46197530864197534,0.5982716049382716,28.234802007808142,68.87897378694925,0.6797964305633017,341.67279862644097,3.423806179775281,106.60650189724132,35.883500557413605,22.52498505167848,15.295115743546251,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,Upper-Mid
1280.105,DEU,5422.129,6032.165,398.162,3332.0,732.31,775.678,20106020.0,2423.749,DE0006602006,638.313,20.0,3288.165,1264.576,3550.0,2010.0,GEA GROUP AG,124.639,925.441,100368,169.958,201060.0,710.118,2423.749,562.352,3608.021,2024.0,2776.052,5422.129,732.31,2024-12-31,18.347,170.137,2620.045,9.322556660834046,16.42752611759716,10.371424213625312,13.505949415810653,7.3432778895522395,1.0595436337925495,0.7634884133669461,0.24362673160193812,0.0514240542234365,0.12161985420107446,40.18041615240962,59.81303561822331,0.8988694772109185,295.5321850983812,4.287705128042917,85.12712257491478,0.9051471380523424,1.3086461843609065,-2.269216427848497,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,Upper-Mid
3621.3,DEU,21201.9,37301.7,1745.7,327310.0,4170.2,2857.3,15102010.0,18795.6,DE0006047004,3233.0,15.0,7667.1,2674.3,3241.0,1510.0,HEIDELBERG MATERIALS AG,6713.2,13372.7,100373,1305.3,151020.0,3231.7,18795.6,2864.9,17326.8,2024.0,9201.2,21201.9,4170.2,2024-12-31,50.692,1605.2,7258.7,7.680347008313294,9.287812041116007,13.512468222187636,19.668991929968538,8.233696036675958,1.2676099025996392,0.8739719233471559,0.4453965586124237,0.3571686990572262,0.44257166570899575,50.38805201907688,46.45042987316932,0.5683896444397978,418.24942791762015,7.928018546909471,46.03924648262656,-0.02122000905386834,5.159635200090196,-0.5980743965331325,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,Upper-Mid
19.5,DEU,19111.8,33617.1,2385.5,483111.0,4596.3,630.6,20303010.0,20653.8,DE000HLAG475,7512.7,20.0,14028.7,2599.0,4412.0,2030.0,HAPAG-LLOYD AG,5086.7,16425.6,100431,2071.7,203030.0,4364.9,20653.8,2524.6,12893.9,2024.0,11025.8,19111.8,4596.3,2024-12-31,14.608,1521.6,7162.0,7.509868489548474,11.54993270003583,13.209640117623668,24.04954007471824,12.481817515880241,1.539486177045518,1.451438145769338,1.0489667690589222,0.2462839767984584,0.3199556498077835,61.43837511266588,38.35518233280087,0.568514238289442,1308.3105147864183,7.353520584840323,49.63608869912829,6.59416046180874,15.87148943210488,-10.35286897821418,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,Upper-Mid
558.7,DEU,3732.4,3998.1,-48.9,333999.0,239.3,533.5,20106020.0,1185.0,DE0006204407,656.0,20.0,2740.1,1500.6,3569.0,2010.0,KUKA AG,104.2,524.2,100449,151.7,201060.0,272.9,1185.0,87.6,2445.5,2024.0,2690.1,3732.4,239.3,2024-12-31,,490.7,2208.3,2.191040744353568,-4.1265822784810124,2.3470153252598864,6.411424284642589,-1.3101489658128818,1.2181768781415567,0.9765883258615223,0.2970610877145315,0.08793248945147679,0.5020253164556961,29.6390785623171,61.16655411320377,0.9335434331307372,,2.4872717579634815,146.74713321187437,-7.926092212053182,0.6647027721127019,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,2,Lower-Mid
600.73,DEU,2199.668,1814.619,108.453,237.0,136.319,45.87,20103010.0,987.04,DE000A0Z23N2,249.943,20.0,1404.567,369.809,1600.0,2010.0,STRABAG AG,0.0,417.55,100458,83.258,201030.0,69.661,987.04,53.061,825.376,2016.0,673.336,2199.668,136.319,2016-12-31,11.5,0.0,559.094,2.924084890547272,10.98770059977306,2.412227663447393,6.197253403695465,4.930425864266789,1.204334154900607,1.122290706035121,0.44705004882899835,0.0,0.0,54.393787345993836,45.48480975896318,1.212192752307785,191.27547826086956,5.9481191642172035,61.363935375702155,3.1606632168286186,1.706505874994102,4.545454545454541,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,True,2,Lower-Mid
