gvkey,roa,roe,ebit_margin,gross_margin,fcf_margin,current_ratio,debt_to_equity,financial_leverage,conm,roa_trend,cluster,cluster_name
321632,5.908181558367326,2.8607204777499518,3.260168312999097,7.70024802511792,1.4107324626170235,1.4368503571221183,0.10248507031400501,3.7072818339433633,UNIPER SE,-2.762015132827845,4,Mid
320124,3.603182030884417,-16.570529627687467,4.2335605893996044,26.98482515944579,2.7215746646140313,1.2773361136452497,1.4452018877818562,5.6030414263240695,SCHAEFFLER AG,-1.0002891525808892,4,Mid
245628,3.171732239418236,0.8919378348804626,2.447037708124253,19.99916424904008,3.638434953571294,0.9982157078671239,0.4249413517562171,5.68428671218551,NORDEX SE,-1.1913708350315675,4,Mid
100103,2.68638952648134,12.016981459019235,4.020484112090079,2.770444352555743,-0.019084576481440248,0.8332567284612634,0.9888234274822387,4.076589845780627,DEUTSCHE LUFTHANSA AG,-0.5617290508643753,4,Mid
213034,2.3398745258243365,-19.005068071151744,2.069648810679144,13.756376425995997,-1.8992291829172403,1.1566742521783393,2.34069363013018,6.756601411110007,GRAMMER AG,-0.5374664283495462,4,Mid
101768,1.3523843123419768,-2.1784482066918076,0.745373821175098,8.558835920536682,-0.29706927655529264,1.8219334445517603,0.06427023991013399,2.046898820508706,MCKESSON EUROPE AG,-0.6210729632826416,4,Mid
101161,1.3448575051725289,11.19709563389701,1.3521674942960675,12.23325728090189,1.1407864716145484,1.002422983731395,0.3052450558899398,2.862902455335817,GELSENWASSER AG,-0.22518690042393547,4,Mid
324977,1.2951601908657124,-7.194244604316546,0.48986432047439493,18.714750717071126,2.2591768990299395,0.6992920898738073,1.7182254196642686,7.0359712230215825,METRO AG,-0.3112482730414712,4,Mid
101148,1.1171562959243373,21.85386781166759,1.6510357270514544,9.619921363040634,,0.18209451540380722,0.0,3.138184407313838,LECHWERKE AG,-0.5832397455941732,4,Mid
220295,0.6613982923919302,-21.64513652158484,0.6453201533328601,28.128549371761192,3.3111756406616033,1.4134184476268248,0.5035133365470221,2.7624686155020184,ELRINGKLINGER AG,-0.7067721228011384,4,Mid
320448,0.4988628860685203,-3.9951937518774407,0.4795824811340715,22.103110233443825,0.6276888356019465,1.6124161073825503,0.36602583358365876,2.0473115049564434,COVESTRO AG,-0.9886377981013741,4,Mid
271763,0.23684481515806816,-3.8595726122982987,0.36129437637448947,29.186302230600063,2.9531888155827835,1.9452904681331078,0.5294374182293938,2.1175316179677277,LANXESS AG,-0.5666661696352858,4,Mid
315541,-0.03268346466552724,0.0,-12.805221109485764,4.928547316304721,,0.803135409345109,0.24864300122048197,1.6490396933687148,OSRAM LICHT AG,-1.0006406952328004,4,Mid
102187,-0.07236058915524847,-57.01549504386465,,,,16.126666666666665,0.21211689643386122,1.2202631878774068,PORSCHE AUTOMOBIL HOLDING SE,0.015974187631499267,4,Mid
340153,-0.16904509179541613,13.046831955922865,-0.24952850718119834,17.037574350790656,3.989554620629624,0.8986585402288548,0.36220385674931127,5.60595041322314,SIEMENS ENERGY AG,-0.7482810710884006,4,Mid
103176,-0.4738690212388777,-15.715329228842743,-0.3966781769926657,13.849490596729547,-0.49085357153049286,1.764934188322646,0.06782844620682459,3.060941250130439,THYSSENKRUPP AG,-0.5167523754261212,4,Mid
221614,-0.5625879043600562,-10.44052348679598,-1.8013204594893715,3.350761363202687,-50.78426134412091,0.901539934572728,1.9473007712082262,4.901729376022435,DEUTSCHE BAHN AG,-0.38680008908863217,4,Mid
324859,-2.129561044732859,-34.03927014620221,-2.151333501427444,30.297607912352476,4.060286139556068,1.39210223162858,2.0829379315665624,4.79126644292713,DELIVERY HERO SE,0.8593399137390071,4,Mid
100042,-2.283029297954671,-7.278854254422915,-3.8106661745709545,23.186934858830043,1.9191732792028051,0.6407944780955064,0.11440606571187868,3.0480202190395955,MAN SE,-0.4479385377431797,4,Mid
102365,-2.656919940957334,-21.216707021791766,-2.966101694915254,26.81261770244821,2.3775894538606406,1.4674361088211048,0.8056900726392252,4.305992736077482,KOENIG & BAUER AG,-0.43667841443837235,4,Mid
101286,-3.6151839001215413,160.04571948660825,-1.889184022422906,14.456656633348143,-3.143522266133398,0.6402877004374935,-1.1546075347195581,,LEONI AG,-1.609428521142559,4,Mid
232623,-4.126479344858201,-20.58507650717829,-9.902417540500421,27.100369275013897,-12.453213244714023,1.97908788832944,0.41231778693472615,2.0078234167082227,EVOTEC SE,-0.39850016268828614,4,Mid
100010,-4.250672662268254,437.7415687760516,-2.177823309743788,10.350444015352881,1.606575487331045,0.9146029254737492,-7.774535809018568,,BAYWA AG,-0.11533689911326939,4,Mid
322597,-6.171591284252228,-1.185025585779693,-8.919039809154615,18.68197405695542,-0.8409124794990308,1.1603321990887594,2.057231349313224,6.526259089684891,INNOGY SE,-1.8923674878347554,4,Mid
289333,-6.361948215252014,-21.276811080829034,-6.408631639628523,19.056417683933134,-10.434385904827389,1.5191172917086673,0.07420352926718186,2.78543544737546,SMA SOLAR TECHNOLOGY AG,0.5545861986652604,4,Mid
241840,-11.29224991464664,-33.54995938261576,-11.643052010912612,51.50928451993312,7.515620874768988,1.5329082682023858,0.17140536149471972,3.1724884917411313,SCHULER AG,-3.182648742413301,4,Mid
