prev_cluster,0,1,2,3,4,All
0,78,0,0,0,0,78
1,0,482,0,0,0,482
2,0,0,27,0,0,27
3,0,0,0,830,0,830
4,0,0,0,0,7,7
All,78,482,27,830,7,1424
