xsga,cogs,seq,act,ggroup,ib,rect,ebitda,oibdp,ppent,datadate,gsector,ceq,isin,conm,dlc,gind,dltt,ebit,sic,che,emp,revt,loc,invt,gsubind,oancf,at,gvkey,fyear,lt,sale,dp,lct,naics,roa,roe,ebit_margin,ebitda_margin,net_profit_margin,current_ratio,quick_ratio,cash_ratio,debt_to_equity,total_debt_to_equity,equity_ratio,debt_ratio,asset_turnover,revenue_per_employee,receivables_turnover,days_sales_outstanding,revenue_growth,asset_growth,employee_growth,roa_outlier,roe_outlier,ebit_margin_outlier,ebitda_margin_outlier,net_profit_margin_outlier,current_ratio_outlier,quick_ratio_outlier,cash_ratio_outlier,debt_to_equity_outlier,total_debt_to_equity_outlier,equity_ratio_outlier,debt_ratio_outlier,asset_turnover_outlier,receivables_turnover_outlier,revenue_growth_outlier,asset_growth_outlier,employee_growth_outlier,years_available,latest_year,cluster,cluster_name
1026.1,1359.5,1092.5,1938.0,2010.0,118.1,784.8,334.1,334.1,667.8,2024-12-31,20.0,1092.5,DE0006292030,KSB SE & CO KGAA,20.8,201060.0,37.5,243.2,3560.0,369.3,,2967.4,DEU,764.8,20106020.0,268.6,2867.9,101390,2024.0,1532.5,2967.4,90.9,983.0,3339.0,8.480072526936084,10.810068649885583,8.195726898968795,11.259014625598168,3.9799150771719347,1.9715157680569684,1.1934893184130213,0.37568667344862666,0.034324942791762014,0.05336384439359267,38.0940758045957,53.4363122842498,1.0346943756755815,,3.7810907237512748,96.53299184471253,5.1916253655244216,7.419266998998819,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,2,Upper-Mid
2055.0,3921.0,3045.0,5416.0,2010.0,445.0,1626.0,1135.0,1135.0,1665.0,2024-12-31,20.0,3045.0,DE000KBX1006,KNORR-BREMSE AKTIE,964.0,201060.0,2210.0,809.0,3743.0,2263.0,29.051,7996.0,DEU,1216.0,20106010.0,1042.0,9614.0,328745,2024.0,6487.0,7996.0,326.0,3313.0,336510.0,8.414811732889536,14.614121510673234,10.117558779389695,14.194597298649326,5.56528264132066,1.6347721098702084,1.2677331723513432,0.6830667069121642,0.7257799671592775,1.0423645320197044,31.67256084876222,67.47451633035158,0.8317037653422092,275.24009500533543,4.9175891758917585,74.22336168084043,-0.5338035793898466,16.553648987544744,-1.4786176959338038,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,2,Upper-Mid
5.4,4269.0,2827.7,4305.2,2520.0,281.6,1505.3,967.5,967.5,1882.5,2024-12-31,25.0,2827.7,DE0006969603,PUMA SE,352.2,252030.0,1366.4,597.3,3021.0,368.2,19.599,8817.2,DEU,2013.7,25203020.0,694.8,7140.6,102175,2024.0,4312.0,8817.2,370.2,2870.9,316210.0,8.364843290479792,9.95862361636666,6.774259402077757,10.972871206278636,3.1937576554915394,1.4995994287505658,0.7981817548503953,0.12825246438399107,0.48321957774870045,0.6077731018141954,39.60031369912892,60.38708231801249,1.2347981962300087,449.8800959232614,5.857437055736399,62.31394320192351,2.5053187160677615,7.5326787542919105,4.9140838284888355,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,2,Upper-Mid
839.448,5027.075,1911.446,2638.103,4510.0,245.498,1526.454,491.647,491.647,476.89,2024-12-31,45.0,1911.446,DE0005158703,BECHTLE AG,243.49,451020.0,568.761,351.327,7370.0,716.202,13.952,6305.762,DEU,377.231,45102010.0,558.151,4217.281,238136,2024.0,2302.211,6305.762,140.32,1608.168,541512.0,8.330651905813248,12.843574968897892,5.57152331470804,7.7967896663400875,3.89323288763515,1.64043992916163,1.4058680436372322,0.44535272434223294,0.29755535861332205,0.42494059471206613,45.32413182806647,54.58993602750207,1.4952197873463968,451.9611525229358,4.130987242327643,88.35660305606207,-1.8213557665315405,10.8880205532778,-2.5289925946625713,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,2,Upper-Mid
1064.0,2245.0,1318.0,1510.0,5020.0,51.0,565.0,641.0,641.0,410.0,2024-12-31,50.0,1318.0,DE000PSM7770,PROSIEBENSAT.1 MEDIA SE,263.0,502010.0,1987.0,454.0,4841.0,608.0,,3918.0,DEU,65.0,50201020.0,1203.0,5608.0,205865,2024.0,4139.0,3918.0,187.0,1685.0,515210.0,8.095577746077034,3.8694992412746583,11.587544665645739,16.360387953037264,1.3016845329249618,0.8961424332344213,0.857566765578635,0.3608308605341246,1.507587253414264,1.7071320182094083,23.502139800285306,73.8052781740371,0.698644793152639,,6.934513274336283,52.635273098519654,1.7133956386292892,-5.0135501355013545,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,2,Upper-Mid
7055.0,59248.0,17841.0,26054.0,5510.0,4531.0,11493.0,12321.0,12321.0,42320.0,2024-12-31,55.0,17841.0,DE000ENAG999,E.ON SE,4964.0,551030.0,34100.0,8812.0,9997.0,7280.0,69.668,81715.0,DEU,1243.0,55103010.0,5673.0,111361.0,100590,2024.0,87195.0,81715.0,3509.0,29977.0,2211.0,7.913003654780399,25.396558488873943,10.783821819739337,15.078015052315976,5.544881600685309,0.8691330019681756,0.8276678787070088,0.24285285385462188,1.9113278403676923,2.1895633652822153,16.020869065471754,78.29940463896696,0.7337847181688383,1172.920135499799,7.109979987818672,51.3362907666891,-14.00231530204168,-1.8897679417828162,6.339006334427233,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,2,Upper-Mid
1587.532,2665.788,1921.706,3198.498,2010.0,276.919,1910.958,513.295,513.295,832.211,2024-12-31,20.0,1921.706,DE0006335003,KRONES AG,42.073,201060.0,94.55,375.33,3560.0,442.483,19.788,5352.733,DEU,664.752,20106020.0,452.17,4749.469,103269,2024.0,2827.932,5352.733,137.965,2392.927,333993.0,7.90256763440292,14.410060644031915,7.011932035466742,9.589400405363016,5.173413282523152,1.3366467092393541,1.0588480133326257,0.18491287030486095,0.049201074461962445,0.07109464194835213,40.46149158990195,59.54206670261454,1.1270171465483827,270.50399231857693,2.8010730743428165,130.307203815322,12.32308441606813,6.083389973306419,6.887052341597788,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,2,Upper-Mid
3621.3,7667.1,18795.6,9201.2,1510.0,1745.7,2674.3,4170.2,4170.2,13372.7,2024-12-31,15.0,18795.6,DE0006047004,HEIDELBERG MATERIALS AG,1605.2,151020.0,6713.2,2864.9,3241.0,3233.0,50.692,21201.9,DEU,2857.3,15102010.0,3231.7,37301.7,100373,2024.0,17326.8,21201.9,1305.3,7258.7,327310.0,7.680347008313294,9.287812041116007,13.512468222187636,19.668991929968538,8.233696036675958,1.2676099025996392,0.8739719233471559,0.4453965586124237,0.3571686990572262,0.44257166570899575,50.38805201907688,46.45042987316932,0.5683896444397978,418.24942791762015,7.928018546909471,46.03924648262656,-0.02122000905386834,5.159635200090196,-0.5980743965331325,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,2,Upper-Mid
372.0,70933.0,23793.0,20147.0,2030.0,3332.0,12949.0,9947.0,9947.0,30769.0,2024-12-31,20.0,23793.0,DE0005552004,DEUTSCHE POST AG,5387.0,203010.0,18764.0,5322.0,4210.0,4235.0,482.638,84186.0,DEU,1146.0,20301010.0,8722.0,69875.0,241456,2024.0,45665.0,84186.0,4625.0,21171.0,492110.0,7.6164579606440075,14.004118858487791,6.321716199843204,11.815503765471695,3.957902739172784,0.951631949364697,0.8975012989466723,0.20003778753955884,0.7886353129071576,1.0150464422309082,34.05080500894454,65.35241502683363,1.204808586762075,174.42886801287924,6.501351455710866,56.14217328296866,2.9697399642848454,4.58137516089443,-18.801943485487783,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,2,Upper-Mid
1519.7,12210.9,4726.7,5088.9,2010.0,536.2,2610.5,1302.5,1302.5,2135.6,2024-12-31,20.0,4726.7,DE000A1DAHH0,BRENNTAG SE,946.3,201070.0,2565.6,883.6,5160.0,770.5,18.122,16237.4,DEU,1518.4,20107010.0,906.6,11668.0,269835,2024.0,6906.0,16237.4,418.9,3478.2,4246.0,7.572848817278026,11.344066685002224,5.441757916907879,8.021604444061243,3.302252823727937,1.4630843539761946,1.0265367143925017,0.2215226266459663,0.5427888378784352,0.7429919394080436,40.50994172094617,59.18752142612272,1.3916181007884814,896.0048559761616,6.220034476153994,58.6813467673396,-3.4356025239219434,12.86734121379791,2.332147495623693,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,2,Upper-Mid
