gvkey,company_name,cluster,proximity_score,trends_score,relative_score,overall_score
17436,BASF SE,1,27.985420157177295,83.00451798000623,49.68020145345256,11.194168062870919
17828,MERCEDES BENZ GROUP AG,2,0.7178480800721243,2.5400562533486055,56.45995139746953,0.2871392320288497
19349,SIEMENS AG,2,15.329273335923297,50.02733241749643,51.540335905136395,6.131709334369319
100004,ALTANA AG,1,37.768637817362986,97.2730521712575,48.511675082523574,15.107455126945196
100010,BAYWA AG,2,37.203078098078386,93.85641057678026,52.881140602803924,14.881231239231354
100022,BAYERISCHE MOTOREN WERKE AKT,3,22.81104482146524,44.70246399358223,45.72662028384176,9.124417928586096
100042,MAN SE,2,42.00811489088664,95.28931448641053,46.965396257844205,16.803245956354655
100054,HOCHTIEF AG,2,29.97699009549709,99.58968382265128,53.60718872759378,11.990796038198837
100080,BAYER AG,2,36.191743383418554,72.48081181514092,48.96230771366664,14.476697353367422
100083,BEIERSDORF AG,1,26.67795292815479,99.79666730047543,48.59147163099475,10.671181171261917
100102,BILFINGER SE,1,30.257203688298418,97.09084193291554,48.8130807790193,12.102881475319368
100103,DEUTSCHE LUFTHANSA AG,2,27.42964169742911,94.29382493529359,49.57484910824689,10.971856678971644
100301,DEUTZ AG,2,39.80028944543347,92.5058532653571,46.34107844554182,15.92011577817339
100312,RHEINMETALL AG,1,34.16609673163595,93.49680640120104,51.25659885516972,13.666438692654381
100368,GEA GROUP AG,2,44.74308542103154,96.0824625317035,49.077504900384554,17.897234168412616
100373,HEIDELBERG MATERIALS AG,2,24.219236310488224,89.9229717011111,52.2971106772337,9.68769452419529
100431,HAPAG-LLOYD AG,0,6.721831604796816,35.78716077714641,52.468376326760996,2.6887326419187265
100449,KUKA AG,2,47.15743199906546,93.85343389824065,48.39656220760289,18.862972799626185
100590,E.ON SE,2,8.732327646635568,82.94804622948419,55.11484096232865,3.4929310586542273
100609,CONTINENTAL AG,1,21.904214761242425,73.83066565489538,48.68699465068256,8.76168590449697
100676,TUI AG,2,26.526196336946345,99.77231842841529,53.96098423662431,10.610478534778538
100736,K&S AG,2,31.1141731230622,92.19959420593197,47.87379953590597,12.445669249224881
