gvkey,conm,cluster,cluster_name,static_score,dynamic_score,combined_score,cluster_name_enhanced,roa,roe,ebit_margin,gross_margin,fcf_margin,current_ratio,debt_to_equity,financial_leverage,roa_trend
281772,SYMRISE AG,2,High Performers,39.76443854553901,35.146362615464255,36.993592987494154,High Performers (Challenged),8.517548002884906,12.012117010534565,14.185438749484097,45.20224314711195,13.353791417567585,1.6134851163824717,0.4141274697451509,2.091015226641348,-0.0907094473532792
103487,SAP SE,2,High Performers,36.761608512853535,36.920275357722076,36.85680861977466,High Performers (Challenged),10.984592968349478,6.875000000000001,23.82373595505618,76.9311797752809,12.941830524344569,1.1217044918496777,0.14788732394366197,1.631205985915493,-0.34827578780375784
220301,MERCK KGAA,2,High Performers,44.821826699791096,30.465051941452604,36.207761844787996,High Performers (Challenged),7.923672115888068,9.2838994383525,19.313669880884856,67.73492153526186,13.632066553223671,1.190897821852311,0.2339194971917625,1.7239569403583845,0.2786517320756374
214700,STADA ARZNEIMITTEL AG,2,High Performers,44.86929899964242,30.086100689200663,35.99938001337736,High Performers (Challenged),11.412562801021007,31.478027629657074,16.00324297433654,52.5675644197092,11.938199276381898,0.8612749327902864,1.1019469817233194,4.814072023892145,0.2313476955203697
100373,HEIDELBERG MATERIALS AG,2,High Performers,49.111951517163185,26.555793017536388,35.57825641738711,High Performers (Challenged),7.680347008313294,9.287812041116007,13.512468222187636,63.83767492536047,9.002023403562887,1.2676099025996392,0.3571686990572262,1.9845974589797613,0.29976659766120317
295079,STROEER SE & CO KGAA,2,High Performers,40.783517194087025,26.0008908678792,31.913941398362333,High Performers (Challenged),9.636367415804298,28.098174006444683,13.589086792769933,57.973188928695485,17.53712183799328,0.49665138573211315,3.085258861439313,6.200708915145005,0.35148593194559535
205934,FREENET AG,2,High Performers,35.06846686214381,22.033450723626498,27.24745717903342,High Performers (Challenged),11.354129263913823,19.983883964544724,15.16424889102026,30.610678176078014,13.067977460736122,0.7117007394519357,0.284716626376578,2.244157937147462,-0.21041472686603363
132740,INFINEON TECHNOLOGIES AG,2,High Performers,30.7033599212726,23.93748593166988,26.64383552751097,High Performers (Challenged),10.346031635182792,10.337417968523143,19.81277164827817,54.79772651287195,2.3269809428284853,1.9030314807617568,0.26685637958069575,1.663220860677159,0.2870969951901389
205865,PROSIEBENSAT.1 MEDIA SE,2,High Performers,40.447013832742286,17.26229819698982,26.536184451290808,High Performers (Challenged),8.095577746077034,3.8694992412746583,11.587544665645739,42.700357325165896,25.370086778968865,0.8961424332344213,1.507587253414264,4.254931714719271,-1.1919391867484306
218000,JENOPTIK AG,2,High Performers,27.984515903446994,25.4194596175097,26.445482131884617,High Performers (Challenged),8.452944783618936,9.475840251911569,13.181906582528743,39.989800920785065,7.518011950309512,2.257210994682095,0.4830585513210467,1.8118733319657578,-0.017698382597963393
101942,HENKEL AG & CO KGAA,2,High Performers,36.72561163928937,19.52823452046074,26.40718536799219,High Performers (Challenged),8.55757507017892,9.235229155162894,13.98128416566293,53.631983693134444,11.553784860557768,1.2136648696226207,0.12157187557518866,1.6228142830848518,-0.5473890250484145
204820,FIELMANN GROUP AG,2,High Performers,43.462705321938586,12.943762032835313,25.151339348476622,High Performers (Challenged),10.599350681969668,16.917223407934994,11.090111990728388,79.87793028272404,14.591876034620135,0.6443911403378236,0.5195994799422998,2.634707289594064,-2.24750460233874
360887,DOUGLAS AG,2,High Performers,34.05214102310432,17.440394351431184,24.085093020100437,High Performers (Challenged),8.620266440541807,11.014948859166012,8.67894855088744,45.097730847000676,11.959110312289372,0.8741224375175511,2.764358772619984,5.876344086021505,2.64162657546941
234919,CTS EVENTIM AG & CO KGAA,2,High Performers,34.85452733736534,15.419146412231175,23.19329878228484,High Performers (Challenged),10.285252060344996,31.04969341462203,14.894720782288836,29.148085206077525,12.965382138084774,0.963440304797599,0.09418407976185954,3.960516360470789,-0.6272602618112316
317079,SCOUT24 SE,2,High Performers,18.263510755844145,24.828844715764035,22.20271113179608,High Performers (Challenged),12.293744779837617,11.31745623931815,43.27239562634384,75.7247816738508,43.500996946321145,0.45427407687345156,0.029178907742317444,1.4469321444130427,0.8312858632112388
100083,BEIERSDORF AG,2,High Performers,26.87877452692274,18.21220415735565,21.67883230518249,High Performers (Challenged),10.42195065713627,10.761061946902654,13.766497461928934,61.6751269035533,8.060913705583756,1.7426948051948052,0.0,1.535221238938053,-0.5141279617984581
221616,DEUTSCHE TELEKOM,2,High Performers,46.89409363269942,1.0890552371174291,19.41107059535023,High Performers (Challenged),8.001403582414556,17.708859959555106,20.607785670245025,42.778955547860164,24.22020828230445,1.0562503552953215,2.1227407735085944,4.817587209302325,0.1997966084309837
242158,WIRECARD AG,2,High Performers,26.168110814679906,11.220028087030585,17.199261178090314,High Performers (Challenged),8.310987378093564,18.0683413949134,23.606461941493233,46.51433561344783,35.22534323000048,1.6778509146862712,0.7156082592188069,3.0451448483902843,0.4743069988058551
327148,SPRINGER NATURE AG,2,High Performers,40.30380496213447,0.06420529115880852,16.160045159549075,High Performers (Challenged),7.504732212448502,3.7720218699950294,21.893779438038006,87.13659249634563,28.16306642845542,1.040883573346351,1.034517037609764,2.975976141823604,0.4451246533098013
104357,KABEL DEUTSCHLAND HOLDING AG,2,High Performers,8.645464889548641,20.138916518041356,15.54153586664427,High Performers (Challenged),20.669590702413874,-101.7000007610524,32.62127879492617,80.51053755595584,32.29489196440107,0.13032650676890445,-4.926463313469866,,0.48104554114919346
