gvkey,conm,cluster,cluster_name,static_score,dynamic_score,combined_score,cluster_name_enhanced,roa,roe,ebit_margin,gross_margin,fcf_margin,current_ratio,debt_to_equity,financial_leverage,roa_trend
210332,CLAAS KG,3,Upper-Mid,50.851262038538515,57.45931686647398,54.816094935299795,Upper-Mid (Challenged),7.212355069788052,11.182831758256489,7.19166082866243,24.42342829620122,5.643944373774746,2.161501799220204,0.3172295164430767,2.2046008672250257,0.1934319176060208
210340,DILLINGER HUTTENWERKE,3,Upper-Mid,64.31227979221151,44.03872331065802,52.14814590327942,Upper-Mid (Challenged),6.1144775894864365,9.119466047446236,8.777417407335033,30.157628916952024,-2.1602116932266826,2.426546687744045,0.0396290305434368,1.7111672291205915,0.6106776189746222
102529,PAUL HARTMANN AG,3,Upper-Mid,58.103905622991,42.63523191017008,48.82270139529845,Upper-Mid (Challenged),5.177639955249784,9.44252269602777,4.477698078984252,56.94385357407866,2.4759666914007754,2.3513525703669496,0.22969416193823686,1.8265367868501912,-0.7493667234037724
102926,KWS SAAT SE & CO KGAA,3,Upper-Mid,41.53598638178244,51.68562425655162,47.62576910664394,Upper-Mid (Challenged),9.463867146995709,8.740386542627023,15.106153541513084,69.20539320588705,7.063045589122931,2.972824669346672,0.26649374879412263,1.6710391494139045,-0.05421685983395518
326410,1&1 AG,3,Upper-Mid,40.64906767835049,47.764115388631645,44.91809630451918,Upper-Mid (Challenged),7.265469818044684,3.491385746894061,14.53373731070942,36.96912151651939,0.503462628073934,2.5241624187605054,0.06444747840898461,1.3341176605726643,-0.8882759190176527
238442,CARL ZEISS MEDITEC AG,3,Upper-Mid,56.433996849440064,36.51784211008086,44.48430400582454,Upper-Mid (Challenged),5.523105033596605,8.753796474207485,9.07059440198981,55.91824703902519,7.7683995223914115,2.131519684970158,0.2579995954345821,1.6619508183633516,-0.1532711850686681
102218,DRAEGERWERK AG,3,Upper-Mid,62.268784782914324,31.2891083621383,43.68097893044871,Upper-Mid (Challenged),5.306107935030152,8.103963782040841,4.869381289158914,48.854690763242836,3.1864972944750325,1.926212234869931,0.18690551411914144,2.0150701885809204,-0.11521955217883877
276585,WACKER CHEMIE AG,3,Upper-Mid,49.59758156891072,36.78863088535591,41.912211158777836,Upper-Mid (Challenged),2.60895439909032,5.161483765955624,4.29060785067636,25.50595966304311,-5.963158446642666,2.663054898870502,0.3695493874753705,2.0153131157371713,0.3933971874323351
207096,RHOEN-KLINIKUM AG,3,Upper-Mid,27.684787140313404,47.42443456325574,39.5285755940788,Upper-Mid (Challenged),2.5396974167793798,3.3451652481229694,2.954903394858046,-3.916661809617467,3.5848156734157715,2.233180932338404,0.08873781762903861,1.4325472826464392,-0.06951198967793153
101937,DMG MORI AG,3,Upper-Mid,56.511598497729864,27.488783542192262,39.0979095244073,Upper-Mid (Challenged),9.317683459113244,12.006314886266532,10.603255679772431,51.98970384003828,6.0304099007731065,1.7026958942168635,0.02767517927049115,1.7923590157963738,0.00159940605292435
100004,ALTANA AG,3,Upper-Mid,59.50334581773843,23.71056646253816,38.02767820461827,Upper-Mid (Challenged),6.475870996902852,5.368676591220314,9.114981579998723,39.72850615904001,8.187796283685062,3.276000352751695,0.13994452588265244,1.4842684121989815,-0.4294549207168277
101390,KSB SE & CO KGAA,3,Upper-Mid,49.53500923852603,30.33583856365849,38.01550683360551,Upper-Mid (Challenged),8.480072526936084,10.810068649885583,8.195726898968795,54.18548224034508,4.5022578688414105,1.9715157680569684,0.034324942791762014,2.6250800915331807,0.49095135967911474
103269,KRONES AG,3,Upper-Mid,42.40749620863609,32.19648523804163,36.28088962627942,Upper-Mid (Challenged),7.90256763440292,14.410060644031915,7.011932035466742,50.197628015445574,6.192033116540652,1.3366467092393541,0.049201074461962445,2.47148575276343,-0.23560343091336272
103533,SIXT SE,3,Upper-Mid,20.59845295315985,44.86718828641872,35.15969415311517,Upper-Mid (Challenged),7.851335805146843,11.458533968350013,12.85087197651675,77.84760375116312,24.734619101827708,3.2842451500975245,1.2955293898785056,3.077364236058587,0.27199129950962936
297222,NORMA GROUP SE,3,Upper-Mid,56.28600528354929,17.559407924716048,33.050046868249346,Upper-Mid (Challenged),3.8994785010455044,2.0382971286862306,4.822370856252529,57.06840895591767,7.064363126135201,2.0651249898844326,0.5566301522620161,1.9925658188556352,-0.7668518742448992
200759,BIOTEST AG,3,Upper-Mid,28.938313413914194,35.6529121504614,32.967072655842514,Upper-Mid (Challenged),6.052998605299861,4.9745618993781795,11.952630129440925,36.394932525475085,4.43404020930873,5.056214865708932,1.1982287544752213,2.7020915771622382,0.37201881382980895
206703,SGL CARBON SE,3,Upper-Mid,58.85033623041369,13.916074852210752,31.88977940349193,Upper-Mid (Challenged),5.4005535193357765,-14.47107586952604,7.034294621979735,28.11769290724865,2.240841777084957,2.769831483764899,0.4375563164534151,2.409262930257704,0.6382247124150813
232623,EVOTEC SE,3,Upper-Mid,21.3172571177402,27.313700659268747,24.91512324265733,Upper-Mid (Challenged),-4.126479344858201,-20.58507650717829,-9.902417540500421,27.100369275013897,-12.453213244714023,1.97908788832944,0.41231778693472615,2.0078234167082227,-0.39850016268828614
100736,K&S AG,3,Upper-Mid,25.78717345697253,24.31028542636639,24.901040638608848,Upper-Mid (Challenged),-0.4661356711391458,-1.075286125911498,-1.1935068845637953,22.68758041115764,2.3432153513454317,3.0222597914905607,0.11000756563591584,1.5056420327414968,-0.0731814294916662
