gvkey,conm,cluster,cluster_name,roa,roe,ebit_margin,gross_margin,fcf_margin,current_ratio,debt_to_equity,financial_leverage,roa_trend,proximity_score,profitability_score,liquidity_score,leverage_score,cashflow_score,structure_score,relative_score,overall_score,cluster_name_enriched
100010,BAYWA AG,1,Lower-Mid,-4.250672662268254,437.7415687760516,-2.177823309743788,10.35044401535288,1.606575487331045,0.9146029254737492,-7.774535809018568,,-0.11533689911326936,2.1553287313040688,2.784442388297786,92.07357813450058,25.78918350620935,99.98180569612286,79.94690060058166,47.08416868302662,3.99793832080212,Lower-Mid (Low Score: 41)
100042,MAN SE,1,Lower-Mid,-2.283029297954671,-7.278854254422915,-3.8106661745709545,23.186934858830043,1.919173279202805,0.6407944780955064,0.1144060657118786,3.0480202190395955,-0.44793853774317977,61.88334761101801,68.93936752469241,83.27404096053088,89.83154505762656,99.91671704363172,81.57365956344059,45.50641235207385,47.52436705510834,Lower-Mid (Low Score: 41)
100054,HOCHTIEF AG,1,Lower-Mid,2.2840015248876586,72.36664710454106,1.690983557083559,26.35408799724454,4.971786361300936,1.120285964924529,6.67153636082885,23.00331592024251,-0.14084986850625408,18.333782264773866,60.85570702907091,99.29013698275291,39.452892521089545,98.93112434374318,26.52261632036548,59.55776998113261,23.449943563832683,Lower-Mid (Low Score: 41)
100103,DEUTSCHE LUFTHANSA AG,1,Lower-Mid,2.68638952648134,12.016981459019236,4.020484112090079,2.770444352555743,-0.0190845764814402,0.8332567284612634,0.9888234274822388,4.076589845780627,-0.5617290508643753,61.70840774899177,64.83541007170808,89.3664045498075,96.93850853098589,99.45537253109717,88.27097618938346,48.24165492730191,47.34429596703691,Lower-Mid (Low Score: 41)
100449,KUKA AG,1,Lower-Mid,2.191040744353568,-4.1265822784810124,2.3470153252598864,26.586110813417648,5.755010181116707,1.2181768781415567,0.0879324894514767,3.373924050632912,-0.4631867169898605,68.1259903700208,73.43086133314132,97.16215002824049,89.45612140845608,98.67981708511677,83.63880287446439,51.6988467370889,50.88218055548219,Lower-Mid (Low Score: 41)
100676,TUI AG,1,Lower-Mid,5.011856436638398,53.02174822250105,3.7678106641688935,11.748024154735342,5.172376582510694,0.5253407515978185,3.7651610204935175,18.21068590547888,-0.6537878863754826,28.405216039131993,54.76276887452879,79.82053168160775,62.48194797209686,98.8667015360693,38.30790124351714,55.036066389864004,28.56283498776824,Lower-Mid (Low Score: 41)
100746,CECONOMY AG,1,Lower-Mid,2.2989639861864823,14.728682170542635,1.038231886641119,20.53738525978077,2.87407539434988,0.9127545248868778,4.060077519379845,19.64147286821705,-0.3118494264262327,29.77058290294047,79.8845321807247,92.01116270604341,59.6338726416505,99.60735843406295,34.325750490821655,54.83995586411714,33.84852686148618,Lower-Mid (Low Score: 41)
101148,LECHWERKE AG,1,Lower-Mid,1.1171562959243373,21.85386781166759,1.6510357270514544,9.619921363040634,-3.4373457473064315,0.1820945154038072,0.0,3.138184407313838,-0.5832397455941732,60.582387439247185,79.20531989363839,70.37620496662963,88.22036871458421,98.3574703209819,82.1398433019147,44.33213736148289,48.89605582588497,Lower-Mid (Low Score: 41)
101161,GELSENWASSER AG,1,Lower-Mid,1.3448575051725289,11.19709563389701,1.3521674942960675,12.23325728090189,1.1407864716145484,1.002422983731395,0.3052450558899398,2.862902455335817,-0.22518690042393544,72.2452957381046,80.15789595011398,95.08833093386795,92.58486876251098,99.83068630717334,80.42341940678422,48.32869210665313,54.18818436151574,Lower-Mid (Low Score: 41)
101286,LEONI AG,1,Lower-Mid,-3.615183900121541,160.04571948660825,-1.889184022422906,14.456656633348144,-3.143522266133398,0.6402877004374935,-1.154607534719558,,-1.6094285211425592,23.23398548758707,28.47890431586996,83.25856011030872,73.4927099601009,98.45136466889454,79.94690060058166,44.129778850608204,22.338646054218913,Lower-Mid (Low Score: 41)
102365,KOENIG & BAUER AG,1,Lower-Mid,-2.656919940957334,-21.21670702179177,-2.966101694915254,26.81261770244821,2.3775894538606406,1.4674361088211048,0.8056900726392252,4.305992736077482,-0.43667841443837235,60.29818469238312,62.21648428341279,88.67130812927914,99.78794563878849,99.76808472363015,89.8381399149232,48.852776542481266,46.54136529751466,Lower-Mid (Low Score: 41)
103176,THYSSENKRUPP AG,1,Lower-Mid,-0.4738690212388777,-15.715329228842744,-0.3966781769926657,13.849490596729549,-0.4908535715304928,1.764934188322646,0.0678284462068245,3.060941250130439,-0.5167523754261213,61.482617019333816,70.87693206754369,79.5029621650504,89.17207304864057,99.30312039370614,81.65455665642251,48.51837346045142,47.685640526106326,Lower-Mid (Low Score: 41)
213034,GRAMMER AG,1,Lower-Mid,2.3398745258243365,-19.005068071151744,2.069648810679144,13.756376425995995,-1.8992291829172403,1.1566742521783393,2.34069363013018,6.756601411110007,-0.5374664283495462,59.7783141432695,65.06832230782527,99.37936405127834,78.27431164874368,98.84998601104834,92.2347116343349,49.79743412913537,44.752421283747225,Lower-Mid (Low Score: 41)
220295,ELRINGKLINGER AG,1,Lower-Mid,0.6613982923919302,-21.64513652158484,0.6453201533328601,28.128549371761192,3.3111756406616037,1.4134184476268248,0.5035133365470221,2.7624686155020184,-0.7067721228011384,61.325801136543426,68.9334211867912,90.44605878238747,95.53479438095012,99.4660712824601,79.80616928860039,50.4638126503603,47.87048413007062,Lower-Mid (Low Score: 41)
220307,PFALZWERKE AG,1,Lower-Mid,1.609573263036106,9.483700384731083,1.5599287599520366,15.704983837819777,-4.729640884580714,1.665228664922948,0.6773694737786503,4.570526115799306,-0.07745550362245221,72.99873342634396,81.05456296066626,82.4649124558532,98.19874828520095,97.94556587251286,91.67986940432556,49.613284238403786,55.230280791190935,Lower-Mid (Low Score: 41)
222340,DUERR AG,1,Lower-Mid,3.0422778517086395,5.068676090351879,3.5296727800181595,24.405421101596477,6.265136557618198,1.3023979142368434,0.9942512895223844,4.083795166095733,-0.5956246158064402,67.25856636607476,71.05470397857691,94.20595104822189,96.85530765044574,98.51647998962103,88.31978090593464,53.11435988532328,50.79989810718986,Lower-Mid (Low Score: 41)
233025,CANCOM SE,1,Lower-Mid,3.0806115022005893,5.828069087348736,2.492305887548649,39.18476910762097,9.81028089835951,1.2429958172204243,0.2477360548294593,2.451046867759121,-0.6418355590449585,59.09680201951596,65.57784992167714,96.28148098076801,91.74639195266079,97.38880571785961,77.92217932876349,54.24182927177852,45.9289299874079,Lower-Mid (Low Score: 41)
