gvkey,conm,cluster,cluster_name,roa,roe,ebit_margin,gross_margin,fcf_margin,current_ratio,debt_to_equity,financial_leverage,roa_trend,proximity_score,profitability_score,liquidity_score,leverage_score,cashflow_score,structure_score,relative_score,overall_score,cluster_name_enriched
17828,MERCEDES BENZ GROUP AG,0,Upper-Mid,4.749254745103959,11.019703103913631,8.64458700221163,38.52974710496312,9.406981056911686,1.3600486461924999,0.7933819163292848,2.86110661268556,0.0712214336077651,78.26737223660291,84.26717101960104,91.11395405296977,99.01444976114672,93.34225076247728,90.10768338118193,49.81751804003435,58.06182807467605,Upper-Mid (Low Score: 42)
19349,SIEMENS AG,0,Upper-Mid,6.534652125673153,16.026841448189764,12.720927169761623,43.226656130646646,12.612932964572632,1.3971489080682258,0.80604322721598,2.883348938826467,0.053867822909594944,79.96753365270965,86.98351981365694,89.88221774171554,99.21296849004642,94.31911982802023,90.26156372100083,51.248777212066926,59.305014272819896,Upper-Mid (Low Score: 42)
100010,BAYWA AG,0,Upper-Mid,-4.250672662268254,437.7415687760516,-2.177823309743788,10.350444015352881,1.606575487331045,0.9146029254737492,-7.774535809018568,,-0.11533689911326939,1.8202043860780237,2.3215084934739076,93.20583108911286,25.530531472295102,91.00747672977397,89.58612508152186,46.01582945033212,3.7454366003555015,Upper-Mid (Low Score: 42)
100022,BAYERISCHE MOTOREN WERKE AKT,0,Upper-Mid,4.23520535460834,7.896874830742566,7.9638994240764145,44.69658659924146,-3.2581823289787892,1.0991914607305364,0.7232844066511401,2.9002004008016034,-0.10730136513996358,73.96128396976545,77.01872047037385,99.73629358382655,97.92254520166381,89.58104585668545,90.37832308529477,48.73070607845656,54.780512202147335,Upper-Mid (Low Score: 42)
100042,MAN SE,0,Upper-Mid,-2.283029297954671,-7.278854254422915,-3.8106661745709545,23.186934858830043,1.9191732792028051,0.6407944780955064,0.11440606571187868,3.0480202190395955,-0.4479385377431797,33.818196873031795,35.202577747638294,84.29808369711631,88.930581603967,91.09990861697933,91.40902291532613,41.929916801372634,29.46085245913708,Upper-Mid (Low Score: 42)
100054,HOCHTIEF AG,0,Upper-Mid,2.2840015248876586,72.36664710454106,1.690983557083559,26.35408799724454,4.971786361300936,1.120285964924529,6.67153636082885,23.00331592024251,-0.14084986850625408,15.756658776259256,49.85146575159509,99.49146543684378,39.85259320516868,92.00748351303969,23.668854621204957,57.6763274882232,20.25821598133959,Upper-Mid (Low Score: 42)
100080,BAYER AG,0,Upper-Mid,2.85701398285972,-7.997994233421085,6.795262412564906,63.991760717504185,9.84851735828005,1.1896932854379663,1.1125109690359785,3.474050394885295,-0.4288697186165794,53.383462013135386,54.8522368181103,96.99007404511724,96.02325141700973,93.47618588122552,94.44582256307206,49.22563229997667,41.92615731057719,Upper-Mid (Low Score: 42)
100103,DEUTSCHE LUFTHANSA AG,0,Upper-Mid,2.68638952648134,12.016981459019235,4.020484112090079,2.770444352555743,-0.019084576481440248,0.8332567284612634,0.9888234274822387,4.076589845780627,-0.5617290508643753,47.837864036308325,50.09411078070001,90.46536668036342,97.92060098853467,90.52829600601837,98.9138372415229,44.669150128693595,38.946027869516804,Upper-Mid (Low Score: 42)
100312,RHEINMETALL AG,0,Upper-Mid,9.899609592861127,19.85185185185185,14.562608963183262,51.881858270946566,10.132294123679623,1.2136537894426422,0.46197530864197534,3.541728395061728,0.5783965084088859,56.22162961546944,62.552870910713196,96.14123777641554,93.9571994621823,93.56236783425375,94.93744159175212,53.12785761012088,44.39494597454865,Upper-Mid (Low Score: 42)
100368,GEA GROUP AG,0,Upper-Mid,9.322556660834046,16.42752611759716,10.371424213625312,39.356570085293065,8.723750393987308,1.0595436337925495,0.0514240542234365,2.4887746214645166,0.3449355390204477,65.1161916368098,72.6372149132699,98.29608294065774,88.04893372048438,93.13537848165852,87.57036394584588,50.28302235695495,49.37881300942634,Upper-Mid (Low Score: 42)
100373,HEIDELBERG MATERIALS AG,0,Upper-Mid,7.680347008313294,9.287812041116007,13.512468222187636,63.83767492536047,9.002023403562887,1.2676099025996392,0.3571686990572262,1.9845974589797613,0.29976659766120317,57.823284856152746,62.45655376206651,94.25686347001391,92.41225563720958,93.2195800927381,84.24806037896622,52.06102602053243,44.86185025859536,Upper-Mid (Low Score: 42)
100449,KUKA AG,0,Upper-Mid,2.191040744353568,-4.1265822784810124,2.3470153252598864,26.586110813417648,5.755010181116707,1.2181768781415567,0.08793248945147679,3.3739240506329113,-0.4631867169898604,54.61114272364506,57.26550135829227,95.98183619851049,88.55892325781258,92.24179838246059,93.7231612444273,45.836573752169315,42.153449686897744,Upper-Mid (Low Score: 42)
100590,E.ON SE,0,Upper-Mid,7.913003654780399,25.396558488873943,10.783821819739337,27.494340084439823,-1.5884476534296028,0.8691330019681756,1.9113278403676923,6.241858640210751,0.03402854240760464,69.49974898329472,78.60061809673718,91.66392435857297,84.62439268668176,90.06810304680958,85.62577646458176,50.73956967573089,51.9824624813335,Upper-Mid (Low Score: 42)
100609,CONTINENTAL AG,0,Upper-Mid,6.065032732781475,8.138805658142289,5.644653692187617,27.50069236385609,2.507616002416979,1.257971827037634,0.2865305553619957,2.575848372935684,-0.938632263498655,60.98813438444321,78.42110290781143,94.59073502925693,91.38534223113483,91.27415972304766,88.15726682489452,46.73919643741598,49.21800855845305,Upper-Mid (Low Score: 42)
100676,TUI AG,0,Upper-Mid,5.011856436638398,53.02174822250105,3.7678106641688935,11.748024154735342,5.172376582510694,0.5253407515978185,3.7651610204935175,18.21068590547888,-0.6537878863754827,26.18398541151989,57.08925609098756,80.80210570823245,63.11495801904573,92.0674367664893,34.18607479836249,51.54964812877667,28.202941184710042,Upper-Mid (Low Score: 42)
100737,VOLKSWAGEN AG,0,Upper-Mid,5.277727305045781,6.2267545832556195,10.288736385589669,41.581858952244836,-0.015708934995810952,1.1298937057395215,0.7518678618056546,3.471891559788035,0.1759738510613116,79.06711258190035,85.33400473888165,99.1413993660588,98.36632639848423,90.52928839384933,94.4301825611331,49.82950725933454,58.5302786203849,Upper-Mid (Low Score: 42)
100746,CECONOMY AG,0,Upper-Mid,2.2989639861864823,14.728682170542637,1.0382318866411193,20.53738525978077,2.87407539434988,0.9127545248868778,4.060077519379845,19.641472868217054,-0.3118494264262327,24.189296660640892,56.05778730026398,93.14264812175132,60.23802858982119,91.38284495325661,30.63239268394381,52.533822614251385,26.911078983291272,Upper-Mid (Low Score: 42)
100953,RWE AKTIENGESELLSCHAFT,0,Upper-Mid,6.898618447785452,16.276268661447272,28.03418097754293,34.29656538969617,-11.381274768824307,1.2700634632819583,0.46822403245744715,3.120225680687185,0.24802652368191275,49.86622989914984,52.10678102266525,94.1720582819076,94.05012290507028,87.24887503262421,91.91675313824047,52.47101623704099,39.772860454700016,Upper-Mid (Low Score: 42)
101059,AXEL SPRINGER SE,0,Upper-Mid,3.2927096256294237,4.681331077270164,7.249124385463192,41.187622505703544,6.950290800424151,0.8742941650981446,0.9883906749388984,3.2202951682647116,-0.08820577785865774,69.22020081347007,71.15317031587144,91.83765056526376,97.92730473829285,92.60053786234069,92.62508197578346,47.84340105776469,51.7114448623916,Upper-Mid (Low Score: 42)
