gvkey,company_name,years_available,roa_trend,roa_trend_r2,roa_volatility,roe_trend,roe_trend_r2,roe_volatility,ebit_margin_trend,ebit_margin_trend_r2,ebit_margin_volatility,revt_trend,revt_trend_r2,revt_volatility,revt_cagr,debt_to_equity_trend,debt_to_equity_trend_r2,debt_to_equity_volatility,fcf_trend,fcf_trend_r2,fcf_volatility,cluster,cluster_name,static_score,dynamic_score,cluster_name_enriched
213037,INDUS HOLDING AG,11,-0.21267294207758364,0.2033350313669673,1.4914411984012756,-0.49621131119024076,0.11774645826381812,4.572910836298246,-0.18783225252815888,0.1684947986518433,1.447027941400604,46.25387272727272,0.6932065988607389,175.67774852701368,3.170805248292652,0.02016997839150484,0.476789879400195,0.0923723343406531,5.332727272727272,0.14235123744372202,44.696009442299385,0,Upper-Mid,62.213333986294984,47.59311429138371,Upper-Mid (Strongly Growing)
100449,KUKA AG,11,-0.4631867169898604,0.258991599243745,2.878148896773809,-1.2210333941050815,0.29397707669412526,7.121489005938096,-0.36094486786114605,0.16697823251810087,2.7932572925293893,130.22363636363636,0.5638096764752917,548.4329706589358,5.941448534420446,-0.013629318274044441,0.15818439525793723,0.10836581812182922,9.960909090909091,0.03771622486076117,162.19403133794071,0,Upper-Mid,52.90789311020949,46.69149608612888,Upper-Mid (Strongly Growing)
220301,MERCK KGAA,11,0.2786517320756374,0.38023810431164645,1.4290055939949222,0.04844080520098303,0.002162296192311033,3.2942288155025676,0.48009625781099513,0.36475132640648655,2.5137951319353737,1035.5563636363636,0.9237310564652931,3407.2262206731994,6.2846509783476945,-0.025990304827163264,0.30254286549125586,0.14942315950289126,105.08000000000001,0.29912152446375884,607.5698738171998,0,Upper-Mid,32.23043986777179,46.36622567241364,Upper-Mid (Strongly Growing)
102529,PAUL HARTMANN AG,11,-0.7493667234037724,0.49777036739214153,3.358767051074761,-0.5853710514848982,0.38751757542323073,2.9736204803347777,-0.4151692876159462,0.36410468546596986,2.1757654946076697,57.14657272727273,0.8851123522633045,192.08391048340062,2.658418145785313,0.014693717699693399,0.364868213665138,0.07692432190008747,-6.489263636363636,0.0730807730989833,75.90910167425073,0,Upper-Mid,37.60464606196823,42.05489194682328,Upper-Mid (Strongly Growing)
284944,GERRESHEIMER GROUP,11,-0.21083019389821542,0.3680200359091014,1.098998441355147,-0.6760562702513361,0.47839091881334767,3.090945742391676,-0.14623513953854378,0.1484072624515376,1.2003949696552079,71.43557272727273,0.752106280485361,260.48032396464663,4.668547765455555,-0.04350359907457425,0.4212484680945679,0.21196102966974964,-18.55734545454546,0.540891547739806,79.79225796813179,0,Upper-Mid,50.504806497938844,39.84816967572057,Upper-Mid (Strongly Growing)
100368,GEA GROUP AG,11,0.3449355390204477,0.2593886434230235,2.1417188718681035,0.8172597569698119,0.1320900259650116,7.110908680532153,0.2639485037882495,0.1260541894012099,2.350934679794573,87.73794545454541,0.7485932492329053,320.67455977361215,1.846141977168525,0.0018460692198529823,0.005350550787981418,0.07980842419687104,26.384145454545454,0.24668232586212144,167.98635828188526,0,Upper-Mid,60.727495627012686,39.77174331652108,Upper-Mid (Strongly Growing)
103487,SAP SE,11,-0.34827578780375784,0.4290588683780327,1.681375991415174,-0.846378100394438,0.5137349003268631,3.734176852727252,-0.4645395458999519,0.31471603455531205,2.6185643794031623,1477.7727272727275,0.9724345946140972,4738.898937569345,6.885716278324261,-0.019698545520434443,0.31817300321781034,0.110433922149667,261.4727272727273,0.4554578179633773,1225.1868199591656,0,Upper-Mid,23.55572967798743,38.82022623987322,Upper-Mid (Strongly Growing)
281772,SYMRISE AG,11,-0.0907094473532792,0.21633441987740318,0.6167223809782121,-0.5611867652408582,0.54104482685747,2.4126304001785486,-0.16395144603314366,0.311270883538305,0.9292787415987407,273.42670909090907,0.9615624264749846,881.7636533192585,8.955285892690812,-0.03433158853801905,0.4117535173827013,0.16919021409922327,30.022963636363635,0.37464552450041394,155.11124573779483,0,Upper-Mid,55.98802946479133,38.11609276982363,Upper-Mid (Strongly Growing)
221244,ADIDAS AG,11,-0.6670031971329508,0.2454458209630325,4.25745527728072,-0.8723561161327835,0.094552242454708,8.971351930735883,-0.4227210971496479,0.1864242996914177,3.096012197051385,649.2181818181818,0.5925597016611504,2667.0098370786673,5.003833801553181,0.08734234290673008,0.7674267402347825,0.31528722463135306,137.36363636363637,0.1560547987287546,1099.5961617831633,0,Upper-Mid,50.77637688918599,37.63517198044297,Upper-Mid (Strongly Growing)
244394,MVV ENERGIE AG,11,0.15791899676886145,0.046594834743869565,2.313478610019975,0.8953705036963454,0.038354381116573445,14.457569661762577,0.4304629757397033,0.13076368167196753,3.7643693938232476,283.3309818181818,0.6165290740192781,1141.0831326306372,5.261102877855728,-0.02988526913777958,0.272079994359093,0.18117942054758868,-6.3088090909090875,0.0020638965128946776,439.1404341539003,0,Upper-Mid,52.19904103887879,37.43445556860162,Upper-Mid (Strongly Growing)
318659,HELLA GMBH & CO. KGAA,12,-0.633549608953168,0.4224391734141711,3.3649291996997417,-0.7857432715739437,0.07160244825288602,10.136642509737325,-0.5474795014026841,0.31635824974518734,3.360126878751663,106.58287062937063,0.14008371334685704,983.0395389501656,3.766351841879678,-0.03150973277803297,0.49932294095012125,0.15393286619642463,19.090643356643355,0.19827354992015817,148.0013132303787,0,Upper-Mid,61.78096308121288,37.253153927961506,Upper-Mid (Strongly Growing)
269835,BRENNTAG SE,11,0.043212285047499945,0.01198644935566682,1.2481361296448836,0.10974626759587733,0.026657201370044112,2.125604607232001,0.029577388059669456,0.02884681176873489,0.5506947155619119,802.5627272727272,0.7650157118251909,2901.6418669663954,4.950364629999826,-0.02187584988361415,0.5308173548464231,0.09494943345960116,59.56636363636365,0.29193390776415995,348.62523343617823,0,Upper-Mid,50.38928930111874,35.60401495731964,Upper-Mid (Strongly Growing)
269104,BAUER AG,11,0.09769851549425758,0.01927040919433372,2.225576343615636,-1.1191741664373573,0.17287613240921648,8.511971443276249,0.05595002123465378,0.006403846880110084,2.2109544030455233,40.83320909090908,0.43908506127523733,194.867396003895,3.933609182123421,-0.047606853411346475,0.39773763263721096,0.23871028724469795,-3.906427272727272,0.07056371862765276,46.50386118137783,0,Upper-Mid,52.80386794839219,34.97154273681953,Upper-Mid (Strongly Growing)
100080,BAYER AG,11,-0.4288697186165794,0.476740795898359,1.9641932955671328,-2.7608516899841353,0.22424349667620563,18.436698304190028,-0.24551522162971406,0.06171449807406264,3.125250421271386,535.8454545454546,0.1672992559745073,4142.786442013664,0.9887089806627225,0.05305825952896785,0.4464733623542867,0.2511049206481051,-170.84545454545454,0.1538049135320641,1377.5847411351012,0,Upper-Mid,39.797034903337284,34.6993416238274,Upper-Mid (Strongly Growing)
