,kmeans,hierarchical,dbscan
kmeans,1.0,0.025472369704725925,-0.003118657929080226
hierarchical,0.025472369704725925,1.0,0.1212156034261772
dbscan,-0.003118657929080226,0.1212156034261772,1.0
