gvkey,combined_cluster,combined_name,static_cluster,static_name,dynamic_cluster,dynamic_name,company_name,pattern,flag
210334,0,Upper-Mid,0,Upper-Mid,0,Growing,COMPUGROUP MEDICAL SE & CO,Consistent,✓
210340,0,Upper-Mid,4,Mid,0,Growing,DILLINGER HUTTENWERKE,Improving,⭐
210359,0,Upper-Mid,0,Upper-Mid,0,Growing,EWE-ENERGIEVERSORGUNG WESER,Consistent,✓
212782,0,Upper-Mid,2,Lower-Mid,1,Growing,FRESENIUS MEDICAL CARE AG,Improving,⭐
213034,0,Upper-Mid,2,Lower-Mid,0,Growing,GRAMMER AG,Improving,⭐
213037,0,Upper-Mid,0,Upper-Mid,0,Growing,INDUS HOLDING AG,Consistent,✓
214700,0,Upper-Mid,0,Upper-Mid,0,Growing,STADA ARZNEIMITTEL AG,Consistent,✓
214759,0,Upper-Mid,2,Lower-Mid,0,Growing,HEIDELBERGER DRUCKMASCHINEN,Improving,⭐
216524,0,Upper-Mid,0,Upper-Mid,0,Growing,ENBW ENERGIE BADEN,Consistent,✓
218000,0,Upper-Mid,4,Mid,0,Growing,JENOPTIK AG,Improving,⭐
220295,0,Upper-Mid,2,Lower-Mid,1,Growing,ELRINGKLINGER AG,Improving,⭐
220301,0,Upper-Mid,0,Upper-Mid,0,Growing,MERCK KGAA,Consistent,✓
220303,0,Upper-Mid,4,Mid,0,Growing,AURUBIS AG,Improving,⭐
220307,0,Upper-Mid,2,Lower-Mid,0,Growing,PFALZWERKE AG,Improving,⭐
221244,0,Upper-Mid,0,Upper-Mid,0,Growing,ADIDAS AG,Consistent,✓
221614,3,Mid,2,Lower-Mid,0,Growing,DEUTSCHE BAHN AG,Improving,⭐
221616,0,Upper-Mid,0,Upper-Mid,0,Growing,DEUTSCHE TELEKOM,Consistent,✓
222247,0,Upper-Mid,4,Mid,1,Growing,SOFTWARE GMBH,Improving,⭐
222340,0,Upper-Mid,2,Lower-Mid,1,Growing,DUERR AG,Improving,⭐
223089,0,Upper-Mid,2,Lower-Mid,0,Growing,HORNBACH-BAUMARKT AG,Improving,⭐
225236,0,Upper-Mid,0,Upper-Mid,1,Growing,UNITED INTERNET AG,Consistent,✓
231016,0,Upper-Mid,-1,,0,Growing,MORPHOSYS AG,Unknown,?
232623,3,Mid,2,Lower-Mid,0,Growing,EVOTEC SE,Improving,⭐
233025,0,Upper-Mid,2,Lower-Mid,1,Growing,CANCOM SE,Improving,⭐
234919,0,Upper-Mid,0,Upper-Mid,0,Growing,CTS EVENTIM AG & CO KGAA,Consistent,✓
238136,0,Upper-Mid,0,Upper-Mid,0,Growing,BECHTLE AG,Consistent,✓
238442,0,Upper-Mid,4,Mid,0,Growing,CARL ZEISS MEDITEC AG,Improving,⭐
241456,0,Upper-Mid,0,Upper-Mid,0,Growing,DEUTSCHE POST AG,Consistent,✓
241840,3,Mid,2,Lower-Mid,1,Growing,SCHULER AG,Improving,⭐
242158,0,Upper-Mid,0,Upper-Mid,0,Growing,WIRECARD AG,Consistent,✓
244394,0,Upper-Mid,0,Upper-Mid,0,Growing,MVV ENERGIE AG,Consistent,✓
244398,0,Upper-Mid,2,Lower-Mid,1,Growing,TAKKT AG,Improving,⭐
245628,0,Upper-Mid,2,Lower-Mid,0,Growing,NORDEX SE,Improving,⭐
245839,0,Upper-Mid,0,Upper-Mid,0,Growing,FRAPORT AG,Consistent,✓
248166,0,Upper-Mid,2,Lower-Mid,0,Growing,MAINOVA AG,Improving,⭐
269104,0,Upper-Mid,2,Lower-Mid,0,Growing,BAUER AG,Improving,⭐
269835,0,Upper-Mid,0,Upper-Mid,0,Growing,BRENNTAG SE,Consistent,✓
270249,0,Upper-Mid,0,Upper-Mid,0,Growing,DIEBOLD NIXDORF AG,Consistent,✓
271763,3,Mid,2,Lower-Mid,0,Growing,LANXESS AG,Improving,⭐
273099,0,Upper-Mid,0,Upper-Mid,0,Growing,MTU AERO ENGINES AG,Consistent,✓
276585,0,Upper-Mid,4,Mid,0,Growing,WACKER CHEMIE AG,Improving,⭐
278310,3,Mid,2,Lower-Mid,0,Growing,KLOCKNER & CO SE,Improving,⭐
281772,0,Upper-Mid,0,Upper-Mid,0,Growing,SYMRISE AG,Consistent,✓
284636,0,Upper-Mid,4,Mid,0,Growing,WACKER NEUSON SE,Improving,⭐
284944,0,Upper-Mid,0,Upper-Mid,0,Growing,GERRESHEIMER GROUP,Consistent,✓
285715,0,Upper-Mid,0,Upper-Mid,0,Growing,SAF HOLLAND SE,Consistent,✓
287162,0,Upper-Mid,0,Upper-Mid,0,Growing,HAMBURGER HAFEN UND LOGISTIK,Consistent,✓
289333,3,Mid,2,Lower-Mid,0,Growing,SMA SOLAR TECHNOLOGY AG,Improving,⭐
295079,0,Upper-Mid,0,Upper-Mid,1,Growing,STROEER SE & CO KGAA,Consistent,✓
295421,0,Upper-Mid,2,Lower-Mid,1,Growing,EVONIK INDUSTRIES AG,Improving,⭐
297185,0,Upper-Mid,0,Upper-Mid,0,Growing,KION GROUP AG,Consistent,✓
297222,0,Upper-Mid,4,Mid,1,Growing,NORMA GROUP SE,Improving,⭐
313972,0,Upper-Mid,2,Lower-Mid,1,Growing,TELEFONICA DEUTSCHLAND,Improving,⭐
315541,3,Mid,2,Lower-Mid,2,Growing,OSRAM LICHT AG,Consistent,✓
315582,0,Upper-Mid,0,Upper-Mid,0,Growing,STABILUS SE,Consistent,✓
317079,0,Upper-Mid,0,Upper-Mid,0,Growing,SCOUT24 SE,Consistent,✓
318434,0,Upper-Mid,0,Upper-Mid,0,Growing,ZALANDO SE,Consistent,✓
318452,1,Top Tier,-1,,2,Growing,ROCKET INTERNET SE,Unknown,?
318659,0,Upper-Mid,2,Lower-Mid,0,Growing,HELLA GMBH & CO. KGAA,Improving,⭐
319665,0,Upper-Mid,1,High Performers,1,Growing,ALLANE SE,Consistent,✓
319865,0,Upper-Mid,4,Mid,0,Growing,SILTRONIC AG,Improving,⭐
320124,0,Upper-Mid,2,Lower-Mid,1,Growing,SCHAEFFLER AG,Improving,⭐
320448,0,Upper-Mid,2,Lower-Mid,0,Growing,COVESTRO AG,Improving,⭐
321632,0,Upper-Mid,0,Upper-Mid,0,Growing,UNIPER SE,Consistent,✓
322597,3,Mid,2,Lower-Mid,1,Growing,INNOGY SE,Improving,⭐
324859,3,Mid,2,Lower-Mid,0,Growing,DELIVERY HERO SE,Improving,⭐
324977,3,Mid,2,Lower-Mid,0,Growing,METRO AG,Improving,⭐
325735,4,Lower-Mid,2,Lower-Mid,2,Growing,HELLOFRESH SE,Consistent,✓
326410,0,Upper-Mid,4,Mid,0,Growing,1&1 AG,Improving,⭐
326577,0,Upper-Mid,0,Upper-Mid,0,Growing,DERMAPHARM HOLDING,Consistent,✓
326765,0,Upper-Mid,0,Upper-Mid,1,Growing,SIEMENS HEALTHINEE,Consistent,✓
327148,2,Strong Performers,0,Upper-Mid,3,Declining (Volatile),SPRINGER NATURE AG,Declining,⚠
328745,0,Upper-Mid,0,Upper-Mid,1,Growing,KNORR-BREMSE AKTIE,Consistent,✓
329260,0,Upper-Mid,2,Lower-Mid,0,Growing,ENCAVIS AG,Improving,⭐
332311,0,Upper-Mid,0,Upper-Mid,0,Growing,TRATON SE,Consistent,✓
333885,1,Top Tier,1,High Performers,0,Growing,TEAMVIEWER SE,Consistent,✓
340115,0,Upper-Mid,0,Upper-Mid,0,Growing,HENSOLDT AG,Consistent,✓
340153,0,Upper-Mid,2,Lower-Mid,0,Growing,SIEMENS ENERGY AG,Improving,⭐
346413,1,Top Tier,4,Mid,0,Growing,AUTO1 GROUP SE,Improving,⭐
347562,0,Upper-Mid,2,Lower-Mid,0,Growing,SYNLAB AG,Improving,⭐
350278,0,Upper-Mid,2,Lower-Mid,0,Growing,VITESCO TECHNOLOGIES GROUP,Improving,⭐
351590,0,Upper-Mid,0,Upper-Mid,0,Growing,DAIMLER TRUCK HOLDING AG,Consistent,✓
354519,0,Upper-Mid,0,Upper-Mid,0,Growing,DR ING  H C F PORSCHE AG,Consistent,✓
355804,1,Top Tier,1,High Performers,4,Declining (Volatile),IONOS GROUP SE,Declining,⚠
358679,0,Upper-Mid,0,Upper-Mid,1,Growing,SCHOTT PHARMA AG & CO KGAA,Consistent,✓
360887,1,Top Tier,0,Upper-Mid,0,Growing,DOUGLAS AG,Consistent,✓
