cluster_hier,Component,Explained_Variance_Ratio,Cumulative_Variance
0,0.05824917101376381,-0.10703985280427766,-0.2343451242347812
1,-1.638602029311396,-2.802699231823094,1.804645478209716
2,-2.6487448651136325,30.44180331288757,12.000822934082189
3,-2.2536344148232126,-0.7034256403014163,-1.1237768355545805
4,-0.8490381685737087,-7.541802024276886,21.837157201444064
