Algorithm,N_Clusters,Silhouette,Calinski-Harabasz,Davies-Bouldin
K-Means,3,0.08907017309354433,7.66964663988535,2.6469994994777752
Hierarchical,3,0.6141851097608197,9.121254321295032,0.2666952608274156
