gvkey,roa,roe,ebit_margin,gross_margin,fcf_margin,current_ratio,debt_to_equity,financial_leverage,conm,revt,at,sale,gsector,gsubind,ggroup,gind,margin_trend,leverage_trend,revenue_growth,fcf_growth,margin_volatility,growth_quality,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,cluster,cluster_name,proximity_score,profitability_score,liquidity_score,leverage_score,cashflow_score,structure_score,growth_score,trends_score,volatility_score,quality_score,relative_score,overall_score
17436,3.561524591183237,3.646169836231355,4.388599448360404,31.512411890897944,1.1461844927980387,1.832971418510476,0.574594791988539,2.2589117671844714,BASF SE,65260.0,80415.0,65260.0,15.0,15101020.0,1510.0,151010.0,-0.5584299133540365,0.0055697257137825,-5.285768192505302,-72.45949926362297,2.549269232760668,0.3474910408465332,-0.30078756450536415,-0.258461451633355,-0.5984244997314706,-0.4413042586230416,0.3262118772570478,-0.1762298473058412,-0.07273581769344208,-0.4836432015337675,1,Upper-Mid,66.10637251150683,77.37094905356416,84.61383681634385,97.50616997431278,98.37930376758194,89.65101668703285,80.42033395081162,96.87503299647783,91.98771293579273,90.81718079277539,49.039072065974544,63.73040590536859
17828,4.749254745103959,11.019703103913631,8.64458700221163,38.52974710496312,9.406981056911686,1.3600486461925,0.7933819163292848,2.86110661268556,MERCEDES BENZ GROUP AG,145594.0,265010.0,145594.0,25.0,25102010.0,2510.0,251020.0,0.3217632319941527,-0.0830119467670089,-4.975916667754444,27.70163170163171,3.079812716571244,-0.4650282774815283,-0.19841736122399012,-0.27098465110302844,0.08662389916470674,0.596480944112464,-0.6644183325560212,0.08811103357501268,-0.13876280867820867,0.6587337246952369,0,Lower-Mid,74.47637020090473,89.39169995631917,82.86447337882274,98.58480223062142,90.15133864200004,97.9173676474143,85.11751697892926,97.43284489572545,99.99059892727766,97.04846291294734,49.74421305563286,70.29499584152727
19349,6.534652125673153,16.026841448189764,12.720927169761625,43.226656130646646,12.612932964572632,1.3971489080682258,0.80604322721598,2.883348938826467,SIEMENS AG,75930.0,147812.0,75930.0,20.0,20105010.0,2010.0,201050.0,0.4274657300079713,0.0305137151956357,-2.3646954442001267,-4.430695539367324,1.833229520947242,-0.397258245788941,0.10462152958660506,-0.45965872279058856,0.3353296361530565,0.4003253713628447,-0.5569749453955196,0.056696832645432974,-0.008857179676962123,0.761919686616027,0,Lower-Mid,66.62223346311244,72.55941733871077,84.00003927092116,98.387540421752,91.09481336236816,98.08458488397355,87.17504225929844,97.62688442841694,99.02191630070931,94.84133335948486,51.47109122812633,64.07578723405709
100004,6.475870996902852,5.368676591220314,9.114981579998725,39.72850615904001,8.187796283685062,3.276000352751695,0.1399445258826524,1.4842684121989815,ALTANA AG,3168.838,4460.234,3168.838,15.0,15101050.0,1510.0,151010.0,-0.6327483285192008,-0.0059883295837248,15.58711150586447,-1.9262608011974656,2.4440278110633824,-0.763409682844701,0.4845899261571877,-0.16810984820117036,-0.171948340900048,0.1593931399359683,-1.8681909206801417,0.7945849470552077,0.05461365172094867,1.1236692224068785,0,Lower-Mid,40.30955086724452,81.74698551590674,59.75395698633156,91.47388928132118,89.79511671261817,88.10261054319048,56.439743826498514,97.05973086115488,99.50453818992432,67.36366879562365,48.76275150324814,50.08656795218606
100010,-4.250672662268254,437.7415687760516,-2.177823309743788,10.35044401535288,1.606575487331045,0.9146029254737492,-7.774535809018568,,BAYWA AG,21181.7,10852.4,21181.7,20.0,20105010.0,2010.0,201050.0,-0.0393191042204327,-0.8098200228053252,-11.710911872220342,-492.95612009237857,1.031984378037889,0.1816939575119068,0.7351283191796781,-3.5766385012093256,-2.2092536697104883,2.7299974775023848,1.635173360718922,-0.9264907374791216,-4.145954838234668,-0.7478528239379436,1,Upper-Mid,1.7496680278221044,2.3008950295766244,84.37945179214283,26.027031162655078,98.52649896711769,93.34626869504505,60.25718091752292,87.33871276355687,90.88338366270848,89.89296778499101,45.3326660354955,12.801326470938113
100022,4.23520535460834,7.896874830742566,7.9638994240764145,44.69658659924146,-3.258182328978789,1.0991914607305364,0.7232844066511401,2.900200400801604,BAYERISCHE MOTOREN WERKE AKT,142380.0,267732.0,142380.0,25.0,25102010.0,2510.0,251020.0,-0.3216470686221347,-0.1079604426758696,-8.436121364905013,-169.64419756793274,2.300976531313524,0.5827736771714417,-0.26598000316222603,-0.5273051663987816,-0.1803041556699531,-0.6708391071077179,0.9272649108187475,-0.48868039466424756,0.08779631760029785,-0.6854634267727436,1,Upper-Mid,56.647292914061694,81.06446962230193,90.29149440593869,99.82687349285686,96.98221661808249,94.17171714091289,72.10669093698053,95.55056503489594,91.80608345871863,68.09832310688418,48.820833642344674,59.670502079917824
100042,-2.283029297954671,-7.278854254422915,-3.8106661745709545,23.186934858830043,1.919173279202805,0.6407944780955064,0.1144060657118786,3.0480202190395955,MAN SE,10838.0,18090.0,10838.0,20.0,20106010.0,2010.0,201060.0,-0.6133146416011801,0.0257370724738015,-14.412066650872625,170.12987012987014,2.5504076581144326,-0.3905236664983529,-1.228701784476655,0.2754365964437628,-0.9125991867613109,1.1464624863085524,-0.35623619639473864,-0.19387082935622194,-0.40966355822704154,-0.03955932794583935,0,Lower-Mid,34.55580099430161,42.892728626207024,63.64597895339719,91.10507808437906,87.98565113758777,99.3314950205471,65.5195669918612,97.21372385458923,99.58883435369032,94.06300020149334,44.45680643744185,41.33930898017914
100054,2.2840015248876586,72.36664710454106,1.690983557083559,26.35408799724454,4.971786361300936,1.120285964924529,6.67153636082885,23.00331592024251,HOCHTIEF AG,33301.27,24654.931,33301.27,20.0,20103010.0,2010.0,201030.0,-0.0672083220746791,0.6244574442477412,19.978436409854616,47.23920051579626,1.764917999082016,0.1284283150664063,-0.5041530699259095,2.291653895291517,1.3312550457664574,0.06534285736271447,1.2231121631747206,-0.3262710709963736,-1.111978882700612,0.38434823999860934,1,Upper-Mid,13.754027002943847,52.148869876501415,90.99295907380568,39.09235282036446,99.6091261406091,22.715433624441996,54.28340348979807,89.17791459939166,91.41517138984096,84.22088714655519,57.737891886640334,27.98313058198398
100080,2.85701398285972,-7.997994233421085,6.795262412564906,63.991760717504185,9.84851735828005,1.1896932854379665,1.1125109690359785,3.474050394885295,BAYER AG,46606.0,110850.0,46606.0,35.0,35202010.0,3520.0,352020.0,-0.245515221629714,0.0626117834328853,-2.164284064907529,93.99830938292476,3.2777902945769237,0.3274444893955998,-0.45371320111896063,-0.24903899633535403,0.020606286921746493,-0.48388356915051867,0.406207874459884,-0.361153784136194,0.6399550510618597,-0.4533540640426579,1,Upper-Mid,54.2438188554111,56.4330870610958,93.33968379564752,94.19148219608104,98.81503729777805,98.4099392855145,85.50477186753925,95.2274703150957,92.52271255994114,93.07240976561833,50.29048257764627,55.22900895412259
100083,10.42195065713627,10.761061946902654,13.766497461928934,61.6751269035533,8.060913705583756,1.7426948051948052,0.0,1.535221238938053,BEIERSDORF AG,9850.0,13011.0,9850.0,30.0,30302010.0,3030.0,303020.0,-0.1521733838461118,0.0014112453995748,4.265904519953434,87.26415094339623,0.969901098575644,0.0118690843335776,0.5728152703566515,-0.9491343428718721,0.5565001097755682,-0.4163936340057461,-0.2746220477184534,-0.10207727577698227,0.7234703117966117,0.3407639683869099,1,Upper-Mid,43.79825946287613,49.543270823254204,87.46312499949744,89.03400470831349,99.39033657932211,84.80952570694986,87.14123049240663,94.93245337660721,90.83848085507755,73.02625762046839,50.95667978105657,49.402542994493636
