prev_cluster,0,1,2,3,4,All
0,969,0,0,0,0,969
1,0,27,0,0,0,27
2,0,0,139,0,0,139
3,0,0,0,7,0,7
4,0,0,0,0,282,282
All,969,27,139,7,282,1424
