gvkey,conm,cluster,proximity_score,profitability_score,liquidity_score,leverage_score,cashflow_score,structure_score,relative_score,overall_score
17436,BASF SE,0,66.53290025163115,79.3516934112447,87.8479227412659,92.55505867097087,94.51772987506692,88.49249158913372,46.48218245843192,51.739004649998485
17828,MERCEDES BENZ GROUP AG,0,71.20489718315277,79.53165859417132,95.70340131419469,95.81453967975331,79.38301106231667,92.67641786094644,51.87141167701667,53.96974456007071
19349,SIEMENS AG,5,63.01758476423994,71.3825747817551,84.54621653685183,96.44411521697192,88.4309142077803,96.94624501524507,51.72118139353498,49.127960383744195
100004,ALTANA AG,5,50.55586960314316,65.28560702359547,59.37269725253627,93.31716050226238,96.9538382686746,92.65247527813625,46.73374240668102,42.6111852962026
100010,BAYWA AG,2,2.0180800129364993,2.5488491032449465,73.66655585941612,27.68369049355509,91.7158059202065,94.32109891280824,47.4713716549555,4.085370875179098
100022,BAYERISCHE MOTOREN WERKE AKT,0,61.93443405842045,67.71117767226627,86.97017081544153,94.75792286277904,81.0953741555868,92.95477279547542,48.248260611539315,47.79180144409935
100042,MAN SE,2,60.650812450345214,76.5047002356068,66.62696883332353,96.43068728152679,90.72420279711612,96.24034396033917,47.86565696803295,49.20433375541213
100054,HOCHTIEF AG,3,16.756979635240103,25.918789306644303,89.93281850405154,84.84818560931717,31.970050091326748,99.54118354060631,53.599405452790265,20.37136827635662
100080,BAYER AG,5,52.67585871995051,55.93311713517502,78.35099363599066,91.87991498964789,97.35401311971017,92.65120928044858,47.09180879817849,41.444958413980004
100083,BEIERSDORF AG,5,69.97508301883911,71.77003554666688,95.97164766880064,91.27397288377753,96.52698816042059,93.01534012915658,49.526732075123626,51.47143760524678
100102,BILFINGER SE,0,57.86570543766829,62.869699125056066,95.60127946076463,87.83772989097166,97.37829105740701,91.27433662456448,49.51846997901194,44.503994989175695
100103,DEUTSCHE LUFTHANSA AG,2,49.85661232672241,55.27605910477049,71.50083882703503,90.30461404363123,97.05006043338375,96.02290709932473,51.15168077661673,40.02831815600619
100301,DEUTZ AG,0,62.589347112735794,66.34703861287828,93.57113636600216,86.61541803608085,97.5953130203046,86.65414115240935,45.04746079386237,46.96668837127807
100312,RHEINMETALL AG,4,59.89449487555476,75.86818634126979,87.9177134173816,87.4981945223929,68.35688073148549,93.45009702002464,47.6923035882234,47.88125467071515
100368,GEA GROUP AG,0,55.81868920944565,62.619993421998124,85.71445028601308,85.20340287778633,81.29167982083196,90.06676608196162,55.05079925206677,43.37181465595653
100373,HEIDELBERG MATERIALS AG,5,62.518539082663004,79.65271105800605,80.62270633617402,96.57959803363502,99.73829005052326,96.27777953459649,50.63965461662978,50.59591764802992
100431,HAPAG-LLOYD AG,4,26.07313812794131,39.8073263205039,78.01321248816767,84.56302765286048,71.69500571998432,80.68818275232493,48.003598377710745,26.847023280563356
100449,KUKA AG,2,63.40804332080948,71.4443720322505,82.34412253639894,96.02768452244005,79.39482866001268,98.67679346676047,52.10424403532345,49.254860187017904
100590,E.ON SE,0,62.27215991094916,72.94391758095526,79.93183910883538,87.45058637497779,85.94356107849464,83.25246630178287,52.93298372772685,48.2427061180685
100609,CONTINENTAL AG,0,60.26234881463019,89.45706657657236,92.18612442270067,88.43198664917264,99.10016532105472,90.67040002771972,46.287332319228554,50.839551506083815
100676,TUI AG,3,14.279939278695043,23.13287736070378,72.2999054915312,74.41863993753776,31.747818697618698,69.55449526719512,48.93108319400488,17.78041517737255
100736,K&S AG,2,58.5582863324144,90.51917379461013,62.65557129347579,96.36361269415539,89.39619644659864,85.50097326313859,49.423742865871716,51.163510561303326
100737,VOLKSWAGEN AG,0,70.04517740160026,73.51589668816393,87.95519280686219,95.18736211325665,90.77488777327558,97.12214019197259,50.09922435863606,52.23998650959856
100746,CECONOMY AG,3,21.42190554576337,35.59893607936927,83.34056817423782,77.97282622701644,34.38936177166549,77.62355367731423,50.376347579411906,23.485832056880845
100764,SUEDZUCKER AG,0,71.58846257731399,75.3980721410927,88.58392561026818,90.85426153153995,97.74033314962001,92.97536430821084,46.70289258325987,52.800425612298135
100953,RWE AKTIENGESELLSCHAFT,0,39.67800596892574,46.4881672623755,92.59592421881784,91.01064798836657,61.13875862720188,94.53705946722897,54.63598834903374,34.269900638882056
101059,AXEL SPRINGER SE,0,63.5002746697014,69.85847275663022,80.08331243501252,98.81640217899549,86.46291482123686,95.26558090810758,48.10835213133317,49.253444637106156
101120,AUDI AG,0,53.97169425180574,61.59582931914929,96.83108909226002,84.51308806058485,74.3653136528223,87.89422522372053,52.76939672509484,42.35915237061064
101148,LECHWERKE AG,2,48.778619543909166,69.6519289765027,56.30860330418469,94.70115182723126,81.58698758343303,96.9083257332192,48.909652432863915,42.911948795587335
101161,GELSENWASSER AG,2,65.5957972223435,74.01441607631929,76.07832507982424,99.38627372947447,93.21349494622697,94.88329428393584,49.92708030161837,50.97982947714871
101286,LEONI AG,2,21.734754560428268,26.41638616523481,66.61458415464072,78.89158009124954,92.43090217347148,94.32109891280824,47.312997860127595,21.866337066343224
101390,KSB SE & CO KGAA,5,60.889926750438384,86.04569751921252,95.80841962558647,91.77093770449207,85.2911467179411,98.88616100530454,49.372991843678896,50.74220397446706
101768,MCKESSON EUROPE AG,2,65.48913181023227,67.90861327992481,97.31576166245367,95.66890376673601,97.99278256451002,89.12584337270458,48.50324139861406,49.34426575675147
101937,DMG MORI AG,5,72.33693084286678,82.53337255244074,94.57377857427221,91.67444995172454,89.94622819760541,94.86836592856307,48.46880776877197,54.60889184280732
101942,HENKEL AG & CO KGAA,5,73.86149007005713,87.62076238184697,79.04299936388463,93.04633373754798,91.74870842640668,93.64246595752144,48.40776764615193,56.37338187814704
102175,PUMA SE,0,51.59912442099397,53.992748469375776,99.27521809741593,91.22679981873137,92.86158534343859,90.31901784802594,54.64206884811306,40.56087944414588
102187,PORSCHE AUTOMOBIL HOLDING SE,2,0.48329955231572674,49.087182293729484,0.5120378637152945,97.93281900279804,81.58698758343303,83.64949684516444,55.862958287881256,19.804038179951995
102218,DRAEGERWERK AG,0,57.51936554790045,61.692815459821006,84.89406722200036,87.04921850065935,98.55366461558877,86.85254718471785,51.37448752158429,44.05123116119032
102250,HUGO BOSS AG,5,40.99463783618958,64.20405721993627,89.04632427168146,97.98339760035417,87.4621661374673,98.69228708397799,49.81878054281187,39.03700633849851
102259,SALZGITTER AG,2,62.048274753634345,72.39461041974032,92.99745780255368,96.28405926153481,84.87341538732423,91.2666119076071,50.19797580538223,48.92663791155528
102365,KOENIG & BAUER AG,2,65.30107668326254,68.0068071462177,90.22813705695091,92.95905263734514,89.28939994302841,94.34785442159294,49.82084346161527,49.01769736628307
102529,PAUL HARTMANN AG,5,61.152755601782346,69.62618985412917,83.3473955016799,94.65151157113243,79.48803768470427,95.11742660161981,44.69513570804365,47.85149136865202
102926,KWS SAAT SE & CO KGAA,5,53.70115176604131,65.89893479218908,66.35682091056717,95.20412884261516,93.23487557168202,93.98953669308743,52.63678006564922,44.180660549115856
103176,THYSSENKRUPP AG,2,73.86112724359744,74.84829374619227,99.37192752171818,95.7227696003976,98.65536966416548,96.33578609319969,48.587119046284194,54.08638660671719
103200,FUCHS SE,5,34.70580931454196,35.70953016789093,87.60560699721607,91.67062900913507,98.72788559573453,91.88511479982563,50.32542228639067,30.191292660308477
103255,BERTELSMANN SE & CO KGAA,0,71.9296102718913,89.80948154983527,95.10134429265706,90.47598794385333,79.53140512348263,89.69628041007849,49.07785566882515,55.78133921310892
103269,KRONES AG,5,71.814148956431,80.55448417131888,82.69049608846777,91.9871575374207,90.45318843961672,99.94183303457613,47.18939409114496,54.035272170578246
103487,SAP SE,4,45.00233183703335,61.41889560709451,90.93368456952149,83.25693373476973,75.37258668943375,80.7102140501763,48.19890282410745,38.610405229709215
103533,SIXT SE,5,36.25956377174535,56.221775768993034,59.19340241441843,89.2579139464728,58.014380731435,95.51402547921418,60.464092470361095,34.67397205714403
