gvkey,company_name,years_available,roa_trend,roa_trend_r2,roa_volatility,roe_trend,roe_trend_r2,roe_volatility,ebit_margin_trend,ebit_margin_trend_r2,ebit_margin_volatility,revt_trend,revt_trend_r2,revt_volatility,revt_cagr,debt_to_equity_trend,debt_to_equity_trend_r2,debt_to_equity_volatility,fcf_trend,fcf_trend_r2,fcf_volatility,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,cluster_name,proximity_score,trends_score,relative_score,overall_score
17436,BASF SE,11,-0.5203910451744728,0.4618113988120526,2.421572580770398,-1.7381982240373897,0.5355901335056996,7.510745009251506,-0.5584299133540365,0.5278355347349147,2.430632843352111,568.4818181818182,0.042123343710344194,8759.012785423172,-1.292391284636929,0.009783718602490584,0.23775978726264552,0.06345045655132885,-116.9909090909091,0.11235853006194121,1103.695041123975,0.4307799557612902,-0.20548029464028272,0.27646873904244057,0.3069086099669485,-1.822719847418315,1.150330660076703,-0.07629054631485939,-0.4979915499783136,0.05603324943419942,0.5575083082889264,1,Growing,29.75934471927712,82.69703210077294,51.04638736689931,11.903737887710848
17828,MERCEDES BENZ GROUP AG,11,0.0712214336077651,0.017552498218325815,1.6999699420134697,-0.24603295279874668,0.03395305185716316,4.2223465039431725,0.3217632319941527,0.12006513144456506,2.9364862071335196,90.5,0.0005314302406127889,12414.391787540197,1.14927981301447,-0.048266734018703114,0.29235502880583786,0.28228813787041723,2624.2636363636366,0.6589083787831028,10223.390447788535,1.910488826351551,6.882057737486787,0.6952482952329075,1.6265374030193174,-1.2061015097472074,-3.1331496176262355,-2.1970867534485143,-2.9899687250708897,-0.3642806207521559,3.0131851210620595,4,Growing,4.364163905531017,18.343530188408415,48.01411992399051,1.7456655622124069
19349,SIEMENS AG,11,0.053867822909594944,0.03957489262524719,0.8562873951571512,-0.2601259080517099,0.08604901865672822,2.8042107404142556,0.4274657300079713,0.5980832047422889,1.7479157657238142,-562.6545454545455,0.0435183113190721,8529.1512187554,0.5440493330430618,0.024189964481627198,0.30192877867166107,0.1392140203350838,538.9454545454546,0.8694510628374966,1827.7729347012573,0.4965688374217589,1.180138163191458,-0.12844004749405438,0.9198543466316452,-0.5148292358325126,-1.3258994327531144,-0.821243704750048,-2.3162871158893257,1.250375502014025,-0.3152058696011,1,Growing,17.07684236321203,47.33550119124835,52.02712442989698,6.830736945284812
100004,ALTANA AG,11,-0.4294549207168277,0.7007472582499219,1.6223213352994572,-0.5452305191279143,0.5225549415582613,2.385141658824102,-0.6327483285192008,0.7372969057825468,2.33028908492473,112.35146363636363,0.8245511120904775,391.2640478104163,4.962984628067524,-0.004314428789918088,0.04802237947000939,0.06225890350962744,-6.00260909090909,0.058063456261246434,78.77503769868822,-0.2736595830470548,-1.2506666771896953,1.408159424118949,-0.4926434617579051,-0.9797993826431721,0.6533946165285495,-1.1332549702174444,1.1047228984709228,-0.23628210828441043,-0.0021466363451114346,0,Growing,49.52092431813874,90.41670961709077,48.95615694221188,19.808369727255496
100010,BAYWA AG,11,-0.11533689911326939,0.03532613484965294,1.9405293236001875,19.327966136148117,0.240182522094857,124.71407087885252,-0.03931910422043276,0.015968115640003326,0.9839584971450079,993.285990909091,0.6815896952618818,3804.6332794286823,3.369252419736979,-0.15649838428529866,0.024611136032805365,3.154598029706818,9.983099999999997,0.0067979889256451365,382.8910324843854,0.5621413914601705,0.3339462249053463,-1.500606475402487,-0.40582998317026825,0.13682413740284347,0.3085343135984543,-0.6014421025568731,1.3352528065701685,-0.12156481749439227,0.4194871134732463,2,Growing,30.23282227070422,95.7413458282276,49.75336881649334,12.093128908281688
100022,BAYERISCHE MOTOREN WERKE AKT,11,-0.10730136513996358,0.06792746527834241,1.3019147361570051,-0.3146579923066314,0.05804011733372972,4.130233704730176,-0.32164706862213477,0.21494507685424238,2.193895041339535,6683.054545454545,0.810457656858978,23475.229185724984,5.881175402100247,-0.0543750060409246,0.6511705363045724,0.2130845429629302,1102.4545454545455,0.29544514992115367,6413.901114308845,1.79572811601052,6.293359723202567,1.352862992308155,0.22317631248391853,-0.49764300213929596,-1.6671510020501221,0.791595597399779,0.863650100079406,-1.3709407007975374,-0.04934533990259975,4,Growing,18.51320997772403,61.87350093893315,49.441090428810845,7.405283991089613
100042,MAN SE,7,-0.4479385377431797,0.347393494414941,1.5199789832710475,-0.16028040694243867,0.003480138817942163,5.433906335897462,-0.6133146416011801,0.26986976990822675,2.3612186724961832,-495.7857142857143,0.7008141040379622,1184.4659693942504,-4.499330360890596,-0.01768489174889099,0.255924466004098,0.06991598790538837,88.10714285714285,0.1154336387291758,518.6506433003996,0.3306015310677217,-0.3917801602191195,-1.077503110407807,0.022640171292210052,-0.5818236864587137,-0.31331341543063457,-0.5346635165062639,0.3972488606304399,-0.47861022089795563,-0.5334128388068637,2,Growing,35.53801056223843,93.40863712453577,46.64472952994015,14.215204224895373
100054,HOCHTIEF AG,11,-0.14084986850625408,0.030115899190355712,2.5666020009856867,6.083255581648264,0.5480483281186025,25.985234156541445,-0.06720832207467914,0.015951066538431043,1.6827832852108888,892.2464909090907,0.5967033578690626,3652.6293771794976,4.185843296378322,0.5610995548342448,0.6963027607723041,2.1263799353333384,57.22258181818182,0.19735381212053,407.32839778632365,0.7328467780359286,-0.12436936337039466,-0.40903093608551766,-0.19694399314158054,0.26901194422730734,-0.6624543777431686,1.4033009624967758,0.3035978775083101,-0.3087512193279543,1.1448932710789541,2,Growing,30.089711351677845,97.62604996577954,51.33107978439621,12.03588454067114
100080,BAYER AG,11,-0.4288697186165794,0.476740795898359,1.9641932955671328,-2.7608516899841353,0.22424349667620563,18.436698304190028,-0.24551522162971406,0.06171449807406264,3.125250421271386,535.8454545454546,0.1672992559745073,4142.786442013664,0.9887089806627225,0.05305825952896785,0.4464733623542867,0.2511049206481051,-170.84545454545454,0.1538049135320641,1377.5847411351012,0.4854139170101027,-0.09276408128894906,-0.8830748818781065,0.2842603129017325,-0.8308706679257618,0.3392489405064083,0.4356051264141128,-0.4741048069098873,-0.3194047132029271,0.36154861915472036,1,Growing,43.98644009039503,76.5680082034483,49.59791366575262,17.594576036158013
100083,BEIERSDORF AG,11,-0.5141279617984581,0.7410026651051637,1.8886928639604164,-0.6823819037512364,0.7678657660515293,2.4625488150890216,-0.15217338384611181,0.2707791238919422,0.924764412760078,326.76363636363635,0.8449818090711269,1124.1131821489294,4.595522763056659,0.0,0.0,0.005544862366089686,11.918181818181818,0.031801371066971354,211.3426187008641,-0.13132007155713976,-1.1092800650419499,1.0618438336233444,-0.6141939115852516,-0.8963000040291845,0.6454106121007943,-0.7609584369154551,1.7070492134043358,0.22698614341136245,1.209017229721806,0,Growing,33.64946026212587,92.76350374596409,48.41892927040483,13.45978410485035
