cluster,roa_trend,roa_trend_r2,roa_volatility,roe_trend,roe_trend_r2,roe_volatility,ebit_margin_trend,ebit_margin_trend_r2,ebit_margin_volatility,revt_trend,revt_trend_r2,revt_volatility,revt_cagr,debt_to_equity_trend,debt_to_equity_trend_r2,debt_to_equity_volatility,fcf_trend,fcf_trend_r2,fcf_volatility,static_proximity_score,static_profitability_score,static_liquidity_score,static_leverage_score,static_efficiency_score,static_relative_score,static_overall_score,proximity_score,trends_score,relative_score,overall_score
0,-0.18182881315463598,0.3475279279922745,2.867900205838909,-5.250193820726332,0.25080992119337947,49.55870445398,7.604340051433099,0.33705565971868223,24.103119319702326,434.4267525254097,0.5645084619935165,3023.2922691720482,5.1474549272622,-0.4576438549073816,0.37165118202602015,4.576213269332199,84.14534029714129,0.3123486751002967,709.5727540581031,48.63466707881909,65.82044789799806,82.66321510517504,73.72903140255633,71.79260776197194,49.953919647619685,50.75975071567867,24.19029765733539,84.13683223000184,50.004989308597814,9.676119062934156
1,1.199235946696619,0.4766285732782255,11.310016078252245,3.1875790601313736,0.1425050809515095,144.20713047137255,-13.331503374819423,0.37943789269091754,85.25665985370131,767.5890928090428,0.5086264934125725,8888.13473794189,10.577719346791257,-0.009798295309004936,0.2208134273693243,2.5603748708160903,-19.414664081289086,0.07316417432606584,692.6792033139244,20.814215095040886,47.54831467558016,73.38497132621218,65.16885020632333,31.648889991118462,50.0,29.099567492432488,10.060808929627338,94.56032627872978,50.011718262439814,4.024323571850936
2,-0.8623827101279142,0.23726641367876355,4.105438262362424,11.07694111144589,0.12521404819153178,98.39958324637938,-0.5605415095256758,0.1978681724836157,2.7581756743245482,539.4346787878789,0.5036157696104442,2095.933707570196,3.053749223095803,0.06479695689150358,0.07384357064334185,2.6300940913038087,-2.4199000000000046,0.09598459679117288,235.9158949162447,22.383894333436686,32.359895653382836,94.31178106072335,62.444470493655345,62.2497005619088,48.81866513203569,31.007438997703098,44.93751417115332,98.24217981280655,50.0,17.97500566846133
3,-0.22013881356818266,0.6122399636372111,2.4163939932962015,-9.099969862390434,0.2039900460392616,46.58394837595166,-1.5552691406053998,0.5422014058132903,7.235295519054338,20.99198181818182,0.48157080451185763,97.1861790537374,5.412056826294453,2.2090792444218526,0.5325615262916638,9.394357420660029,4.580677272727273,0.15862442683954878,45.86511925661062,17.084104215215472,18.068218304226612,80.88718755541842,82.8564734525668,71.29972844247828,50.0,29.427891958559933,44.73592393808187,99.56625670595474,50.0,17.894369575232748
4,0.0010672915373213967,0.34891505984235816,2.9680953635072562,-0.0968783975936981,0.30293283513245656,7.782796782227103,0.337297211150517,0.3452822562439674,4.298548096866129,371.5716892621871,0.6454835399179423,1356.7255839283278,5.712750582969167,0.0008582404838326707,0.29016357412064603,0.16074883432755877,76.8296804449174,0.2998473795653053,475.74175243454835,52.36711954047723,71.96835251235343,69.05670478972799,82.79721459958378,83.02070706487787,50.0,56.07334583835164,30.700509868396782,88.57807389007243,50.0,12.280203947358713
