gvkey,company_name,years_available,roa_trend,roa_trend_r2,roa_volatility,roe_trend,roe_trend_r2,roe_volatility,ebit_margin_trend,ebit_margin_trend_r2,ebit_margin_volatility,revt_trend,revt_trend_r2,revt_volatility,revt_cagr,debt_to_equity_trend,debt_to_equity_trend_r2,debt_to_equity_volatility,fcf_trend,fcf_trend_r2,fcf_volatility,cluster,cluster_name,static_proximity_score,static_profitability_score,static_liquidity_score,static_leverage_score,static_efficiency_score,static_relative_score,static_overall_score,proximity_score,trends_score,relative_score,overall_score,cluster_name_enriched
17436,BASF SE,11,-0.5203910451744728,0.4618113988120526,2.421572580770398,-1.73819822403739,0.5355901335057,7.510745009251506,-0.5584299133540365,0.5278355347349147,2.430632843352111,568.4818181818182,0.042123343710344194,8759.012785423172,-1.292391284636929,0.009783718602490584,0.23775978726264546,0.06345045655132886,-116.9909090909091,0.11235853006194121,1103.695041123975,0,Lower-Mid,67.02400027542936,86.01557497993144,86.02863925312994,71.93906130449594,92.37922331318008,50.75597146705172,65.06350473358464,26.505136354928776,75.0064296961455,49.19946333322222,10.602054541971512,Lower-Mid (Strongly Growing)
17828,MERCEDES BENZ GROUP AG,11,0.07122143360776512,0.017552498218325822,1.6999699420134697,-0.24603295279874668,0.033953051857163144,4.2223465039431725,0.3217632319941527,0.12006513144456506,2.9364862071335196,90.5,0.0005314302406127889,12414.391787540197,1.14927981301447,-0.048266734018703114,0.29235502880583786,0.28228813787041723,2624.263636363637,0.6589083787831032,10223.390447788535,0,Lower-Mid,66.0286257011687,81.82829348405001,96.54484197457566,93.38822061206166,70.10420255452104,51.221209294439625,62.63156142166181,0.6978305472850962,2.646295706787436,54.6748038263186,0.2791322189140385,Lower-Mid (Strongly Growing)
19349,SIEMENS AG,11,0.053867822909594944,0.03957489262524719,0.8562873951571512,-0.2601259080517099,0.08604901865672825,2.8042107404142556,0.42746573000797133,0.598083204742289,1.7479157657238145,-562.6545454545455,0.0435183113190721,8529.1512187554,0.5440493330430618,0.024189964481627198,0.30192877867166124,0.1392140203350838,538.9454545454546,0.8694510628374966,1827.7729347012573,0,Lower-Mid,57.7791941079538,64.31175518040676,96.61602043464814,94.10287178528766,72.75619288356673,50.554604989308345,56.29774479032665,15.893683949921117,52.18893203391606,49.93216867634555,6.357473579968447,Lower-Mid (Strongly Growing)
100004,ALTANA AG,11,-0.4294549207168278,0.7007472582499218,1.6223213352994577,-0.5452305191279143,0.5225549415582613,2.3851416588241015,-0.6327483285192007,0.7372969057825468,2.3302890849247295,112.35146363636363,0.8245511120904775,391.2640478104163,4.962984628067524,-0.004314428789918095,0.048022379470009535,0.06225890350962745,-6.002609090909093,0.0580634562612465,78.77503769868824,4,Upper-Mid,53.222715608926066,75.60507313411703,60.22070244627765,79.40315084134964,90.87069045213907,50.383426561189495,57.98101952234966,27.710168514534395,88.83064969456377,47.609410508840256,11.084067405813759,Upper-Mid (Strongly Growing)
100010,BAYWA AG,11,-0.11533689911326936,0.035326134849652926,1.9405293236001875,19.327966136148117,0.240182522094857,124.71407087885252,-0.03931910422043276,0.015968115640003326,0.9839584971450079,993.285990909091,0.6815896952618818,3804.6332794286823,3.369252419736979,-0.1564983842852986,0.024611136032805347,3.154598029706818,9.9831,0.006797988925645139,382.8910324843854,2,High Performers,17.883421842564093,19.402290359894927,98.47223037727868,85.91087007653995,60.6114828860268,52.78759224993543,28.71663624956264,44.937514171153325,98.24217981280655,51.86080731891197,17.975005668461332,High Performers (Strongly Growing)
100022,BAYERISCHE MOTOREN WERKE AKT,11,-0.10730136513996362,0.06792746527834247,1.3019147361570051,-0.3146579923066314,0.05804011733372972,4.130233704730176,-0.32164706862213466,0.21494507685424222,2.193895041339535,6683.054545454545,0.8104576568589781,23475.229185724984,5.881175402100247,-0.0543750060409246,0.6511705363045719,0.21308454296293025,1102.4545454545455,0.29544514992115367,6413.901114308845,0,Lower-Mid,65.23729624619975,87.61384639332215,85.46227720341115,93.86849956920884,69.13140609743063,50.374335577244736,63.3742486486798,2.793069017990231,23.315823731920975,56.28247085167976,1.1172276071960925,Lower-Mid (Strongly Growing)
100042,MAN SE,7,-0.44793853774317977,0.34739349441494116,1.5199789832710475,-0.16028040694243867,0.003480138817942163,5.433906335897462,-0.6133146416011801,0.26986976990822664,2.3612186724961832,-495.7857142857143,0.7008141040379622,1184.4659693942504,-4.499330360890596,-0.017684891748890996,0.25592446600409813,0.06991598790538839,88.10714285714285,0.1154336387291758,518.6506433003996,0,Lower-Mid,37.21805328185105,42.3398582963929,66.22157885701017,87.41845437865382,79.91140456764808,44.18864881293847,44.08374909503159,38.62167301818209,99.43511983238528,47.22355012821684,15.448669207272838,Lower-Mid (Strongly Growing)
100054,HOCHTIEF AG,11,-0.14084986850625408,0.0301158991903557,2.5666020009856867,6.083255581648264,0.5480483281186025,25.985234156541445,-0.06720832207467915,0.01595106653843105,1.6827832852108888,892.2464909090907,0.5967033578690626,3652.6293771794976,4.185843296378322,0.5610995548342446,0.6963027607723038,2.1263799353333384,57.22258181818182,0.19735381212053,407.32839778632365,0,Lower-Mid,22.88941485313757,51.32726183918733,88.93332005547845,30.709728986364972,56.70851750043793,54.32646444075378,30.998468832794682,29.57646712369903,96.22358123495792,49.94960116009456,11.830586849479612,Lower-Mid (Strongly Growing)
100080,BAYER AG,11,-0.4288697186165794,0.476740795898359,1.9641932955671328,-2.7608516899841358,0.22424349667620563,18.43669830419003,-0.245515221629714,0.06171449807406264,3.125250421271386,535.8454545454546,0.16729925597450732,4142.786442013664,0.9887089806627225,0.05305825952896785,0.4464733623542867,0.2511049206481051,-170.84545454545454,0.1538049135320641,1377.5847411351012,0,Lower-Mid,56.39706128076379,68.91129181972191,85.14423937292106,89.26371435333753,67.83301419325791,47.121704791011325,55.44240644057234,35.63450663660188,69.44738859899374,48.07606069093095,14.25380265464075,Lower-Mid (Strongly Growing)
100083,BEIERSDORF AG,11,-0.5141279617984581,0.7410026651051637,1.8886928639604161,-0.6823819037512362,0.7678657660515291,2.462548815089021,-0.15217338384611181,0.2707791238919422,0.9247644127600778,326.76363636363635,0.8449818090711269,1124.1131821489294,4.595522763056659,5.913830031739115e-21,1.1375123894502603e-35,0.005544862366089663,11.918181818181818,0.031801371066971354,211.3426187008641,4,Upper-Mid,68.68082866473578,78.67730874602378,83.0199965160058,84.20030504342594,86.9869012701357,50.88277703884839,64.67585890996202,23.7604817513918,91.1362771394249,47.42346937359039,9.50419270055672,Upper-Mid (Strongly Growing)
