gvkey,combined_cluster,combined_name,static_cluster,static_name,dynamic_cluster,dynamic_name,company_name,pattern,flag
17436,4,Mid,2,Upper-Mid,1,Growing,BASF SE,Improving,⭐
17828,1,Upper-Mid,2,Upper-Mid,3,Growing,MERCEDES BENZ GROUP AG,Consistent,✓
19349,1,Upper-Mid,2,Upper-Mid,3,Growing,SIEMENS AG,Consistent,✓
100004,1,Upper-Mid,4,Lower-Mid,1,Growing,ALTANA AG,Improving,⭐
100010,4,Mid,1,Mid,3,Growing,BAYWA AG,Declining,⚠
100022,1,Upper-Mid,2,Upper-Mid,0,Growing,BAYERISCHE MOTOREN WERKE AKT,Improving,⭐
100042,4,Mid,1,Mid,3,Growing,MAN SE,Declining,⚠
100054,4,Mid,1,Mid,3,Growing,HOCHTIEF AG,Declining,⚠
100080,4,Mid,1,Mid,3,Growing,BAYER AG,Declining,⚠
100083,1,Upper-Mid,4,Lower-Mid,1,Growing,BEIERSDORF AG,Improving,⭐
100102,1,Upper-Mid,2,Upper-Mid,1,Growing,BILFINGER SE,Consistent,✓
100103,4,Mid,1,Mid,3,Growing,DEUTSCHE LUFTHANSA AG,Declining,⚠
100301,4,Mid,2,Upper-Mid,3,Growing,DEUTZ AG,Consistent,✓
100312,1,Upper-Mid,0,High Performers,1,Growing,RHEINMETALL AG,Consistent,✓
100368,1,Upper-Mid,2,Upper-Mid,3,Growing,GEA GROUP AG,Consistent,✓
100373,1,Upper-Mid,2,Upper-Mid,3,Growing,HEIDELBERG MATERIALS AG,Consistent,✓
100431,0,Top Tier,2,Upper-Mid,3,Growing,HAPAG-LLOYD AG,Consistent,✓
100449,4,Mid,1,Mid,3,Growing,KUKA AG,Declining,⚠
100590,1,Upper-Mid,2,Upper-Mid,0,Growing,E.ON SE,Improving,⭐
100609,1,Upper-Mid,2,Upper-Mid,1,Growing,CONTINENTAL AG,Consistent,✓
100676,4,Mid,1,Mid,3,Growing,TUI AG,Declining,⚠
100736,4,Mid,4,Lower-Mid,3,Growing,K&S AG,Improving,⭐
100737,1,Upper-Mid,2,Upper-Mid,0,Growing,VOLKSWAGEN AG,Improving,⭐
100746,4,Mid,1,Mid,1,Growing,CECONOMY AG,Consistent,✓
100764,4,Mid,2,Upper-Mid,3,Growing,SUEDZUCKER AG,Consistent,✓
100953,1,Upper-Mid,0,High Performers,3,Growing,RWE AKTIENGESELLSCHAFT,Declining,⚠
101059,1,Upper-Mid,2,Upper-Mid,3,Growing,AXEL SPRINGER SE,Consistent,✓
101120,1,Upper-Mid,2,Upper-Mid,3,Growing,AUDI AG,Consistent,✓
101148,4,Mid,1,Mid,1,Growing,LECHWERKE AG,Consistent,✓
101161,4,Mid,1,Mid,1,Growing,GELSENWASSER AG,Consistent,✓
101286,4,Mid,1,Mid,3,Growing,LEONI AG,Declining,⚠
101390,1,Upper-Mid,2,Upper-Mid,1,Growing,KSB SE & CO KGAA,Consistent,✓
101768,4,Mid,4,Lower-Mid,1,Growing,MCKESSON EUROPE AG,Improving,⭐
101937,1,Upper-Mid,2,Upper-Mid,3,Growing,DMG MORI AG,Consistent,✓
101942,1,Upper-Mid,2,Upper-Mid,1,Growing,HENKEL AG & CO KGAA,Consistent,✓
102175,1,Upper-Mid,2,Upper-Mid,1,Growing,PUMA SE,Consistent,✓
102187,4,Mid,4,Lower-Mid,1,Growing,PORSCHE AUTOMOBIL HOLDING SE,Improving,⭐
102218,1,Upper-Mid,4,Lower-Mid,3,Growing,DRAEGERWERK AG,Improving,⭐
102250,1,Upper-Mid,2,Upper-Mid,1,Growing,HUGO BOSS AG,Consistent,✓
102259,4,Mid,1,Mid,3,Growing,SALZGITTER AG,Declining,⚠
102365,4,Mid,1,Mid,3,Growing,KOENIG & BAUER AG,Declining,⚠
102529,4,Mid,4,Lower-Mid,1,Growing,PAUL HARTMANN AG,Improving,⭐
102926,1,Upper-Mid,4,Lower-Mid,3,Growing,KWS SAAT SE & CO KGAA,Improving,⭐
103176,4,Mid,1,Mid,3,Growing,THYSSENKRUPP AG,Declining,⚠
