prev_cluster,0,1,2,3,4,All
0,1082,0,0,0,0,1082
1,0,302,0,0,0,302
2,0,0,27,0,0,27
3,0,0,0,7,0,7
4,0,0,0,0,6,6
All,1082,302,27,7,6,1424
