ebit,ceq,ppent,ebitda,lt,cogs,oibdp,rect,oancf,ib,che,seq,gvkey,at,gind,invt,fyear,lct,act,loc,sic,ggroup,revt,dlc,dp,xsga,dltt,naics,gsector,sale,gsubind,conm,isin,datadate,emp,roa,roe,ebit_margin,ebitda_margin,net_profit_margin,operating_margin,gross_margin,roc,current_ratio,quick_ratio,cash_ratio,cash_ratio_enhanced,working_capital_ratio,debt_to_equity,total_debt_to_equity,equity_ratio,debt_ratio,net_debt_to_ebitda,debt_to_assets,asset_turnover,revenue_per_employee,receivables_turnover,days_sales_outstanding,capital_intensity,working_capital_turnover,inventory_turnover,asset_quality,cash_conversion,financial_leverage,revenue_growth,asset_growth,employee_growth,margin_trend,leverage_trend,margin_volatility,leverage_volatility,cf_to_assets,cashflow_volatility,margin_consistency,ebit_outlier,ebitda_outlier,roa_outlier,roe_outlier,ebit_margin_outlier,ebitda_margin_outlier,net_profit_margin_outlier,operating_margin_outlier,gross_margin_outlier,roc_outlier,current_ratio_outlier,quick_ratio_outlier,cash_ratio_outlier,cash_ratio_enhanced_outlier,working_capital_ratio_outlier,debt_to_equity_outlier,total_debt_to_equity_outlier,equity_ratio_outlier,debt_ratio_outlier,net_debt_to_ebitda_outlier,debt_to_assets_outlier,asset_turnover_outlier,revenue_per_employee_outlier,receivables_turnover_outlier,days_sales_outstanding_outlier,capital_intensity_outlier,working_capital_turnover_outlier,inventory_turnover_outlier,asset_quality_outlier,cash_conversion_outlier,financial_leverage_outlier,revenue_growth_outlier,asset_growth_outlier,employee_growth_outlier,margin_trend_outlier,leverage_trend_outlier,margin_volatility_outlier,leverage_volatility_outlier,cashflow_volatility_outlier,margin_consistency_outlier
2864.0,35599.0,17773.0,6675.0,43532.0,44695.0,6675.0,12244.0,6946.0,1298.0,3683.0,35599.0,17436,80415.0,151010.0,13681.0,2024.0,17039.0,31232.0,DEU,2800.0,1510.0,65260.0,3540.0,3811.0,10347.0,20455.0,325.0,15.0,65260.0,15101020.0,BASF SE,DE000BASF111,2024-12-31,109.717,3.561524591183237,3.646169836231355,4.388599448360404,10.228317499233833,1.988967208090714,10.228317499233833,31.512411890897944,5.109358832554323,1.832971418510476,1.0300487117788604,0.21615118258113739,0.21615118258113739,17.649692221600446,0.574594791988539,0.6740357875221215,44.26910402288131,54.13417894671392,3.042996254681648,29.83896039296151,0.8115401355468507,594.8029931551173,5.329957530218882,68.48084584737971,27.2341403616304,4.598041287958853,3.2669395512023973,19.806006342100353,242.52793296089385,2.2589117671844714,-5.285768192505302,3.9020608566444848,0.028262494757758105,-0.5584299133540365,0.005569725713782512,2.549269232760668,0.06357272665148431,8.637691972890629,1.7210048065993824,0.5278355347349147,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9354.0,43665.0,56232.0,13048.0,145051.0,84302.0,13048.0,35403.0,-1274.0,6962.0,17280.0,43665.0,17828,189635.0,251020.0,20864.0,2014.0,66974.0,77145.0,DEU,3711.0,2510.0,129872.0,36290.0,3694.0,14067.0,50399.0,336110.0,25.0,129872.0,25102010.0,MERCEDES BENZ GROUP AG,DE0007100000,2014-12-31,279.972,4.9326337437709284,15.944120004580329,7.202476284341505,10.046815325859308,5.360662806455587,10.046815325859308,35.088394727115926,9.944293247150876,1.1518649027981007,0.8403410278615582,0.2580105712664616,0.2580105712664616,5.363461386347456,1.1542196267033094,1.9853200503836024,23.02581274553748,76.48957207266591,5.319512568976088,45.71360772009386,0.6848524797637567,463.8749589244639,3.668389684490015,99.49869871873845,43.29801650856228,12.768852620194671,4.040548312883436,27.781264007171675,-13.61984177891811,4.3429520210695065,,,,0.3217632319941527,-0.08301194676700893,3.079812716571244,0.47833504736836124,-0.6718169114351253,3.73365028935714,0.12006513144456503,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12522.0,53561.0,63264.0,16657.0,162542.0,97341.0,16657.0,44209.0,222.0,8424.0,19607.0,53561.0,17828,217166.0,251020.0,23760.0,2015.0,77081.0,91847.0,DEU,3711.0,2510.0,149467.0,41311.0,4135.0,14734.0,59831.0,336110.0,25.0,149467.0,25102010.0,MERCEDES BENZ GROUP AG,DE0007100000,2015-12-31,284.015,5.7660959818756155,15.727861690409068,8.377769005867517,11.144265958372083,5.63602668147484,11.144265958372083,34.87458770163314,11.04310709750247,1.191564717634696,0.8833175490717556,0.25436878089282705,0.25436878089282705,6.79940690531667,1.117062788222774,1.8883515991112936,24.663621377195323,74.84689131816215,4.8949390646575015,46.57358886750228,0.6882615142333515,526.264457863141,3.380917912642222,107.958847103374,42.326399807315326,10.122375728023838,4.096843434343435,29.385815459141856,1.7728797316722569,4.05455461996602,15.087932733768628,14.517889630078828,1.4440729787264406,0.3217632319941527,-0.08301194676700893,3.079812716571244,0.47833504736836124,0.1022259469714412,3.73365028935714,0.12006513144456503,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12663.0,57950.0,73323.0,16861.0,183855.0,99275.0,16861.0,48240.0,3711.0,8526.0,23466.0,57950.0,17828,242988.0,251020.0,25384.0,2016.0,84457.0,102052.0,DEU,3711.0,2510.0,153261.0,47288.0,4198.0,14385.0,70398.0,336110.0,25.0,153261.0,25102010.0,MERCEDES BENZ GROUP AG,DE0007100000,2016-12-31,282.488,5.211368462640131,14.712683347713545,8.262375946914089,11.001494183125518,5.563059095268855,11.001494183125518,35.224877822799016,9.866145167824977,1.2083308665948354,0.9077755544241448,0.2778455308618587,0.2778455308618587,7.241098325843251,1.2148058671268336,2.0308196721311473,23.84891434967982,75.6642303323621,5.588043413795148,48.43284442030059,0.6307348511037583,542.5398601002521,3.1770522388059703,114.88637030947207,47.841916730283636,8.710485933503836,3.910928143712575,29.510099264161195,29.305851693911393,4.193062985332183,2.5383529474733546,11.890443255389883,-0.5376476594545987,0.3217632319941527,-0.08301194676700893,3.079812716571244,0.47833504736836124,1.527235912884587,3.73365028935714,0.12006513144456503,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12966.0,64023.0,75695.0,17332.0,190291.0,105308.0,17332.0,54980.0,-1652.0,10525.0,21199.0,64023.0,17828,255605.0,251020.0,25686.0,2017.0,87105.0,106735.0,DEU,3711.0,2510.0,164330.0,48746.0,4366.0,15206.0,78378.0,336110.0,25.0,164330.0,25102010.0,MERCEDES BENZ GROUP AG,DE0007100000,2017-12-31,289.321,5.072670722403709,16.439404588975837,7.890220896975599,10.54706992028236,6.404795229112152,10.54706992028236,35.91675287531187,9.105273137126845,1.2253601974628323,0.9304747144251191,0.24337294070374835,0.24337294070374835,7.679818469904736,1.2242162972681692,1.9855989253861894,25.04763208857417,74.44729171964555,6.111527809831525,49.7345513585415,0.6429060464388412,567.9850408369941,2.9889050563841395,122.11829854560945,46.06280046248403,8.371370351502803,4.0998209141166395,29.80340760157274,-12.741014962208855,3.9923933586367397,7.222320094479362,5.192437486624857,2.418863810144156,0.3217632319941527,-0.08301194676700893,3.079812716571244,0.47833504736836124,-0.6463097357250445,3.73365028935714,0.12006513144456503,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9409.0,64667.0,80424.0,14176.0,215566.0,106822.0,14176.0,62388.0,343.0,7249.0,24799.0,64667.0,17828,281619.0,251020.0,29489.0,2018.0,97952.0,121613.0,DEU,3711.0,2510.0,167362.0,56240.0,4767.0,15379.0,88662.0,336110.0,25.0,167362.0,25102010.0,MERCEDES BENZ GROUP AG,DE0007100000,2018-12-31,298.683,3.341038779343723,11.209736032288493,5.621945244440195,8.470262066657904,4.331329692522795,8.470262066657904,36.17308588568493,6.1364777700239355,1.2415570891865404,0.9405014701078079,0.2531750245017968,0.2531750245017968,8.401776868748202,1.3710547883773796,2.2407410271081076,22.96258420063987,76.54526150579328,8.472277088036117,51.45320450679819,0.5942851867239072,560.3331960640545,2.6825992177982947,136.06206904793203,48.05391904972455,7.073327416423651,3.6224354844179185,30.959203746906283,3.645445849718355,4.3549105416982385,1.845067851274873,10.177422194401519,3.2358522195070405,0.3217632319941527,-0.08301194676700893,3.079812716571244,0.47833504736836124,0.12179575951906654,3.73365028935714,0.12006513144456503,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2530.0,61344.0,88625.0,8488.0,239597.0,112668.0,8488.0,67060.0,7888.0,2377.0,26775.0,61344.0,17828,302438.0,251020.0,29757.0,2019.0,105802.0,127800.0,DEU,3711.0,2510.0,172745.0,62601.0,5958.0,15370.0,99179.0,336110.0,25.0,172745.0,25102010.0,MERCEDES BENZ GROUP AG,DE0007100000,2019-12-31,298.655,0.836535091489826,3.874869587897757,1.4645865292772584,4.913600972531766,1.3760166719731397,4.913600972531766,34.77785174679441,1.5760981292400464,1.2079166745430143,0.9266649023647946,0.253067049772216,0.253067049772216,7.273556894305609,1.616767736045905,2.6372587376108503,20.2831654752379,79.22185704177384,15.905395852968898,53.49195537597788,0.5711749184956917,578.4098709212972,2.575976737250224,141.69382615994672,51.30394512142175,7.8527593417583414,3.786268777094465,31.02619379839835,311.77865612648225,4.930196922274387,3.216381257394141,7.392612004161658,-0.009374487332736159,0.3217632319941527,-0.08301194676700893,3.079812716571244,0.47833504736836124,2.608137866273418,3.73365028935714,0.12006513144456503,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7458.0,60691.0,82798.0,14037.0,223489.0,95700.0,14037.0,56395.0,22332.0,3627.0,28451.0,60691.0,17828,285737.0,251020.0,26444.0,2020.0,99809.0,115264.0,DEU,3711.0,2510.0,154309.0,59303.0,6579.0,13287.0,86539.0,336110.0,25.0,154309.0,25102010.0,MERCEDES BENZ GROUP AG,DE0007100000,2020-12-31,288.481,2.6100924976464372,5.976174391590186,4.833159439825286,9.096682630306722,2.3504785851764964,9.096682630306722,37.981582409321554,5.065543707124907,1.1548457553928002,0.8898997084431264,0.2850544540071537,0.2850544540071537,5.4088199988100945,1.4258951080061295,2.4030251602379264,21.240161407168127,78.21493191291292,8.362969295433498,51.04064226893962,0.5400385669339287,534.9017786266687,2.736217749800514,133.39581618700143,53.65727209689649,9.98440634098997,3.6189683860232944,29.693739347721852,299.43684633950124,4.70806215089552,-10.6723783611682,-5.522123542676516,-3.406606284843705,0.3217632319941527,-0.08301194676700893,3.079812716571244,0.47833504736836124,7.815578661496411,3.73365028935714,0.12006513144456503,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15032.0,71951.0,72330.0,19949.0,186664.0,75086.0,19949.0,44403.0,24549.0,10660.0,29864.0,71951.0,17828,259831.0,251020.0,21466.0,2021.0,87675.0,102929.0,DEU,3711.0,2510.0,133893.0,52300.0,4917.0,10200.0,73543.0,336110.0,25.0,133893.0,25102010.0,MERCEDES BENZ GROUP AG,DE0007100000,2021-12-31,172.425,5.785298905827249,14.815638420591792,11.226875191384165,14.899210563659041,7.961581262650026,14.899210563659041,43.92089205559663,10.331697527045788,1.1739834616481324,0.9291474194468207,0.3406216139150271,0.3406216139150271,5.870739057310328,1.0221261691984822,1.749009742741588,27.691460988103806,71.84054250647536,4.811218607448995,48.43263505894216,0.5153080271407184,776.5289256198347,3.0154043645699615,121.04512558535546,54.02074791064507,8.777566539923955,3.4979036616043975,28.582809595467822,163.31160191591272,3.611221525760587,-13.230595752678065,-9.066379222851783,-40.23003248047531,0.3217632319941527,-0.08301194676700893,3.079812716571244,0.47833504736836124,9.448064318730252,3.73365028935714,0.12006513144456503,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
17469.0,85415.0,68802.0,21938.0,173475.0,88434.0,21938.0,48672.0,16894.0,14501.0,24358.0,85415.0,17828,260015.0,251020.0,25621.0,2022.0,88403.0,102874.0,DEU,3711.0,2510.0,150017.0,49786.0,4469.0,10619.0,62051.0,336110.0,25.0,150017.0,25102010.0,MERCEDES BENZ GROUP AG,DE0007100000,2022-12-31,168.797,6.718458550468243,16.97711174852192,11.644680269569449,14.623675983388548,9.666237826379676,14.623675983388548,41.05068092282875,11.84612046166574,1.1636935398119974,0.8738730586066084,0.27553363573634376,0.27553363573634376,5.565448147222276,0.7264649066323245,1.3093367675466838,32.850027883006746,66.7173047708786,3.9875558391831527,43.01174932215449,0.5769551756629425,888.7420984970112,3.0822033201840893,118.42177886506197,45.862802215748886,10.366733466933868,3.4516217165606338,28.086841143780166,96.70845497738851,3.0441374465843234,12.042451808533672,0.0708152606886836,-2.1041032332898446,0.3217632319941527,-0.08301194676700893,3.079812716571244,0.47833504736836124,6.497317462454088,3.73365028935714,0.12006513144456503,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
