cluster,roa_trend,roa_trend_r2,roa_volatility,roe_trend,roe_trend_r2,roe_volatility,ebit_margin_trend,ebit_margin_trend_r2,ebit_margin_volatility,revt_trend,revt_trend_r2,revt_volatility,revt_cagr,debt_to_equity_trend,debt_to_equity_trend_r2,debt_to_equity_volatility,fcf_trend,fcf_trend_r2,fcf_volatility,static_proximity_score,static_profitability_score,static_liquidity_score,static_leverage_score,static_efficiency_score,static_cashflow_score,static_structure_score,static_relative_score,static_overall_score,proximity_score,trends_score,relative_score,overall_score
-1,0.14454587419357973,0.44775449466716655,4.734415899827966,-15.186393139584222,0.27924654671984506,150.09718462281202,26.807232169855777,0.39039204895254626,114.43286229797302,-141.5394384662956,0.5269175592698024,2053.7091654839323,6.145573175861515,-0.844104805313631,0.38328123328184593,7.892674366054487,-21.16612021103896,0.2881843412865868,307.0581436280822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
0,-0.1365184845907147,0.3450943020801523,3.072271393258553,-1.328255742751947,0.24970584139347435,27.00920355892358,0.10452585775568446,0.3329396310504772,3.6304171678499837,606.4735328055873,0.5837210179875955,3289.0127402945595,5.477599401469335,-0.20939070083971006,0.33631411928770044,2.980866917187539,102.55768041327721,0.29464347194685325,731.1537966526668,46.35653279835983,66.55745602565861,72.38535598237772,74.61377659042367,74.87743882535614,93.83614640381906,93.34683469824604,50.02370175995331,50.54709780732144,26.159855531639597,82.99322069169983,50.0,10.463942212655839
1,-0.026145118559117962,0.0946284593287803,3.6350535168396125,1.5002911822438922,0.054688927032777696,17.954920907587685,0.6251316156051341,0.26282387876547536,10.588780974554524,-461.2280892857143,0.5192251950631013,3525.1646500341853,3.059815584691153,0.03860968906610774,0.47396537839284664,0.7328317453278121,-89.18464529220779,0.2713184087865433,928.5227537498214,56.548487838751704,74.75532163835551,81.4683577672854,73.31078927240519,77.78116339542638,92.9678618050309,89.66600993959099,50.0,56.568712899726265,36.53006252455959,89.19515701954234,50.0,14.612025009823835
