gvkey,roa,roe,ebit_margin,gross_margin,fcf_margin,current_ratio,debt_to_equity,financial_leverage,conm,revt,at,sale,gsector,gsubind,ggroup,gind,roa_trend,PC1,PC2,PC3,PC4,PC5,PC6,PC7,cluster,cluster_name,proximity_score,profitability_score,liquidity_score,leverage_score,cashflow_score,structure_score,relative_score,overall_score
104357,20.669590702413874,-101.7000007610524,32.62127879492617,80.51053755595584,32.29489196440107,0.13032650676890445,-4.926463313469866,,KABEL DEUTSCHLAND HOLDING AG,2631.54,4153.164,2631.54,50.0,50201030.0,5020.0,502010.0,0.48104554114919346,2.6087690474901364,1.4462505241969748,1.6353876569800663,1.6787014144608037,1.1358915745871188,-0.05006223328855982,-2.2722029433638413,3,Upper-Mid,12.332546644450451,16.690164240666334,58.34926583876218,41.21335307168142,92.46176774463272,94.9302449798079,49.64828552373058,12.39238681308159
103200,16.704980842911876,15.919873484449129,12.368794326241135,36.9645390070922,8.709219858156029,2.2155172413793105,0.027411702688455455,1.3758566157090142,FUCHS SE,3525.0,2610.0,3525.0,15.0,15101010.0,1510.0,151010.0,-0.8044010982653264,1.4341539207299216,0.39124041036821494,0.5437482428473299,0.3498949278546269,0.30212294044975085,-1.45271267253241,-0.396017711830421,3,Upper-Mid,36.03610047677078,39.39704888489825,79.750812268956,90.23651859977942,99.82192093891041,85.20064001863446,50.51653722170113,31.317501827665904
358679,13.093188579938971,18.937735796540007,19.730516742922042,40.49646271880103,8.384887121496284,1.3516143106457241,0.1023195674121907,1.8247191949453827,SCHOTT PHARMA AG & CO KGAA,957.091,1442.269,957.091,35.0,35203010.0,3520.0,352030.0,-0.591496557288598,1.4412980447928332,0.549271452777008,0.20132407820137915,0.5373556230201884,0.047137470099977444,-0.9626045187802003,-0.4027823256004174,3,Upper-Mid,49.78100823180794,52.471531515193334,91.33155833770911,91.31217781972664,99.9271132089251,88.18551015710186,49.52877257488706,39.53792737773451
317079,12.293744779837617,11.31745623931815,43.27239562634384,75.7247816738508,43.500996946321145,0.45427407687345156,0.029178907742317444,1.4469321444130427,SCOUT24 SE,588.798,2072.493,588.798,50.0,50203010.0,5020.0,502030.0,0.8312858632112388,2.5043001629011754,1.7107379293323792,0.59528287823437,0.9247083146768109,0.6392542152429666,0.0129164925597082,-0.3603511714696518,3,Upper-Mid,23.745523394763303,27.900648470708617,65.71270556345704,90.26174871378733,89.15748621675073,85.66645989564542,55.85581288327556,24.104513923425777
214700,11.412562801021007,31.478027629657074,16.00324297433654,52.5675644197092,11.938199276381898,0.8612749327902864,1.1019469817233194,4.814072023892145,STADA ARZNEIMITTEL AG,3734.843,5237.176,3734.843,35.0,35202010.0,3520.0,352020.0,0.2313476955203697,1.0725462800046752,1.0402434675025984,0.18122651149828595,0.6689128764932118,0.08607343836750772,-0.11315314152797236,0.12198220125991331,3,Upper-Mid,56.123168912326534,63.1776845615883,76.29499059346195,93.49625995020142,98.78067192217435,90.15898859808725,52.24097261722221,44.43443047226842
205934,11.354129263913823,19.983883964544724,15.16424889102026,30.610678176078014,13.067977460736122,0.7117007394519357,0.284716626376578,2.244157937147462,FREENET AG,2502.3,3342.0,2502.3,50.0,50102010.0,5010.0,501020.0,-0.21041472686603363,1.1532813286482744,0.5881625501572136,-0.23467156512850929,0.4526178752370425,-0.12316338012365632,-0.3626952378597791,-0.48829726017942937,3,Upper-Mid,53.046219746072076,58.75424963485738,72.2211918128966,93.98528522192996,98.41892311423742,91.06915713598688,48.319600096324486,42.367866347593306
103487,10.984592968349478,6.875000000000001,23.82373595505618,76.9311797752809,12.941830524344569,1.1217044918496777,0.14788732394366197,1.631205985915493,SAP SE,34176.0,74122.0,34176.0,45.0,45103010.0,4510.0,451030.0,-0.34827578780375784,1.4546712916956959,0.6010605566989912,0.8483429292425092,1.1793437006261323,0.27818674180230235,-0.49077669426873305,-0.16228608716848453,3,Upper-Mid,49.334809815584215,51.723746565786655,83.94402167929364,91.97278278065207,98.4592488836654,86.88606241977763,51.680480350875406,39.27595151745622
326577,10.676537089324666,18.82575419160785,18.58815592442331,61.8698978075796,13.65531465037034,1.8154504993652785,1.4719467524345573,3.4413356893031684,DERMAPHARM HOLDING,1194.707,2080.019,1194.707,35.0,35202010.0,3520.0,352020.0,-1.0308591948829207,0.8546846116961387,0.38460458908583284,0.594042992891987,0.8798453726687196,0.13506434865287045,-1.2317342880618098,0.13053623633263242,3,Upper-Mid,54.80495757456858,65.43469161953203,92.35852555518716,88.18084795888159,98.2313846340156,99.82898940323913,52.02017234132183,43.827006149622
354519,10.6712500233527,15.588248057978562,14.250430357009206,33.60277424344485,10.425866327370706,1.414487903506937,0.3107234301089268,2.322918022826889,DR ING  H C F PORSCHE AG,40083.0,53527.0,40083.0,25.0,25102010.0,2510.0,251020.0,0.4610142394229677,1.105172114335106,0.6294864086218243,0.14272124761338711,-0.06481759141162964,0.21167009377361548,-0.03080133533457832,-0.2570965747233476,3,Upper-Mid,58.267271147981056,64.56668708790043,93.46271619447299,94.37274778570468,99.26699475934562,91.6210575119081,50.26174237959598,45.65752065534298
204820,10.599350681969668,16.917223407934994,11.090111990728388,79.87793028272404,14.591876034620135,0.6443911403378236,0.5195994799422998,2.634707289594064,FIELMANN GROUP AG,2264.116,2368.947,2264.116,25.0,25504040.0,2550.0,255040.0,-2.24750460233874,0.6602870712965251,-0.24384934016096974,0.48666455936345415,2.2642897513120808,-0.37726231763019713,-1.3854589035616347,-0.09866198005391728,3,Upper-Mid,31.602574122427125,59.26459055833031,70.45962705172701,97.54318679131711,97.93307681601074,93.83890237050046,47.85121676223189,34.24826643976863
