gvkey,roa,roe,ebit_margin,gross_margin,fcf_margin,current_ratio,debt_to_equity,financial_leverage,conm,revt,at,sale,gsector,gsubind,ggroup,gind,roa_trend,cluster,cluster_name,proximity_score,profitability_score,liquidity_score,leverage_score,cashflow_score,structure_score,relative_score,overall_score
104357,20.669590702413874,-101.7000007610524,32.62127879492617,80.51053755595584,32.29489196440107,0.13032650676890445,-4.926463313469866,,KABEL DEUTSCHLAND HOLDING AG,2631.54,4153.164,2631.54,50.0,50201030.0,5020.0,502010.0,0.48104554114919346,4,Top Tier,14.144739505682228,19.919103222675226,76.44325937347072,37.3077480308498,67.68709405735774,88.18261731253142,48.05385945908698,13.372491249892917
355804,19.58729266372432,106.96651031421797,20.632813796825104,55.78744101298403,19.863539150458788,0.748764273337184,6.751305038583749,10.36204418217582,IONOS GROUP SE,1560.301,1643.586,1560.301,45.0,45102030.0,4510.0,451020.0,1.0697218581778403,4,Top Tier,21.39971133417561,30.712596730604236,95.90963979130976,42.25783448729488,95.88461261733767,63.415227811817445,58.75462518109481,18.92818732852058
333885,19.280864696391152,122.48693834900732,30.73640720738969,94.83707712883998,36.63523089800454,0.24513554057457382,3.275543613474648,10.651749017266258,TEAMVIEWER SE,671.422,1070.341,671.422,45.0,45103010.0,4510.0,451030.0,1.8197907598372827,4,Top Tier,15.543526173607686,20.42317731141768,79.73139737932526,73.23206605779,58.204378179934224,62.02142013083153,62.50233459084298,17.62525253750561
317079,12.293744779837617,11.31745623931815,43.27239562634384,75.7247816738508,43.500996946321145,0.45427407687345156,0.029178907742317444,1.4469321444130427,SCOUT24 SE,588.798,2072.493,588.798,50.0,50203010.0,5020.0,502030.0,0.8312858632112388,4,Top Tier,27.661185636226023,38.24896891148348,86.08889808681198,81.70804670954364,45.842155688680734,79.57730069172216,53.761931771725855,26.88507270774147
214700,11.412562801021007,31.478027629657074,16.00324297433654,52.5675644197092,11.938199276381898,0.8612749327902864,1.1019469817233194,4.814072023892145,STADA ARZNEIMITTEL AG,3734.843,5237.176,3734.843,35.0,35202010.0,3520.0,352020.0,0.2313476955203697,4,Top Tier,62.98825609831371,77.42102835240235,99.95080271810967,96.82039425775486,72.7873690803015,97.05784581574055,48.109148050971235,50.361547535581444
205934,11.354129263913823,19.983883964544724,15.16424889102026,30.610678176078014,13.067977460736122,0.7117007394519357,0.284716626376578,2.244157937147462,FREENET AG,2502.3,3342.0,2502.3,50.0,50102010.0,5010.0,501020.0,-0.21041472686603363,4,Top Tier,39.28876794288427,47.18925445359815,94.61449675012817,85.07872032563697,75.70395365781147,84.59597501729498,44.26446316044596,33.66123010043704
103487,10.984592968349478,6.875000000000001,23.82373595505618,76.9311797752809,12.941830524344569,1.1217044918496777,0.14788732394366197,1.631205985915493,SAP SE,34176.0,74122.0,34176.0,45.0,45103010.0,4510.0,451030.0,-0.34827578780375784,4,Top Tier,45.00233183703335,61.41889560709451,90.93368456952149,83.25693373476973,75.37258668943375,80.7102140501763,48.19890282410745,38.610405229709215
100312,9.899609592861127,19.85185185185185,14.562608963183262,51.881858270946566,10.132294123679623,1.2136537894426422,0.46197530864197534,3.541728395061728,RHEINMETALL AG,9751.0,14344.0,9751.0,20.0,20101010.0,2010.0,201010.0,0.5783965084088859,4,Top Tier,59.89449487555476,75.86818634126979,87.9177134173816,87.4981945223929,68.35688073148549,93.45009702002464,47.6923035882234,47.88125467071515
295079,9.636367415804298,28.098174006444683,13.589086792769933,57.973188928695485,17.53712183799328,0.49665138573211315,3.085258861439313,6.200708915145005,STROEER SE & CO KGAA,2046.841,2886.43,2046.841,50.0,50201010.0,5020.0,502010.0,0.35148593194559535,4,Top Tier,62.340399152167535,77.09615466682756,87.43760643408038,75.47000088873008,88.43294095039029,87.26362314247311,48.874328267553274,47.90239068310554
360887,8.620266440541807,11.014948859166012,8.67894855088744,45.097730847000676,11.959110312289372,0.8741224375175511,2.764358772619984,5.876344086021505,DOUGLAS AG,4451.0,4481.3,4451.0,25.0,25504040.0,2550.0,255040.0,2.64162657546941,4,Top Tier,31.742533362328878,55.97607607262071,99.57882169514627,79.40009905245998,72.84031782304845,89.46225257436846,49.97043369706803,31.832238464701692
242158,8.310987378093564,18.0683413949134,23.606461941493233,46.51433561344783,35.22534323000048,1.6778509146862712,0.7156082592188069,3.0451448483902843,WIRECARD AG,2061.3,5854.9,2061.3,45.0,45102020.0,4510.0,451020.0,0.4743069988058551,4,Top Tier,48.042525648787695,65.75891752639566,74.15242069724864,91.08027843351077,61.129178931821656,89.95711173221034,51.76660797793521,41.476821608145286
221616,8.001403582414556,17.708859959555106,20.607785670245025,42.778955547860164,24.22020828230445,1.0562503552953215,2.1227407735085944,4.817587209302325,DEUTSCHE TELEKOM,118397.0,304934.0,118397.0,50.0,50101020.0,5010.0,501010.0,0.1997966084309837,4,Top Tier,56.265892315715185,60.99986118714562,93.14343714451631,87.88239951997177,89.63017383941234,97.03167659016125,49.25684873695531,43.49456911571237
220301,7.923672115888068,9.2838994383525,19.313669880884856,67.73492153526186,13.632066553223671,1.190897821852311,0.2339194971917625,1.7239569403583845,MERCK KGAA,21156.0,51567.0,21156.0,35.0,35202010.0,3520.0,352020.0,0.2786517320756374,4,Top Tier,56.8831162462028,69.85942985005964,88.65467214742509,84.39778546798229,77.20363499921086,81.28653365827822,47.63632736251146,45.16491101529128
