gvkey,roa,roe,ebit_margin,gross_margin,fcf_margin,current_ratio,debt_to_equity,financial_leverage,conm,revt,at,sale,gsector,gsubind,ggroup,gind,roa_trend,PC1,PC2,PC3,PC4,PC5,PC6,PC7,cluster,cluster_name,proximity_score,profitability_score,liquidity_score,leverage_score,cashflow_score,structure_score,relative_score,overall_score
270249,9.291172013327335,10.397369949505476,6.343323696603866,24.430525958749023,1.9637926766967548,0.949274655097486,0.012997407188174775,4.553224896551532,DIEBOLD NIXDORF AG,2399.846,1638.437,2399.846,45.0,45202030.0,4520.0,452020.0,0.26288981204928535,0.5271751193749092,0.4252462338777232,-0.18743504994737192,0.04870461912408359,-0.10946411300112108,0.18381298472168187,-0.35149585785787735,0,Mid,49.76206760743508,53.58064225372144,85.97324208960302,92.35771300746958,92.36064620169739,89.75685374247124,53.25540252427867,39.85672679446528
101120,8.55174479556687,18.499364638434944,8.99019537679811,16.158305303084518,11.28462033922565,1.5675553732567677,0.0,2.1704837613404653,AUDI AG,69865.0,73447.0,69865.0,25.0,25102010.0,2510.0,251020.0,-0.17659246329481892,0.6793495298470816,-0.014506361773881768,-0.27336058214650705,-0.2640815919657501,-0.10339285922144531,-0.325363976659658,-0.3285329204566075,0,Mid,53.9753650899068,54.908721128749924,92.71013215783982,92.16801065227833,95.19901719054185,92.80013547200929,51.539710616737196,41.788691326940544
238136,8.330651905813248,12.843574968897892,5.57152331470804,20.278072657991213,7.445333331641758,1.64043992916163,0.29755535861332205,2.2063301814437866,BECHTLE AG,6305.762,4217.281,6305.762,45.0,45102010.0,4510.0,451020.0,-0.17461064268961451,0.46693871305772955,-0.07854310376015095,-0.12845204094663099,-0.2007151889450116,-0.06765549997255914,-0.25506443684871966,-0.2973312736452713,0,Mid,57.58375552851912,58.71903005107482,90.26401389029708,96.61021706740257,94.01946570397361,93.05567742548467,51.4086117474919,44.438329928362876
100590,7.913003654780399,25.396558488873943,10.783821819739337,27.494340084439823,-1.5884476534296028,0.8691330019681756,1.9113278403676923,6.241858640210751,E.ON SE,81715.0,111361.0,81715.0,55.0,55103010.0,5510.0,551030.0,0.03402854240760464,0.26412806716502474,0.7670125373377286,-0.3703117728323761,0.15207269793989905,-0.2636280271610683,-0.10151618026437775,0.014923848708041549,0,Mid,50.353783338971226,57.28071306261169,83.48231557860876,80.18746477171128,91.30133107725958,78.85129678249456,57.13853228822519,39.61640242528196
241456,7.6164579606440075,14.004118858487791,6.321716199843204,15.742522509680946,6.872876725346257,0.951631949364697,0.7886353129071576,2.936788130962888,DEUTSCHE POST AG,84186.0,69875.0,84186.0,20.0,20301010.0,2030.0,203010.0,0.36101905440355436,0.42233549082643895,0.329128623039781,-0.43755355773410287,-0.22924606077348947,-0.15613485247264158,0.28419014682206795,-0.3734678669722367,0,Mid,55.88881688110862,61.47630899869293,86.0476249696528,95.77197508322229,93.84484524590285,98.41899457727101,51.48078758981111,44.227986060504264
269835,7.572848817278026,11.344066685002224,5.441757916907879,24.797689285230394,3.4759259487356355,1.4630843539761946,0.5427888378784352,2.468529841115366,BRENNTAG SE,16237.4,11668.0,16237.4,20.0,20107010.0,2010.0,201070.0,0.043212285047499945,0.38650254872433976,0.025943032574576478,-0.08518113935480053,-0.1461185132834148,-0.06942481365316734,0.003973617084542608,-0.24347992318311804,0,Mid,62.22407300422345,63.924591713795834,96.33239764885458,99.57005572932376,92.81530140442955,94.9463686243126,51.96089447623446,47.631553117380925
332311,6.895815216562161,15.719251037111784,9.521201525077412,29.191329808522738,1.2154277168074485,0.9803955288048152,0.8975782038345106,3.674571140262361,TRATON SE,47473.0,65547.0,47473.0,20.0,20106010.0,2010.0,201060.0,0.41013160674206717,0.4500133757167896,0.43267585318015434,-0.19011949863471894,-0.04091315014275813,-0.11720752091788761,0.33685861513795545,-0.15501848852163558,0,Mid,57.57577358500332,64.86390181999157,86.96044116427213,94.13557455754554,92.13645881241763,96.01541957430526,54.165147446528835,45.4166472537542
100102,6.805254800057744,13.682834960412022,4.678908188585608,13.326054590570724,3.53151364764268,1.3571381600578682,0.24390806364824352,2.6623875778307324,BILFINGER SE,5037.5,3463.5,5037.5,20.0,20201070.0,2020.0,202010.0,0.5695337436079179,0.39879350788046697,0.11196409608421001,-0.3188279137840865,-0.5501277597600402,-0.07641589759627519,0.4264652965434312,-0.2861026794599041,0,Mid,56.79094233700219,65.66931273059888,99.84985164542859,95.79378780313141,92.83205761708449,96.36891140820299,51.17014512394176,45.42961826123379
273099,6.664530599166933,18.822479928635147,11.226555120766427,21.56254216704898,3.440831196869518,1.2430153744420565,0.6280107047279215,3.712161760333036,MTU AERO ENGINES AG,7411.0,12484.0,7411.0,20.0,20101010.0,2010.0,201010.0,-0.618520755882957,0.361917605614119,-0.009455273815371906,-0.3886887199888366,0.0730227684279016,-0.3554436149882363,-0.49315684865048803,-0.23224365814176381,0,Mid,60.72426085120345,63.5369106582442,95.7556606011964,98.23670369586864,92.8047240904483,95.7389387742925,52.18220455203692,46.820756841717085
209440,6.439495572846794,9.530367717945188,7.936507936507938,31.704695767195762,6.671626984126985,1.29873417721519,0.2348161410274067,2.0531607216636827,VOSSLOH AG,1209.6,1490.8,1209.6,20.0,20106010.0,2010.0,201060.0,0.6731608866907794,0.5547220698973252,0.17220546381830637,0.03348381068962386,-0.23264618315738275,0.07363364218040899,0.5700801121939234,-0.18687169870478693,0,Mid,56.67060212762173,69.07231765485479,97.73317957904685,95.65610806725512,93.78353370455841,91.96865979962844,52.95002573548033,46.048315188745164
351590,6.1594497251333715,13.060121594235532,8.412079072433752,28.35216450616713,0.2551916711356029,1.6292420455026904,0.8274262553478946,3.3260076559333482,DAIMLER TRUCK HOLDING AG,54077.0,73854.0,54077.0,20.0,20106010.0,2010.0,201060.0,0.44865471366063026,0.34471372201951644,0.19985590749849916,0.018278749520655623,-0.3697884319172112,0.027845772845096657,0.2489611455589712,-0.028435642575923452,0,Mid,61.567561111998884,70.8131562529513,90.63559279262395,95.18607148484588,91.84959817604162,98.61745226511907,54.76817005661299,48.30826284387441
