gvkey,roa,roe,ebit_margin,gross_margin,fcf_margin,current_ratio,debt_to_equity,financial_leverage,conm,revt,at,sale,gsector,gsubind,ggroup,gind,margin_trend,leverage_trend,revenue_growth,fcf_growth,margin_volatility,growth_quality,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,cluster,cluster_name,proximity_score,profitability_score,liquidity_score,leverage_score,cashflow_score,structure_score,growth_score,trends_score,volatility_score,quality_score,relative_score,overall_score
104357,20.669590702413878,-101.7000007610524,32.62127879492617,80.51053755595584,32.29489196440107,0.1303265067689044,-4.926463313469866,,KABEL DEUTSCHLAND HOLDING AG,2631.54,4153.164,2631.54,50.0,50201030.0,5020.0,502010.0,1.0855360562517546,-0.5214025199937786,3.383981481917986,35.373472404521245,3.706332917775791,0.3530826581344067,1.6276381298487905,-1.9376965454657087,1.6800235267433632,-1.3272217376188533,0.3320297956830317,-0.45572503294750594,2.5107617365989,0.22951524852821634,1,Upper-Mid,9.129436699385979,11.540955340975117,63.28188740463572,40.840851025873405,91.86838904069548,93.34626869504505,91.0588923987227,87.10512513426633,92.83887116424032,90.19793056499033,50.52173223890905,23.70288471034516
333885,19.280864696391152,122.48693834900732,30.73640720738969,94.83707712883998,36.63523089800454,0.2451355405745738,3.275543613474648,10.651749017266258,TEAMVIEWER SE,671.422,1070.341,671.422,45.0,45103010.0,4510.0,451030.0,2.123393221414488,1.4774174578854269,7.13799029502673,8.585693600791068,15.042714857597067,0.2325696354778396,1.6033922541740726,-1.3459902814620608,2.980571032161382,-0.4770211141699165,1.3220795692577598,-0.8590223515256087,0.6171014464652722,1.4348033549101649,1,Upper-Mid,10.304871508207285,12.235766873910109,66.00422399912603,66.89683000316835,90.58259603251602,58.590570710912225,82.3621260399284,75.17237509653675,98.41916609538566,95.6668719988306,63.4857149696395,25.61310388437103
318452,18.61719889628992,21.637677609015192,93.2072151341839,-115.9700835899692,14.864980202375714,1.4528447281432737,0.0282949534541891,1.161583374162992,ROCKET INTERNET SE,1136.5,5689.9,3809.562,25.0,25503030.0,2550.0,255030.0,-122.01437830990707,-0.0214888810275491,118.81016557566424,0.0,777.5365159611879,,18.578312632831135,8.268120615330574,-2.3937780495590193,-0.35531046843758873,-0.6131220193459122,0.07047855401058083,0.44816693941282154,-0.8323626740346796,1,Upper-Mid,0.003486495218556254,1.6730849250516915,97.27612316382748,89.43342162351165,97.21832606917815,82.4131393678162,2.169136997589505,0.23219637353970665,0.22756137888938618,76.81905668645872,60.00803477449866,9.604724295087351
317079,12.293744779837615,11.31745623931815,43.27239562634384,75.7247816738508,43.500996946321145,0.4542740768734515,0.0291789077423174,1.4469321444130427,SCOUT24 SE,588.798,2072.493,588.798,50.0,50203010.0,5020.0,502030.0,2.7933164819655585,-0.0747971151867522,10.702118538907568,27.904700553799437,11.444048391748495,0.5786809364117763,1.7941367937918378,-1.6186729155325505,1.4912869265427449,-0.8725445961907846,1.0692209542440496,-0.6593887095095755,1.3286006526176108,0.1651680664874721,1,Upper-Mid,18.040317856418874,20.69515349465645,71.26780388311539,89.44592851115506,88.58531292926057,84.23705622242039,73.33786366284052,81.8774889353561,98.73691189225683,68.44021134841539,56.38646806151541,31.300430242040424
214700,11.412562801021007,31.478027629657078,16.00324297433654,52.5675644197092,11.938199276381898,0.8612749327902864,1.1019469817233194,4.814072023892145,STADA ARZNEIMITTEL AG,3734.843,5237.176,3734.843,35.0,35202010.0,3520.0,352020.0,0.3161186484672494,0.0514032999055952,-1.6423650330361197,-32.92691915993365,1.9875906892154205,0.165620721648048,0.5499986382643287,-0.7996655975351479,1.0175857179624725,-0.2683103720439461,0.5321850057531337,-0.3917347441492288,0.29062730242342055,0.3687884905383596,1,Upper-Mid,44.768689469296966,47.350795647360066,82.74467441655172,94.34902249632916,98.14674128782701,91.68888049193595,90.31944704987397,92.66244973490736,91.57734935745381,88.14227118132047,51.93358539357509,50.36045422430481
205934,11.354129263913824,19.983883964544724,15.16424889102026,30.61067817607801,13.067977460736122,0.7117007394519357,0.284716626376578,2.244157937147462,FREENET AG,2502.3,3342.0,2502.3,50.0,50102010.0,5010.0,501020.0,0.2341635920855141,-0.0324510887955778,-5.6376800663700095,-4.497663551401865,2.497609395369671,0.7530993208542217,0.6529182840882233,-0.975051227365879,0.359960998281154,-0.6243802135064381,1.3909350059404872,-0.7078257780369294,0.2707211386039201,-0.5142498694211509,1,Upper-Mid,38.16239413324375,51.79278650406734,78.32649242171298,93.13581027238807,97.78731402363775,89.54960575162643,79.20179168053609,93.11584009771384,91.94989348383737,55.287076962022375,51.70066965989632,46.81736473343018
326577,10.676537089324666,18.82575419160785,18.58815592442331,61.8698978075796,13.65531465037034,1.8154504993652785,1.4719467524345573,3.4413356893031684,DERMAPHARM HOLDING,1194.707,2080.019,1194.707,35.0,35202010.0,3520.0,352020.0,0.6342065967192626,-0.4287600068167555,3.8589362758265855,-8.286438686537634,4.946341128536405,0.3398187220747304,0.6667257935834026,-0.8078376721806152,0.8865729439363625,-0.8566888852663841,0.2960147143407674,-0.14727201597149442,0.5919723480218265,0.04302121617406683,1,Upper-Mid,43.59590756403928,45.59610559658789,85.15947265664124,88.98512958966737,97.60097908238177,98.16327420593603,91.4300050443523,89.47157629919685,93.7597897317731,91.67378542413768,52.85967113322073,49.17059786055287
354519,10.6712500233527,15.588248057978562,14.250430357009206,33.60277424344485,10.425866327370706,1.414487903506937,0.3107234301089268,2.322918022826889,DR ING  H C F PORSCHE AG,40083.0,53527.0,40083.0,25.0,25102010.0,2510.0,251020.0,0.1139993337138119,0.0227372212801663,-1.1028867505551432,-16.536848412222895,2.031902419035604,0.6251670892980747,0.6374760236987791,-0.8349578130623243,0.21787490781003152,-0.7642439320079752,0.921268518145515,-0.4540083540666203,0.2984144798629522,-0.3734172408593059,1,Upper-Mid,47.34007112819778,56.12931695609077,98.6546531723565,93.51977080133858,98.6299431202646,90.09229729102569,91.54761013331282,93.65128179883952,91.6096569827151,64.65589459638957,52.14670946273445,53.24601044262805
204820,10.599350681969668,16.917223407934994,11.090111990728388,79.87793028272404,14.591876034620135,0.6443911403378236,0.5195994799422998,2.634707289594064,FIELMANN GROUP AG,2264.116,2368.947,2264.116,25.0,25504040.0,2550.0,255040.0,-1.0244609249876622,0.1010008597283486,14.983444044934702,66.18895752429626,3.809868907110948,0.3828216170146338,0.7660617124427049,-0.8609590331110009,0.9983554390985242,-0.704283683310519,0.7108366697978876,-0.5075383385548996,1.165504219816218,-0.09763151513572645,1,Upper-Mid,34.47335045595244,40.34334098400129,76.41601177949975,96.66155416678394,97.3045856719287,92.2731358861238,63.64366995027685,97.98466191760429,92.91541704654777,86.97470947528308,52.55794377003488,41.070714288401156
100083,10.42195065713627,10.761061946902654,13.766497461928934,61.6751269035533,8.060913705583756,1.7426948051948052,0.0,1.535221238938053,BEIERSDORF AG,9850.0,13011.0,9850.0,30.0,30302010.0,3030.0,303020.0,-0.1521733838461118,0.0014112453995748,4.265904519953434,87.26415094339623,0.969901098575644,0.0118690843335776,0.5728152703566515,-0.9491343428718721,0.5565001097755682,-0.4163936340057461,-0.2746220477184534,-0.10207727577698227,0.7234703117966117,0.3407639683869099,1,Upper-Mid,43.79825946287613,49.543270823254204,87.46312499949744,89.03400470831349,99.39033657932211,84.80952570694986,87.14123049240663,94.93245337660721,90.83848085507755,73.02625762046839,50.95667978105657,49.402542994493636
