gvkey,roa,roe,ebit_margin,gross_margin,fcf_margin,current_ratio,debt_to_equity,financial_leverage,conm,revt,at,sale,gsector,gsubind,ggroup,gind,roa_trend,cluster,cluster_name,proximity_score,profitability_score,liquidity_score,leverage_score,cashflow_score,structure_score,relative_score,overall_score
321632,5.908181558367326,2.8607204777499518,3.260168312999097,7.70024802511792,1.4107324626170235,1.4368503571221183,0.10248507031400501,3.7072818339433633,UNIPER SE,69751.0,38489.0,69751.0,55.0,55105010.0,5510.0,551050.0,-2.762015132827845,2,Mid,26.23367602990622,47.65866085666881,89.22147263582951,96.24900709208714,92.34256143957103,98.78221780239238,50.46391895874936,29.650103292504966
320124,3.603182030884417,-16.570529627687467,4.2335605893996044,26.98482515944579,2.7215746646140313,1.2773361136452497,1.4452018877818562,5.6030414263240695,SCHAEFFLER AG,18188.0,21370.0,18188.0,25.0,25101010.0,2510.0,251010.0,-1.0002891525808892,2,Mid,51.05557333123264,59.62499540082335,84.15060434188429,84.01474768888167,88.2276777277434,85.41209122330376,54.73192660295474,40.74870318154589
245628,3.171732239418236,0.8919378348804626,2.447037708124253,19.99916424904008,3.638434953571294,0.9982157078671239,0.4249413517562171,5.68428671218551,NORDEX SE,7298.825,5631.15,7298.825,20.0,20104020.0,2010.0,201040.0,-1.1913708350315675,2,Mid,52.3087655051257,67.91553108819647,75.9610017341042,98.73022762999206,85.45902103737639,84.8814079737959,52.9899104760644,44.37963518268878
222340,3.0422778517086395,5.068676090351879,3.5296727800181595,24.405421101596474,6.265136557618198,1.3023979142368434,0.9942512895223845,4.083795166095733,DUERR AG,4290.936,4978.375,4290.936,20.0,20106020.0,2010.0,201060.0,-0.5956246158064404,2,Mid,59.81745993993771,67.63769651882723,84.92779026453738,90.2271069360934,77.99881473050858,95.96984570452355,53.743625746195484,46.477233973349875
100103,2.68638952648134,12.016981459019235,4.020484112090079,2.770444352555743,-0.019084576481440248,0.8332567284612634,0.9888234274822387,4.076589845780627,DEUTSCHE LUFTHANSA AG,31439.0,47052.0,31439.0,20.0,20302010.0,2030.0,203020.0,-0.5617290508643753,2,Mid,49.85661232672241,55.27605910477049,71.50083882703503,90.30461404363123,97.05006043338375,96.02290709932473,51.15168077661673,40.02831815600619
244398,2.3869309973741046,-7.609128373745788,2.0902236373212872,39.27750862424849,7.783129214256228,1.3417112044536021,0.14071312194510588,1.7006646122542262,TAKKT AG,1053.715,922.733,1053.715,20.0,20201060.0,2020.0,202010.0,-0.986252473466895,2,Mid,48.124967633525294,56.76237051081443,86.16141215197435,96.83283049157866,73.98819505246531,86.78975462532063,51.95872955074053,40.285744204730875
213034,2.3398745258243365,-19.005068071151744,2.069648810679144,13.756376425995997,-1.8992291829172403,1.1566742521783393,2.34069363013018,6.756601411110007,GRAMMER AG,1921.727,1699.792,1921.727,25.0,25101010.0,2510.0,251010.0,-0.5374664283495462,2,Mid,53.2133387784992,65.14461516506542,80.50718626008522,72.91768369544583,96.51819667031577,78.17847128530599,53.76215335649148,41.60602691395735
100449,2.191040744353568,-4.1265822784810124,2.3470153252598864,26.586110813417648,5.755010181116707,1.2181768781415567,0.08793248945147679,3.3739240506329113,KUKA AG,3732.4,3998.1,3732.4,20.0,20106020.0,2010.0,201060.0,-0.4631867169898604,2,Mid,63.40804332080948,71.4443720322505,82.34412253639894,96.02768452244005,79.39482866001268,98.67679346676047,52.10424403532345,49.254860187017904
220307,1.609573263036106,9.483700384731083,1.5599287599520366,15.704983837819775,-4.729640884580714,1.665228664922948,0.6773694737786503,4.570526115799306,PFALZWERKE AG,1787.197,1732.074,1787.197,55.0,55103010.0,5510.0,551030.0,-0.07745550362245222,2,Mid,71.21986180693214,76.96488159001207,97.01798280407131,94.86535916913522,87.47072886714989,92.45252857875433,51.505320084783776,53.3674569576888
101768,1.3523843123419768,-2.1784482066918076,0.745373821175098,8.558835920536682,-0.29706927655529264,1.8219334445517603,0.06427023991013399,2.046898820508706,MCKESSON EUROPE AG,9257.1,5102.1,9257.1,35.0,35102010.0,3510.0,351020.0,-0.6210729632826416,2,Mid,65.48913181023227,67.90861327992481,97.31576166245367,95.66890376673601,97.99278256451002,89.12584337270458,48.50324139861406,49.34426575675147
