gvkey,roa,roe,ebit_margin,gross_margin,fcf_margin,current_ratio,debt_to_equity,financial_leverage,conm,roa_trend,cluster,cluster_name,proximity_score,profitability_score,liquidity_score,leverage_score,cashflow_score,structure_score,relative_score,overall_score
354519,10.6712500233527,15.588248057978562,14.250430357009206,33.60277424344485,10.425866327370706,1.414487903506937,0.3107234301089268,2.322918022826889,DR ING  H C F PORSCHE AG,0.4610142394229677,0,Upper-Mid,50.029694465733776,55.55846336404028,97.63377204012727,88.77107854501845,76.61958499103889,88.92806969611274,57.45109077398191,40.00067831360341
210359,10.186036301773932,22.955031030623665,16.764324019192774,40.317245272368055,-1.3355913068021446,1.2224958949096882,0.669371248346729,3.7078543086784004,EWE-ENERGIEVERSORGUNG WESER,0.13089763562477957,0,Upper-Mid,51.00614873598849,52.35297360394961,90.994239836735,93.95319532470901,86.70260019815994,98.89620240824179,56.85108179707883,40.26837374765622
285715,9.712542256446024,14.776402534658612,8.859265526999643,26.67567871428594,8.106953148186728,1.6751441630336865,1.0543457703791863,3.270276982327309,SAF HOLLAND SE,0.027706179173058558,0,Upper-Mid,61.42404699373159,64.24907748938242,93.08396862739234,99.85281848014513,83.05414532107777,95.63155592731064,54.45103451486025,47.40471614338364
216524,9.439976850447357,12.153934857176363,17.36798266579271,25.742557253547126,-8.19567961484628,1.538516073129337,1.8104740591621145,6.281474459830546,ENBW ENERGIE BADEN,0.5360248860854715,0,Upper-Mid,47.792959630532664,57.7370284888749,97.86807708754152,88.85700046326184,68.30102927434835,82.99984117869269,54.431855232911644,39.55028959631423
100368,9.322556660834046,16.42752611759716,10.371424213625312,39.356570085293065,8.723750393987308,1.0595436337925495,0.0514240542234365,2.4887746214645166,GEA GROUP AG,0.3449355390204477,0,Upper-Mid,55.81868920944565,62.619993421998124,85.71445028601308,85.20340287778633,81.29167982083196,90.06676608196162,55.05079925206677,43.37181465595653
270249,9.291172013327335,10.397369949505476,6.343323696603866,24.430525958749023,1.9637926766967548,0.949274655097486,0.012997407188174775,4.553224896551532,DIEBOLD NIXDORF AG,0.26288981204928535,0,Upper-Mid,60.68869698454043,66.10973947464166,82.31654597349461,84.6870348750611,97.24365106366446,94.76672859498325,50.06756682720922,45.966130176250616
101120,8.55174479556687,18.499364638434944,8.99019537679811,16.158305303084518,11.28462033922565,1.5675553732567677,0.0,2.1704837613404653,AUDI AG,-0.17659246329481892,0,Upper-Mid,53.97169425180574,61.59582931914929,96.83108909226002,84.51308806058485,74.3653136528223,87.89422522372053,52.76939672509484,42.35915237061064
102175,8.364843290479792,9.95862361636666,6.774259402077757,51.583269065009304,4.897246291339654,1.4995994287505658,0.48321957774870045,2.5252325211302473,PUMA SE,0.4544062830161389,0,Upper-Mid,51.59912442099397,53.992748469375776,99.27521809741593,91.22679981873137,92.86158534343859,90.31901784802594,54.64206884811306,40.56087944414588
238136,8.330651905813248,12.843574968897892,5.57152331470804,20.278072657991213,7.445333331641758,1.64043992916163,0.29755535861332205,2.2063301814437866,BECHTLE AG,-0.17461064268961451,0,Upper-Mid,62.23915562855385,67.65499968581832,94.27653411775285,88.58635143350338,84.98718887978268,88.13625786622296,50.87379917778977,47.285297331935546
100590,7.913003654780399,25.396558488873943,10.783821819739337,27.494340084439823,-1.5884476534296028,0.8691330019681756,1.9113278403676923,6.241858640210751,E.ON SE,0.03402854240760464,0,Upper-Mid,62.27215991094916,72.94391758095526,79.93183910883538,87.45058637497779,85.94356107849464,83.25246630178287,52.93298372772685,48.2427061180685
241456,7.6164579606440075,14.004118858487791,6.321716199843204,15.742522509680946,6.872876725346257,0.951631949364697,0.7886353129071576,2.936788130962888,DEUTSCHE POST AG,0.36101905440355436,0,Upper-Mid,59.42538605019742,64.93115850512086,82.38775684757672,95.74262119099475,86.69599249556066,93.21604146015466,50.015264710618496,46.33064824020262
269835,7.572848817278026,11.344066685002224,5.441757916907879,24.797689285230394,3.4759259487356355,1.4630843539761946,0.5427888378784352,2.468529841115366,BRENNTAG SE,0.043212285047499945,0,Upper-Mid,74.34364795409927,76.87817988682792,99.38983022782656,92.0905373000198,97.56671098774856,89.92699704147353,50.11086243140091,54.32214888900727
210332,7.212355069788052,11.182831758256489,7.19166082866243,24.42342829620122,5.643944373774746,2.161501799220204,0.3172295164430767,2.2046008672250257,CLAAS KG,0.1934319176060208,0,Upper-Mid,67.1053747051196,79.481007770562,77.87417487514598,88.86249072365646,90.4813441140423,88.12456636570015,52.629355757257414,51.62460050852589
100953,6.898618447785452,16.276268661447272,28.03418097754293,34.29656538969617,-11.381274768824307,1.2700634632819583,0.46822403245744715,3.120225680687185,RWE AKTIENGESELLSCHAFT,0.24802652368191275,0,Upper-Mid,39.67800596892574,46.4881672623755,92.59592421881784,91.01064798836657,61.13875862720188,94.53705946722897,54.63598834903374,34.269900638882056
332311,6.895815216562161,15.719251037111784,9.521201525077412,29.191329808522738,1.2154277168074485,0.9803955288048152,0.8975782038345106,3.674571140262361,TRATON SE,0.41013160674206717,0,Upper-Mid,73.61288189762905,84.10067050765012,83.26164605229542,97.40695772246022,94.74559597054912,98.6440166814059,51.47456632863367,56.005982632827674
100102,6.805254800057744,13.682834960412022,4.678908188585608,13.326054590570724,3.53151364764268,1.3571381600578682,0.24390806364824352,2.6623875778307324,BILFINGER SE,0.5695337436079179,0,Upper-Mid,57.86570543766829,62.869699125056066,95.60127946076463,87.83772989097166,97.37829105740701,91.27433662456448,49.51846997901194,44.503994989175695
