cluster,roa,roe,ebit_margin,net_profit_margin,current_ratio,debt_to_equity,equity_ratio,cluster_name
-1,4.917099246266484,9.33609819241971,7.982030087571636,3.172897876442089,1.5347852768275996,1.021757805519901,35.752418236347346,Upper-Mid
0,7.6466270808823165,11.511627851965848,6.168264379078604,3.6791499485532895,1.499311125418116,0.47048729162753555,40.27063616053273,High Performers
1,4.268055287614635,6.427993855794386,7.206222161269471,3.449533733187309,1.0751647856539581,0.9073808454156851,31.8139010404048,Mid
