cluster,15.0,20.0,25.0,30.0,35.0,45.0,50.0,55.0
0,3,23,13,2,8,5,11,7
1,0,4,3,0,0,2,0,0
2,5,20,10,3,6,2,2,6
3,0,0,0,0,0,0,1,0
4,7,4,1,1,5,3,1,0
