gvkey,roa,roe,ebit_margin,conm,roa_trend,roa_volatility,roe_trend,revt_cagr,cluster,cluster_name
321632,5.908181558367326,2.8607204777499518,3.260168312999097,UNIPER SE,-2.762015132827845,37.59296857959033,-5.524695808860061,-2.331161608460286,4,Mid
102529,5.177639955249784,9.44252269602777,4.477698078984252,PAUL HARTMANN AG,-0.7493667234037724,3.358767051074761,-0.5853710514848982,2.658418145785313,4,Mid
100676,5.011856436638398,53.02174822250105,3.7678106641688935,TUI AG,-0.6537878863754827,7.447845619031899,17.26145511043128,2.1572645288610914,4,Mid
295421,4.222784810126582,2.46119733924612,5.502408128257571,EVONIK INDUSTRIES AG,-0.4331087574281221,1.786425147115358,-1.1903385759514047,1.6120373324505888,4,Mid
297222,3.8994785010455044,2.0382971286862306,4.822370856252529,NORMA GROUP SE,-0.7668518742448992,3.008943784220557,-1.727616214310864,5.220209381883323,4,Mid
318659,3.84553759551872,11.03301743828173,3.5860119489701416,HELLA GMBH & CO. KGAA,-0.633549608953168,3.3649291996997417,-0.7857432715739437,3.766351841879678,4,Mid
320124,3.603182030884417,-16.570529627687467,4.2335605893996044,SCHAEFFLER AG,-1.0002891525808892,3.403436457262079,-19.430015699564734,4.139119596877849,4,Mid
17436,3.561524591183237,3.646169836231355,4.388599448360404,BASF SE,-0.5203910451744728,2.421572580770398,-1.7381982240373897,-1.292391284636929,4,Mid
269104,3.4268730614848595,1.8419912455812864,2.8213285711351723,BAUER AG,0.09769851549425758,2.225576343615636,-1.1191741664373573,3.933609182123421,4,Mid
100764,3.3382476832350463,-2.3845918679302964,3.2700639570868577,SUEDZUCKER AG,0.16065444511932503,2.5701339738968767,0.2952630618997704,2.0732520626496553,4,Mid
214759,3.265869365225391,0.9157509157509158,3.0682800345721692,HEIDELBERGER DRUCKMASCHINEN,-0.11931265478385034,1.6635198780818377,0.6516020899782956,-0.5132466537298819,4,Mid
245628,3.171732239418236,0.8919378348804626,2.447037708124253,NORDEX SE,-1.1913708350315675,6.064163656629951,-4.212349460583024,15.453496090404851,4,Mid
233025,3.0806115022005893,5.828069087348736,2.4923058875486492,CANCOM SE,-0.6418355590449585,2.331637687773682,-0.8519607255095094,7.67117572703675,4,Mid
222340,3.0422778517086395,5.068676090351879,3.5296727800181595,DUERR AG,-0.5956246158064404,2.434552037050489,-2.0730843309799867,5.239566119119732,4,Mid
100080,2.85701398285972,-7.997994233421085,6.795262412564906,BAYER AG,-0.4288697186165794,1.9641932955671328,-2.7608516899841353,0.9887089806627225,4,Mid
100103,2.68638952648134,12.016981459019235,4.020484112090079,DEUTSCHE LUFTHANSA AG,-0.5617290508643753,6.112075571426645,-6.387833899167408,2.5721015688386695,4,Mid
276585,2.60895439909032,5.161483765955624,4.29060785067636,WACKER CHEMIE AG,0.3933971874323351,4.336603684458979,0.5418511226563771,1.7163894862379792,4,Mid
207096,2.5396974167793798,3.3451652481229694,2.954903394858046,RHOEN-KLINIKUM AG,-0.06951198967793153,1.2785536671514979,-4.694095891820661,0.5495892142410641,4,Mid
210326,2.4404136246129373,15.108517694471265,2.815025264937772,BLG-BREMER LAGERHAUS-GESELLS,0.39019727367443435,1.735105236913207,0.0061815069955004475,3.294060292787404,4,Mid
319865,2.3935960978679884,3.134484302701627,8.61409966024915,SILTRONIC AG,0.16368925996573366,8.099484558667934,0.9828845054566342,5.261858180318435,4,Mid
244398,2.3869309973741046,-7.609128373745788,2.0902236373212872,TAKKT AG,-0.986252473466895,3.5413555124289635,-2.0674870618472774,0.7199931344494592,4,Mid
213034,2.3398745258243365,-19.005068071151744,2.069648810679144,GRAMMER AG,-0.5374664283495462,2.6946369011698192,-3.4429085568095323,3.473071830262109,4,Mid
100746,2.2989639861864823,14.728682170542637,1.0382318866411193,CECONOMY AG,-0.3118494264262327,1.2198156751662448,0.5906903639120662,-9.812161164028998,4,Mid
100054,2.2840015248876586,72.36664710454106,1.690983557083559,HOCHTIEF AG,-0.14084986850625408,2.5666020009856867,6.083255581648264,4.185843296378322,4,Mid
100449,2.191040744353568,-4.1265822784810124,2.3470153252598864,KUKA AG,-0.4631867169898604,2.878148896773809,-1.2210333941050815,5.941448534420446,4,Mid
100301,2.0851898057387275,4.953414317726147,1.9352704416386393,DEUTZ AG,0.21197415125334534,3.509600402398492,0.20929750663291274,1.7142322953800138,4,Mid
220307,1.609573263036106,9.483700384731083,1.5599287599520366,PFALZWERKE AG,-0.07745550362245222,1.3965676378133292,0.3607986239466655,1.2538322785128786,4,Mid
101768,1.3523843123419768,-2.1784482066918076,0.745373821175098,MCKESSON EUROPE AG,-0.6210729632826416,1.660952302316648,0.1484828140766207,-11.817815281051235,4,Mid
101161,1.3448575051725289,11.19709563389701,1.3521674942960675,GELSENWASSER AG,-0.22518690042393547,0.9492920461609282,-0.16560992262302696,12.617147819605234,4,Mid
324977,1.2951601908657124,-7.194244604316546,0.48986432047439493,METRO AG,-0.3112482730414712,1.2178975574419497,-1.422246879880825,-2.2529324272819395,4,Mid
101148,1.1171562959243373,21.85386781166759,1.6510357270514544,LECHWERKE AG,-0.5832397455941732,2.1995930084700666,-0.43642453454299757,-5.704406556061259,4,Mid
220295,0.6613982923919302,-21.64513652158484,0.6453201533328601,ELRINGKLINGER AG,-0.7067721228011384,2.7219677838786738,-2.5441567390617603,3.122618759436069,4,Mid
102259,0.6067671256437943,-7.929932003422345,0.6342579182356642,SALZGITTER AG,0.24256310963249345,3.0688234326870543,0.4396216932471752,1.0259583404228723,4,Mid
