gvkey,company_name,years_available,roa_trend,roa_trend_r2,roa_volatility,roe_trend,roe_trend_r2,roe_volatility,ebit_margin_trend,ebit_margin_trend_r2,ebit_margin_volatility,revt_trend,revt_trend_r2,revt_volatility,revt_cagr,debt_to_equity_trend,debt_to_equity_trend_r2,debt_to_equity_volatility,fcf_trend,fcf_trend_r2,fcf_volatility,cluster,cluster_name
350278,VITESCO TECHNOLOGIES GROUP,6,0.908511592624763,0.6334689675230227,1.9494459575933032,1.4267862081020402,0.08747820053667968,8.238580343622925,0.7667813728400232,0.6127339875537323,1.672934617390625,20.108571428571484,0.005607441002341315,458.6086700251342,0.19631619914226572,0.03962676142766393,0.8528050487801904,0.0732836510325841,35.02571428571428,0.09132821337346628,197.93742627967612,1,Growing
324859,DELIVERY HERO SE,11,0.8593399137390071,0.25232977092086983,5.409794116232072,-6.575013832462224,0.2545108824936987,41.213879066079855,8.972026520287347,0.832158532973581,31.101942435930127,1247.9495818181817,0.8369219599328002,4313.745886197892,63.87759373234276,0.2855594186364047,0.6202221011572173,1.1466288642893645,-17.715736363636363,0.017000162631807137,429.66766397388676,1,Growing
317079,SCOUT24 SE,11,0.8312858632112388,0.5785258954382702,3.4561214337508757,0.7009024795322588,0.26162759795483287,4.333270690942434,2.7933164819655585,0.6553504498423376,10.911472011048378,17.429545454545455,0.3674892479016539,90.92090351736076,8.398685822106833,-0.08391741777741828,0.7084302784583238,0.3152851779334086,10.256245454545454,0.3471449060732975,55.04691787650312,1,Growing
206703,SGL CARBON SE,11,0.6382247124150813,0.8481775939166228,2.191443199140694,3.8087258676189144,0.18076641014855444,28.32832190361377,0.8376659291904817,0.8439679569270401,2.883419774475507,-11.06545454545454,0.04488008428142285,165.17428161122763,-2.598863738336077,-0.13135378086276403,0.3216184148532689,0.7324401187896499,20.57,0.8037025318850123,72.55822056735424,1,Growing
100312,RHEINMETALL AG,11,0.5783965084088859,0.7175370644572374,2.1592528069765526,1.1620389357177765,0.32815794115655794,6.414742398592563,1.0327341372410506,0.8918064260790117,3.4582249060277586,317.83636363636367,0.6255426776159074,1270.7938691429226,7.598484724871546,-0.009712289647486825,0.043351069805412853,0.14751008597108753,60.39090909090909,0.37170725005807737,313.2355541708096,1,Growing
100102,BILFINGER SE,11,0.5695337436079179,0.5407423370573197,2.449200127145734,2.2161037252089764,0.564608423035581,9.326450882408352,0.4126368727273162,0.5153294296066727,1.8177140365653566,-203.60272727272726,0.2851087648468285,1205.8084050760576,-4.150858180766304,-0.00039443784884686355,0.00011585635504330369,0.11588271217694304,33.99909090909091,0.49024155259863134,153.5543928718678,1,Growing
340115,HENSOLDT AG,7,0.5474023516947875,0.6628522592998444,1.3447089148325406,-0.6275866192287742,0.007958858127689759,14.06948787395821,0.9894429023506705,0.7323852915410274,2.3123359234956053,191.26503571428572,0.9374761203648355,395.0803906500601,12.412138766324166,0.3452746781577392,0.035306429296505695,3.675088704671423,24.374607142857144,0.29094533337667283,90.37783269097775,1,Growing
101390,KSB SE & CO KGAA,11,0.49095135967911474,0.6693411049499705,1.897643901016072,0.9089021466721219,0.3375409282403176,4.9471366766516445,0.4410495948978004,0.635168979838396,1.7500190953048023,66.11860909090912,0.6611164574392494,257.14893188835595,3.1047074705184308,-0.016148784720528896,0.6537568565391048,0.06315848684764931,7.9535,0.12771531561191266,70.3779795860294,1,Growing
104357,KABEL DEUTSCHLAND HOLDING AG,8,0.48104554114919346,0.2590012466878821,2.1657828876247094,-14.10844208902471,0.9060577399511475,33.96102380630971,1.0855360562517546,0.5146961303863442,3.4669569849098005,104.99522619047619,0.9618456152186774,245.29941949250383,4.761510509880074,-0.4984373454168558,0.7976576398854591,1.2787391491593278,62.58258333333333,0.7643523557899471,164.01604442739549,1,Growing
242158,WIRECARD AG,5,0.4743069988058551,0.670750265629043,0.81901924025978,2.0760726076709384,0.7380440357505806,3.4175619725188886,0.4879204244472153,0.3993138869511902,1.0919601487477524,360.6206,0.9543379624258828,522.0528001125557,34.70694381508854,0.1443349514801143,0.9654407470976678,0.20774170711368747,172.7212,0.9669785079650037,248.40036730681376,1,Growing
102175,PUMA SE,11,0.4544062830161389,0.3369182892151099,2.4756088939468284,0.9549101070945898,0.4782553307889233,4.3664911104027375,0.391754667762913,0.44903293123096777,1.8487367888979098,641.1227272727273,0.9443535478418251,2086.286099292035,11.48801643807753,0.06960959742550267,0.8188454574312806,0.24325857036152929,41.093636363636364,0.71798175385511,153.36203749772807,1,Growing
313972,TELEFONICA DEUTSCHLAND,11,0.4534819410585637,0.8151594004406132,1.5883226396456596,1.2692428672351024,0.8170860015160922,4.440285001814141,0.927919209194586,0.8723950224718997,3.1416194411796874,191.55454545454546,0.5878548827274721,790.0551293663099,4.39780277612829,0.06450120677513548,0.7177305339289933,0.24076154900472568,63.763636363636365,0.7891074857123611,226.989095744216,1,Growing
295079,STROEER SE & CO KGAA,11,0.35148593194559535,0.46775079180997525,1.6251770530377652,2.074326303655007,0.6690671911582307,8.019406116831778,0.48529252216321134,0.4958153482817816,2.179433469713086,121.72341818181818,0.911103377001629,403.2647964577974,10.996514932841194,0.29221729519578743,0.8490007960483138,1.0028866906725453,23.986363636363638,0.6155608114777795,96.67828363304453,1,Growing
