cluster,15.0,20.0,25.0,30.0,35.0,45.0,50.0,55.0
0,9,28,14,2,7,5,4,7
1,0,3,3,0,0,0,0,1
2,0,1,3,1,1,2,0,0
3,5,14,6,3,12,5,9,4
4,0,1,0,0,0,0,0,0
5,0,0,0,0,0,0,1,0
