gvkey,company_name,years_available,roa_trend,roa_trend_r2,roa_volatility,roe_trend,roe_trend_r2,roe_volatility,ebit_margin_trend,ebit_margin_trend_r2,ebit_margin_volatility,revt_trend,revt_trend_r2,revt_volatility,revt_cagr,debt_to_equity_trend,debt_to_equity_trend_r2,debt_to_equity_volatility,fcf_trend,fcf_trend_r2,fcf_volatility,cluster,cluster_name,static_proximity_score,static_profitability_score,static_liquidity_score,static_leverage_score,static_efficiency_score,static_cashflow_score,static_structure_score,static_relative_score,static_overall_score,proximity_score,trends_score,relative_score,overall_score,cluster_name_enriched
100010,BAYWA AG,11,-0.11533689911326936,0.035326134849652926,1.9405293236001875,19.327966136148117,0.240182522094857,124.71407087885252,-0.03931910422043276,0.015968115640003326,0.9839584971450079,993.285990909091,0.6815896952618818,3804.6332794286823,3.369252419736979,-0.1564983842852986,0.024611136032805347,3.154598029706818,9.9831,0.006797988925645139,382.8910324843854,1,Lower-Mid,15.987961697376113,60.21509578514526,74.02545967975264,23.772880942997475,45.548661606802234,58.781425781394525,80.19139069327004,41.88671894044768,27.64779117129958,28.891295605587402,98.30672724603949,50.865402082577134,11.556518242234961,Lower-Mid (Declining)
100042,MAN SE,7,-0.44793853774317977,0.34739349441494116,1.5199789832710475,-0.16028040694243867,0.003480138817942163,5.433906335897462,-0.6133146416011801,0.26986976990822664,2.3612186724961832,-495.7857142857143,0.7008141040379622,1184.4659693942504,-4.499330360890596,-0.017684891748890996,0.25592446600409813,0.06991598790538839,88.10714285714285,0.1154336387291758,518.6506433003996,1,Lower-Mid,33.42311316728907,74.49472169109443,56.31081906799602,76.03715042817385,53.72812828769384,58.78156589547301,81.62044544728609,47.353676948589964,43.93112389110597,38.94363910405926,87.91638085799018,48.36346987475021,15.577455641623704,Lower-Mid (Declining)
100054,HOCHTIEF AG,11,-0.14084986850625408,0.0301158991903557,2.5666020009856867,6.083255581648264,0.5480483281186025,25.985234156541445,-0.06720832207467915,0.01595106653843105,1.6827832852108888,892.2464909090907,0.5967033578690626,3652.6293771794976,4.185843296378322,0.5610995548342446,0.6963027607723038,2.1263799353333384,57.22258181818182,0.19735381212053,407.32839778632365,1,Lower-Mid,16.107979149838215,79.64339891248983,87.07975354546768,33.210778675464525,81.29541309726287,68.69823759005384,25.531723053575874,54.10229188541279,37.887261274569134,26.16076994771568,91.88581757176888,52.49676750991124,10.464307979086271,Lower-Mid (Declining)
100103,DEUTSCHE LUFTHANSA AG,11,-0.5617290508643753,0.08446491297315478,6.112075571426645,-6.387833899167409,0.018611724777764963,148.06769098685936,-1.2072062234489331,0.03648419256982129,19.98614785759215,46.86363636363636,0.0004661649346416676,6863.824700606882,2.5721015688386695,0.14158429666347322,0.03523631741263323,2.385172706027584,13.236363636363654,0.0007369246689316404,1541.9033156170149,1,Lower-Mid,40.516356704260104,65.054852629677,71.51620137225882,90.02870731997277,57.059567636621544,65.56235882142794,88.49249656069429,49.30627336566124,46.77931908512995,23.434783321734155,97.85049518541314,50.96118826127666,9.373913328693662,Lower-Mid (Declining)
100449,KUKA AG,11,-0.4631867169898605,0.2589915992437452,2.878148896773809,-1.2210333941050815,0.29397707669412515,7.121489005938096,-0.36094486786114616,0.16697823251810096,2.7932572925293893,130.22363636363636,0.5638096764752917,548.4329706589358,5.941448534420446,-0.01362931827404445,0.15818439525793732,0.10836581812182924,9.960909090909091,0.03771622486076117,162.19403133794071,1,Lower-Mid,51.26998438283056,79.73188670494963,74.68475752092746,82.95454732279896,77.18058618646165,65.71312666327358,83.73804562983261,53.00216231724248,56.32691375437129,53.786048124268824,98.30984655390351,47.62881459812371,21.51441924970753,Lower-Mid (Declining)
100676,TUI AG,11,-0.6537878863754826,0.0770570550665644,7.447845619031899,17.261455110431278,0.07547133086007224,198.69475313156897,-1.2031531958403563,0.06308410577053887,15.148197311994114,-147.50818181818175,0.00775585181868818,5296.6510066220535,2.1572645288610914,-0.8554466557067674,0.07900796887971324,9.62404143682412,52.750909090909076,0.01825869067396316,1234.5114801189395,1,Lower-Mid,17.549711382851545,58.2492375019826,37.091268085508084,48.64703944798298,85.65859477679409,61.7852025535126,37.21035355553932,49.503111970733094,36.383225214854555,24.201287196005005,92.47520471904325,52.83840100979322,9.680514878402002,Lower-Mid (Declining)
100746,CECONOMY AG,11,-0.3118494264262327,0.6535841014263727,1.2198156751662448,0.590690363912066,0.008673802168773219,20.056499168889847,-0.12931559195977674,0.7194935357172966,0.48210034692640985,-4209.045454545454,0.5994903095030376,17190.659260720102,-9.812161164028998,0.4261993072051868,0.7054665713415734,1.6046285672638447,-40.06363636363636,0.11607259120516987,371.8651892934649,1,Lower-Mid,16.763284341077835,80.21594127523602,74.07598959669826,46.701084100505454,34.889093665667595,67.86520800004703,33.252759482499215,51.50867603582032,32.651974451379026,10.036410296486219,94.69755364003574,50.64488482443285,4.014564118594488,Lower-Mid (Declining)
101148,LECHWERKE AG,11,-0.5832397455941732,0.7030878006977734,2.1995930084700666,-0.43642453454299746,0.03667530966494188,7.206464683998575,-0.6126584818850448,0.5935064248640239,2.514813239645769,-6.372154545454549,0.0032850618714805315,351.5721974912265,-5.704406556061259,-0.0011097331706411417,0.5734104517223242,0.004634317296851961,2.0985409090909073,0.024665504640221304,42.25444844545663,1,Lower-Mid,15.752658801491807,79.07414898043137,18.02902649054345,77.81164474642247,59.86569846939304,78.12020754500465,82.20088158122793,43.0116101003304,38.8769125617342,24.224471623294004,99.42128876129853,47.41197778175921,9.689788649317602,Lower-Mid (Declining)
101161,GELSENWASSER AG,11,-0.22518690042393544,0.5627124993858171,0.9492920461609283,-0.1656099226230269,0.09021678878685682,1.7435831846248306,-0.45026659982584094,0.71700574335755,1.6815446961912393,634.6327272727274,0.31955646934434084,3550.165974562619,12.617147819605211,0.025536537839014918,0.8287809000643339,0.08870378462007979,-3.4345454545454563,0.18926771440543586,24.96496718958107,1,Lower-Mid,52.170518440786914,81.18089126013652,90.01031814087223,71.80406502164742,82.17466758316668,65.95807006052571,80.44155520791882,49.11338686501417,56.610992267981814,25.03032763024839,99.78946122823544,50.365131670823715,10.012131052099356,Lower-Mid (Declining)
101286,LEONI AG,9,-1.6094285211425592,0.4392066925078745,6.270347201124659,2.8259160867436663,0.010245574288206558,72.08509561390623,-1.0817639148309188,0.37976822932722826,4.532392851504088,85.58336666666666,0.3256418439590064,387.23413571171005,2.738246026454627,0.2860922980683059,0.1230760052538784,2.1055901529007994,-14.822900000000006,0.18517120465670056,88.94075734810403,1,Lower-Mid,15.342240086501723,65.55680079157786,32.08604230723788,34.144560156370794,47.397205292173524,58.764542627413995,80.19139069327004,41.381085585163966,29.77229300237937,38.297160292791055,98.17767476091672,48.81208835304518,15.318864117116423,Lower-Mid (Declining)
102365,KOENIG & BAUER AG,11,-0.43667841443837235,0.16550441298464322,3.3943524551366657,-2.6122885609215176,0.28413518169323426,15.497392872288644,-0.41954427446057146,0.12591322803541577,3.7388851049591225,15.75545454545456,0.2958830221485857,91.59482012854313,1.4816126053164735,0.07231416540318983,0.7636331928667428,0.2616862956187257,-1.029090909090909,0.004963034720762293,46.19341658220563,1,Lower-Mid,41.00846597386724,72.41631197418346,57.40655915058125,93.27911893691727,74.79367204551072,58.781554420631764,90.10243022113607,50.649857961403214,51.433611484901924,32.484764402901334,99.86690344021791,47.5705270443575,12.993905761160534,Lower-Mid (Declining)
103176,THYSSENKRUPP AG,11,-0.5167523754261213,0.1298521598071635,4.5347974411111105,-2.506352022171679,0.17213652527848075,19.10317492243626,-0.48665389354091176,0.08643316027323585,5.234557877932152,-612.6727272727273,0.2160515719402353,4168.2123226800895,-1.6309588910294104,-0.2776121662434845,0.5372776795967791,1.1976753069035546,-68.73636363636365,0.025959190150322567,1349.0901862286719,1,Lower-Mid,32.310202631681136,85.23735453920351,39.796773748274674,76.25093180654991,93.03967570986568,58.77738335161246,81.70337291430523,50.59631852064231,51.552596497648,33.80697376418625,90.89365787968987,47.979572452934946,13.522789505674503,Lower-Mid (Declining)
213034,GRAMMER AG,11,-0.5374664283495462,0.3978342586011958,2.6946369011698192,-3.4429085568095323,0.5481767764358131,14.705004837831858,-0.3147518253336986,0.29817556910730053,1.8227714975909113,70.62177272727274,0.6817354742023467,270.47720397655553,3.473071830262109,0.07565873681573036,0.25611230736114476,0.47276341566520097,-2.2409090909090907,0.04240609855026965,34.412013080193454,1,Lower-Mid,46.58900693379697,76.28401212898565,90.22824872704564,68.08844069272628,95.13222342001117,55.74476183912741,91.54159801832196,49.649406782915946,54.971082781590226,45.38150218375919,99.95992041063789,48.74486868781857,18.152600873503676,Lower-Mid (Declining)
220295,ELRINGKLINGER AG,11,-0.7067721228011384,0.6742063849059816,2.7219677838786738,-2.5441567390617594,0.6266399665985181,10.163301711433084,-0.8535960562738826,0.7021783634218506,3.221281499267172,37.91884545454545,0.6200430827834476,152.28045722605117,3.122618759436069,0.0046671922870923,0.02195570986316555,0.0996051863950444,11.94900909090909,0.22084143125556446,80.40658457145337,1,Lower-Mid,50.06565400338046,90.66556429621832,68.95031976776156,69.24074280665522,83.43170429379447,71.55604568547386,79.8091005884092,52.42800902300218,57.59820438533054,27.399999690055832,98.03077785816102,50.011819777969116,10.959999876022334,Lower-Mid (Declining)
220307,PFALZWERKE AG,11,-0.07745550362245221,0.03075959522047471,1.3965676378133292,0.3607986239466655,0.041563252337048155,5.596417559391391,-0.033829127377142554,0.007619845070686367,1.225512441767449,34.54193636363637,0.3041164696476165,198.07365226868978,1.2538322785128786,-0.021732044037881055,0.17485733980970708,0.16434581254399383,-6.531827272727273,0.41817509295592864,31.94152232770959,1,Lower-Mid,51.7356814669469,82.74751761803623,73.8841781901861,94.05454441034098,82.59009504268047,60.08308732767248,91.99530164764704,50.603646800305945,59.03774480782217,28.359400164362746,99.34850335718426,46.28771581913353,11.3437600657451,Lower-Mid (Declining)
222340,DUERR AG,11,-0.5956246158064402,0.5985592575887404,2.434552037050489,-2.073084330979987,0.6583738423704891,8.079429305380526,-0.4965662083968718,0.5263646183349368,2.1643815234368144,121.27493636363636,0.529119874886998,527.2225993414266,5.239566119119732,0.03387397416925399,0.5920533514574463,0.13921490330453043,8.575618181818186,0.18507197445731405,63.03693770446837,1,Lower-Mid,46.52448450474373,72.86459546382666,68.52556585034228,89.99890048570822,72.16799673107897,63.228332116253384,88.54262272230089,52.69888768250925,53.00780245289549,32.46688004708352,98.50476871141986,50.57222365444201,12.986752018833409,Lower-Mid (Declining)
