gvkey,company_name,years_available,roa_trend,roa_trend_r2,roa_volatility,roe_trend,roe_trend_r2,roe_volatility,ebit_margin_trend,ebit_margin_trend_r2,ebit_margin_volatility,revt_trend,revt_trend_r2,revt_volatility,revt_cagr,debt_to_equity_trend,debt_to_equity_trend_r2,debt_to_equity_volatility,fcf_trend,fcf_trend_r2,fcf_volatility,cluster,cluster_name,static_proximity_score,static_profitability_score,static_liquidity_score,static_leverage_score,static_efficiency_score,static_relative_score,static_overall_score,proximity_score,trends_score,relative_score,overall_score,cluster_name_enriched
100004,ALTANA AG,11,-0.4294549207168278,0.7007472582499218,1.6223213352994577,-0.5452305191279143,0.5225549415582613,2.3851416588241015,-0.6327483285192007,0.7372969057825468,2.3302890849247295,112.35146363636363,0.8245511120904775,391.2640478104163,4.962984628067524,-0.004314428789918095,0.048022379470009535,0.06225890350962745,-6.002609090909093,0.0580634562612465,78.77503769868824,4,Upper-Mid,53.222715608926066,75.60507313411703,60.22070244627765,79.40315084134964,90.87069045213907,50.383426561189495,57.98101952234966,27.710168514534395,88.83064969456377,47.609410508840256,11.084067405813759,Upper-Mid (Strongly Growing)
100083,BEIERSDORF AG,11,-0.5141279617984581,0.7410026651051637,1.8886928639604161,-0.6823819037512362,0.7678657660515291,2.462548815089021,-0.15217338384611181,0.2707791238919422,0.9247644127600778,326.76363636363635,0.8449818090711269,1124.1131821489294,4.595522763056659,5.913830031739115e-21,1.1375123894502603e-35,0.005544862366089663,11.918181818181818,0.031801371066971354,211.3426187008641,4,Upper-Mid,68.68082866473578,78.67730874602378,83.0199965160058,84.20030504342594,86.9869012701357,50.88277703884839,64.67585890996202,23.7604817513918,91.1362771394249,47.42346937359039,9.50419270055672,Upper-Mid (Strongly Growing)
100373,HEIDELBERG MATERIALS AG,11,0.29976659766120317,0.6970450987441217,1.1354102219757254,0.4437188060540137,0.038565727399904874,7.145079612124689,0.19303997330217654,0.21338228779090146,1.3215027318979153,855.3354545454547,0.9045646146825234,2843.9154262628026,5.321263252377473,-0.009568571831354273,0.07139085233289552,0.11324677363892496,128.66363636363639,0.5993185532746373,525.5656348439513,4,Upper-Mid,60.65569344305569,95.0401094124054,65.18050091157377,78.04176606551556,94.92825884255501,47.239132517400165,65.31371469263817,29.92219107566509,92.85647031093916,50.98696202695305,11.968876430266036,Upper-Mid (Strongly Growing)
100431,HAPAG-LLOYD AG,11,2.5153795524104443,0.30517904056281964,14.398795860909525,4.526882045332825,0.39938513651476454,22.651826648539384,3.2416051113864057,0.38985637212202556,16.417528918537297,1855.957272727273,0.5687827111004545,7782.063680738829,10.874428478067655,-0.06938069097005194,0.633443062615315,0.2756670308819258,885.729090909091,0.28338444250350053,5261.540367752357,4,Upper-Mid,55.86403286225874,84.45878920887105,78.72255305926534,93.8862004275324,60.69744921843475,53.227353958819435,57.730608412196155,6.128284774928266,31.455020505575053,68.34405664895434,2.4513139099713066,Upper-Mid (Strongly Growing)
100736,K&S AG,11,-0.0731814294916662,0.0016178148930955634,5.753557715786718,-0.39687827961316746,0.0017869634139065667,29.689268749862986,-0.31333950646612385,0.009517320711997845,10.156821098713301,19.732727272727285,0.006932182733449585,749.4663050993947,-0.45017593280665125,-0.041467407233691564,0.19829467122244818,0.2944769863945724,111.17,0.5506862073236135,473.7350371827541,4,Upper-Mid,29.55688820912865,32.75402234481412,68.62842936473112,81.5163919490208,78.87151165294502,42.22207984775509,38.35592569545812,20.22668174800037,95.20842093937958,48.599105873020626,8.090672699200148,Upper-Mid (Strongly Growing)
101937,DMG MORI AG,11,0.00159940605292435,7.268328986588069e-06,1.8760372052470016,0.0900149458826342,0.008502481121148275,3.0870366572228707,0.16743301524572762,0.08957054621112989,1.7691248671833464,-3.5553454545454564,0.002219358197169932,238.65366294484514,-0.04180399465474327,-0.0006305358425151361,0.0343632074558301,0.01075630062905353,11.037563636363638,0.2908646714921436,64.71839420849084,4,Upper-Mid,63.93513114032308,83.46162092051722,74.99508306868387,90.24631169478063,76.17413337066992,48.95936984688299,62.71712781531123,22.059469877627908,91.02159426878862,43.49157853329341,8.823787951051164,Upper-Mid (Strongly Growing)
101942,HENKEL AG & CO KGAA,11,-0.5473890250484145,0.7328551278800158,2.022027325018474,-0.8900168753756615,0.7182492289534603,3.3209371542503607,-0.48889910488203714,0.46290663471672405,2.2723359500604876,454.2181818181818,0.7859325624624647,1620.2121073264675,2.768199524629389,0.0002776439271286147,0.0002703952541836829,0.05339353146889914,33.65454545454545,0.03362905898486343,580.3451666006139,4,Upper-Mid,64.32649696064934,94.68792860725962,64.9595916072927,93.07037640633214,97.99691455469045,48.47714918820595,68.67475932954844,25.582901305651212,94.01326209720368,48.01344695622739,10.233160522260485,Upper-Mid (Strongly Growing)
102926,KWS SAAT SE & CO KGAA,12,-0.054216859833955224,0.009523920562164837,1.9178024705822898,-0.1752032661968561,0.21527829967771092,1.3035253054290594,0.3430504854413148,0.26017145792670754,2.321697365742639,71.37131818181817,0.781168040698601,278.75898861565133,3.2607676748961367,0.020606586659252375,0.22809564923315392,0.14894466596003836,5.342615384615384,0.17590310082616273,43.97385686752477,4,Upper-Mid,66.21971090333152,86.63479805096004,68.13691908643428,98.20087587061464,95.84460138217149,51.90140080970468,68.0116217659118,46.358173856002885,90.28341777025314,46.68522765290553,18.543269542401156,Upper-Mid (Strongly Growing)
103200,FUCHS SE,11,-0.8044010982653266,0.706089156464916,3.027212331681872,-0.9671404591006387,0.7334047185175946,3.5712290192972875,-0.500585552284974,0.8460569672791027,1.720990638278342,165.31909090909093,0.8894279618296321,554.3290249787434,6.568063890012454,0.002316055547356202,0.7798908507793654,0.008293389420420258,8.988181818181818,0.07344925955550805,104.87648855315317,4,Upper-Mid,29.356830121518485,41.11390262304325,88.43111364464934,68.33292385528796,47.567170686356,57.751489365651466,33.933880561698246,16.676516157163253,90.75526176137912,50.16484040352726,6.670606462865301,Upper-Mid (Strongly Growing)
103487,SAP SE,11,-0.34827578780375784,0.4290588683780327,1.681375991415174,-0.846378100394438,0.5137349003268631,3.734176852727251,-0.4645395458999519,0.31471603455531205,2.6185643794031623,1477.7727272727275,0.9724345946140972,4738.898937569345,6.885716278324261,-0.019698545520434436,0.3181730032178102,0.110433922149667,261.4727272727273,0.4554578179633775,1225.1868199591656,4,Upper-Mid,52.062587816874775,63.19978567927783,65.28005295844575,93.97921965064086,84.15911797596081,48.80909901288904,55.486781924063685,38.23506221326659,76.79632463079227,52.631754659300086,15.294024885306635,Upper-Mid (Strongly Growing)
