gvkey,conm,cluster,proximity_score,profitability_score,liquidity_score,leverage_score,efficiency_score,cashflow_score,structure_score,relative_score,overall_score
17436,BASF SE,2,48.933061283546444,69.72011712987924,74.44620628976932,71.03219392143527,69.54871745173511,89.34888568009933,83.59596075989518,52.417068129463935,51.052774949298225
17828,MERCEDES BENZ GROUP AG,3,70.24648481791877,83.2543969273699,94.70617803385814,98.47497967024546,77.2272625767872,86.58770274388361,97.97021643114049,50.65420234507842,66.18106066618411
19349,SIEMENS AG,3,63.51910774563312,81.78759621016165,89.79684087913097,97.99588693394709,73.57545571120514,78.42923786565518,98.14162623407016,52.79590522476672,62.60106939036106
100004,ALTANA AG,1,61.72945410774927,89.68117527344624,72.67697510091057,72.43681033816505,95.04581370107486,89.83122921492553,96.97418577405854,50.81664420579999,64.12856978676669
100010,BAYWA AG,2,13.324587861454138,52.969151794095296,57.87134099541598,19.949231871263127,43.01617827110979,83.8058541963868,87.38727461508,42.73365743686847,24.3710154311935
100022,BAYERISCHE MOTOREN WERKE AKT,3,54.911984757858846,73.49647840010441,82.90772914027278,98.27882239433707,73.6137364523373,69.25908864703226,98.27169115865186,47.720616649079034,57.53403229044873
100037,LINDE AG,3,52.60976018456085,77.91106225544566,67.28088076386214,81.27110759259695,70.79094802605672,84.77880263043195,94.20951579730567,48.06273696510596,55.37186948808167
100042,MAN SE,2,33.33380236857798,69.13736745701401,43.98281898618946,92.13399597184062,55.69274344067853,83.38539596418758,88.94456398429486,45.44913323140333,44.728305552119835
100054,HOCHTIEF AG,4,25.194692436844484,43.09676506972393,77.26938068955329,73.65754948942893,61.74755578774482,41.09149984171284,91.20384046047498,52.08743292214629,35.3251183057872
100080,BAYER AG,3,40.585031274855275,46.000105087245366,88.28851570894085,82.85688089485144,68.52359981548138,88.2324492231299,97.2713016896409,49.5936476195404,43.998261589198535
100083,BEIERSDORF AG,1,46.36208258967073,54.50851536310542,68.85045154721226,76.89575657210459,94.92930805017468,90.0807481391401,97.36329902549761,50.039127378637986,51.375507973226036
100102,BILFINGER SE,3,38.23597607795673,54.89943603387864,79.82112316080264,90.64632229667845,50.12021411420881,85.16109786027135,96.45201878145335,48.51910516012257,42.85694198475758
100103,DEUTSCHE LUFTHANSA AG,2,37.2728466289966,57.38575499646698,55.88577738063203,80.28090854633196,59.22455148893341,94.65472195788621,96.43327084702132,47.33193524284634,43.29806322886524
100301,DEUTZ AG,2,54.19979394974467,86.1693808633546,97.15968303970168,59.535113232292666,84.0425216225362,89.33707518353796,81.81724280768579,50.739152867013516,57.47368331917849
100312,RHEINMETALL AG,3,53.13715121151027,57.67542139571067,94.72582568814771,82.22875732142072,85.31748905536436,84.24322665652619,96.75529006009408,52.099952543978745,53.81044385419297
100368,GEA GROUP AG,3,62.9064347330167,73.58576269807592,80.83539128494674,84.0295221369152,85.55778501125769,87.30598036758505,95.14489820163435,48.7073326690425,61.11634639820204
100373,HEIDELBERG MATERIALS AG,0,37.40578192677323,73.33820241638415,65.83264712768697,54.31024080587801,69.70965470530754,67.15496007703604,83.01573285292129,48.50641216995229,45.517425540370056
100431,HAPAG-LLOYD AG,3,39.730224392561006,74.0586563250035,87.84048988047111,47.52330691975543,68.74253122873391,82.43565444084223,88.91872224388098,51.87256059454115,45.76753139831074
100449,KUKA AG,3,53.05129196071328,56.89406719291246,89.45435819748329,83.61180774091572,82.24510029241007,97.35853946353659,98.03976779720762,47.01717847606265,53.29727604082089
100458,STRABAG AG,2,44.11047533738952,68.54763426449666,87.08985395035174,53.05089164015501,83.74426256879322,84.14136943471036,80.87863031224659,51.01325842971614,49.220445537189626
100590,E.ON SE,3,42.15936168070574,76.02328135251,65.68608182276525,56.72174540967622,89.33474509959825,72.90408612622576,78.25515550757358,48.837867356728,51.14078724869165
100609,CONTINENTAL AG,3,63.53647843641448,76.66454561844735,95.7902604754629,88.47785440659928,74.49767295894726,84.15762648886951,95.79824138090387,47.53810534943971,60.76993688275728
100676,TUI AG,4,13.656660291232434,30.693809796815025,40.87539798473695,47.204753260002065,65.50621717417144,40.741386441668446,62.57912042098083,46.90271947499179,26.147833977981904
100736,K&S AG,1,24.35810006641924,37.72392798888579,63.116371203594134,74.3731355101889,42.443690991425484,90.70810633172624,97.13722075255936,46.569994005919796,31.091892824077565
100737,VOLKSWAGEN AG,3,61.15326221711275,84.00038337303843,86.28457341172712,83.81050774345896,75.03425299613095,76.00926319952012,97.28780696515584,48.60347816723868,60.89757028521832
100746,CECONOMY AG,4,14.048718581662861,41.70035358065794,80.64724758183822,49.39526684792238,26.635879517870283,44.211637527943445,70.02700624845575,50.34915364831119,22.894466761269513
100764,SUEDZUCKER AG,2,53.70933611337411,73.90922880941396,62.94435432433008,93.12970907255227,82.93983010365326,85.62448363136278,87.93717830765195,52.51947257954534,58.019525630035645
100953,RWE AKTIENGESELLSCHAFT,3,27.553808858961958,51.2067876817278,96.45380209478824,91.20853678931013,40.74428167420548,53.22445609168176,99.98581876248109,51.99187358967479,36.49537700999218
101059,AXEL SPRINGER SE,3,51.97474675763408,70.25742897921488,67.29098543274625,88.54105843748098,69.89125657918565,94.2447584620142,99.23068447341143,46.28077175164802,54.179178829522556
101120,AUDI AG,3,45.046236162487894,57.78658148574476,71.10323121137851,72.12421407422757,76.42350321717055,83.10772330545923,92.79434151938504,49.022273464366556,48.25175765214245
101148,LECHWERKE AG,2,12.585667993841856,70.82425714284214,14.075961082517678,90.73461780271892,60.27533193237391,79.17818057757499,89.57708489950514,43.16269497939694,37.31388019623315
101161,GELSENWASSER AG,2,59.117761508142216,75.4278768258717,70.43963171942794,91.02645556603744,81.4661358920277,92.67811337618124,87.65988736005883,48.11161531237152,60.055245908839126
101286,LEONI AG,2,11.569852184760697,58.888851367073194,25.120442839410195,26.454718058324623,44.831580070333615,83.44471978206903,87.38727461508,41.571818888630254,25.775919963701426
101390,KSB SE & CO KGAA,1,49.08529014257777,73.02516738091113,77.4429449530444,60.47450300486552,74.68731120782905,97.56961540411353,94.27689863745131,50.74070843444322,51.48969651487425
101768,MCKESSON EUROPE AG,2,26.78250947370639,69.05123087960476,42.10680768938232,61.95389731509705,48.702382917364275,77.47663079845314,82.2145711414661,51.287484439107246,38.023997134517856
101937,DMG MORI AG,1,61.18390644343417,71.02554705565815,73.33999887263506,95.90697057618634,85.62784204073,95.31194889379879,99.35094324484069,50.06629970786516,61.11354535223343
101942,HENKEL AG & CO KGAA,3,38.089282820338106,60.61315937711329,90.0258060686154,47.18641145322208,80.9528645946504,80.4439213652121,88.88495443070741,51.167309799758534,44.21991583807767
