prev_cluster,0,1,2,3,4,All
0,1048,0,0,0,0,1048
1,0,281,0,0,0,281
2,0,0,39,0,0,39
3,0,0,0,29,0,29
4,0,0,0,0,27,27
All,1048,281,39,29,27,1424
